industry_group,ticker_count,tickers_with_data,return_3d,return_5d,return_10d,return_20d,return_1m,return_3m,return_6m,return_1y,avg_volume_3d,avg_volume_5d,avg_volume_20d,relative_volume,ma_5d,ma_10d,ma_20d,max_drawdown_10d,up_days_10d,positive_5d_pct,positive_10d_pct,confirmed_signal_pct,strong_signal_pct,high_relative_volume_pct,breadth_score,rotation_score,momentum_persistence,momentum_acceleration,momentum_exhaustion_warning,industry_regime,industry_risk_flag,rotation_type,causal_hypothesis,evidence_status
AI Infrastructure,6,6,-0.075900,-0.047845,0.147411,0.227420,0.288025,0.640697,0.742533,1.154870,16498076.388889,22458902.500000,18424748.125000,0.730818,234.720333,227.930499,213.963833,-0.121515,5.833333,0.333333,0.833333,0.166667,0.000000,0.000000,0.316667,3.000000,4,-0.029708,True,momentum_leader,momentum_exhaustion,risk_on_growth,industry_flow_leads_leaders,inferred
Adtech,6,6,-0.008370,-0.073759,0.043282,0.001417,0.003483,0.052054,-0.028999,-0.040435,5372636.222222,5395461.733333,5628737.933333,0.874340,125.417001,126.807501,118.539918,-0.085302,5.000000,0.000000,0.666667,0.000000,0.000000,0.166667,0.183333,4.000000,0,-0.047503,False,momentum_leader,none,unclear,unclear,needs_review
Cloud Software,8,8,-0.041591,-0.132556,0.107461,0.170997,0.170090,0.206565,-0.079178,0.070123,13860822.916667,15727243.750000,16848509.687500,0.662008,245.949249,240.533874,225.597481,-0.135698,4.625000,0.000000,0.875000,0.000000,0.000000,0.000000,0.218750,-1.000000,2,-0.089876,True,momentum_leader,momentum_exhaustion,unclear,unclear,needs_review
Consumer Hardware,1,1,-0.028105,-0.015572,-0.023574,0.028971,0.050020,0.161374,0.076239,0.502786,61325235.000000,55869421.000000,48866735.250000,1.511456,309.114008,309.563004,304.664500,-0.043338,4.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.100000,4.000000,0,-0.000447,False,weak,none,unclear,unclear,needs_review
Consumer Platforms,9,9,0.001345,-0.031952,-0.020890,-0.026951,-0.037750,-0.006909,-0.091199,-0.049430,21251875.037037,21873280.577778,19270668.477778,0.945517,242.451111,246.798556,244.973001,-0.066822,4.444444,0.111111,0.222222,0.111111,0.111111,0.111111,0.138889,4.000000,0,-0.012871,False,weak,none,unclear,unclear,needs_review
Cybersecurity,6,6,-0.060832,-0.115553,0.023581,0.214701,0.258799,0.401537,0.208846,0.101455,5116789.722222,6447773.833333,6046035.125000,0.744550,237.718332,234.430665,220.242000,-0.150637,4.500000,0.000000,0.666667,0.000000,0.000000,0.000000,0.166667,-1.000000,0,-0.085209,False,neutral,none,unclear,unclear,needs_review
Defense,7,7,0.013431,-0.004806,-0.024997,-0.013059,-0.017790,-0.213061,-0.017920,0.167028,1543033.761905,1526094.542857,1686142.921429,0.846378,328.064352,332.136036,333.272471,-0.054520,3.857143,0.571429,0.142857,0.000000,0.000000,0.000000,0.150000,4.000000,0,0.013563,False,weak,none,unclear,unclear,needs_review
Defense Drones,5,5,-0.067654,-0.146354,0.109711,0.120914,0.140422,-0.120733,-0.043933,1.366976,15708365.866667,19127095.520000,23787921.880000,0.543992,57.318000,57.791200,53.274150,-0.171501,5.400000,0.000000,0.800000,0.000000,0.000000,0.000000,0.200000,-1.000000,8,-0.008575,True,momentum_leader,momentum_exhaustion,unclear,unclear,needs_review
Defensive Healthcare,6,6,0.038995,0.047453,0.011554,0.060355,0.055370,0.044540,0.070826,0.297721,14742356.888889,13775717.466667,12706811.033333,1.003271,177.319335,175.712500,175.016143,-0.034921,4.166667,0.833333,0.500000,0.166667,0.000000,0.333333,0.366667,12.000000,0,0.006510,False,momentum_leader,none,defensive_rotation,defensive_rotation,inferred
Defensive Staples,6,6,0.015831,0.016591,-0.030146,-0.034539,-0.035392,-0.046479,0.066542,0.061546,12047609.166667,11789225.500000,10982622.208333,0.862348,255.521583,257.430413,265.115034,-0.055161,4.333333,0.833333,0.166667,0.000000,0.000000,0.000000,0.208333,6.000000,0,0.010413,False,momentum_leader,none,defensive_rotation,defensive_rotation,inferred
