ticker,company_name,industry_group,latest_date,data_points,return_3d,return_5d,return_10d,return_20d,avg_volume_3d,avg_volume_5d,avg_volume_20d,relative_volume,ma_5d,ma_10d,ma_20d,max_drawdown_10d,up_days_10d,early_momentum_signal,confirmed_momentum_signal,strong_momentum_signal,risk_warning,relative_strength_vs_industry,leader_type,industry_quality_score,distance_from_20d_ma,distance_from_52w_high,position_in_52w_range,industry_regime,industry_risk_flag,rotation_type,causal_hypothesis,evidence_status,short_term_price_zone,long_term_price_zone,price_zone,current_state,watch_status,latest_volume,data_status,data_quality_note
ANET,Arista Networks Inc.,AI Infrastructure,2026-05-18,251,0.007250,0.038701,-0.179064,-0.150674,11247382.000000,12140569.200000,12157322.300000,0.592272,142.944000,145.195000,158.823499,-0.198508,3,True,False,False,True,-0.201218,infrastructure_leader,5,-0.107752,-0.202667,0.606253,neutral,none,risk_on_growth,industry_flow_leads_leaders,inferred,reasonable_pullback,neutral,reasonable_pullback,early_recovery,avoid_for_now,7200446,ok,資料日期與本次市場日期一致。
VRT,Vertiv Holdings Co.,AI Infrastructure,2026-05-18,251,-0.081786,-0.076620,0.026468,0.080532,5510069.000000,5509481.400000,5933800.350000,1.357984,364.804004,357.186005,337.803001,-0.097015,5,False,False,False,True,0.004313,infrastructure_leader,5,0.005705,-0.097015,0.866177,neutral,none,risk_on_growth,industry_flow_leads_leaders,inferred,neutral,extended,extended,overextended,not_eligible_industry,8058007,ok,資料日期與本次市場日期一致。
DELL,Dell Technologies Inc.,AI Infrastructure,2026-05-18,251,-0.023947,-0.036472,0.124693,0.169049,5395628.666667,5669237.200000,6020699.300000,0.849932,242.144000,240.361000,225.858499,-0.086117,5,False,False,False,True,0.102539,challenger,5,0.053890,-0.086117,0.854350,neutral,none,risk_on_growth,industry_flow_leads_leaders,inferred,neutral,extended,extended,overextended,not_eligible_industry,5117186,ok,資料日期與本次市場日期一致。
HPE,Hewlett Packard Enterprise Co.,AI Infrastructure,2026-05-18,251,0.028999,0.068999,0.149425,0.186624,22550475.333333,21275005.200000,15501391.300000,1.073157,32.502000,31.484000,29.956000,-0.036364,5,False,False,False,False,0.127271,non_leader,5,0.101616,-0.033109,0.934593,neutral,none,risk_on_growth,industry_flow_leads_leaders,inferred,extended,very_extended,very_extended,overextended,not_eligible_industry,16635426,ok,資料日期與本次市場日期一致。
SMCI,Super Micro Computer Inc.,AI Infrastructure,2026-05-18,251,-0.035937,-0.079654,0.104943,0.070809,28606370.333333,29290162.200000,38724845.550000,0.675148,31.942000,32.471000,30.099000,-0.127792,3,False,False,False,True,0.082788,challenger,5,0.024951,-0.491846,0.256844,neutral,none,risk_on_growth,industry_flow_leads_leaders,inferred,neutral,reasonable_pullback,reasonable_pullback,pullback_in_uptrend,not_eligible_industry,26145011,ok,資料日期與本次市場日期一致。
ETN,Eaton Corporation plc,AI Infrastructure,2026-05-18,251,-0.061606,-0.088616,-0.093539,-0.060467,2704581.000000,2676728.600000,2963367.150000,0.961522,399.576001,404.639642,411.421971,-0.091281,5,False,False,False,True,-0.115694,infrastructure_leader,5,-0.071829,-0.115666,0.576170,neutral,none,risk_on_growth,industry_flow_leads_leaders,inferred,reasonable_pullback,neutral,reasonable_pullback,falling_knife,avoid_for_now,2849343,ok,資料日期與本次市場日期一致。
NVDA,NVIDIA Corporation,Semiconductors,2026-05-18,251,-0.015543,0.013124,0.120113,0.100267,168295040.666667,162893424.400000,154760401.100000,0.931174,225.998004,218.046002,211.314001,-0.056927,7,False,True,False,False,0.018054,core_leader,5,0.052084,-0.056927,0.871556,momentum_leader,momentum_exhaustion,risk_on_growth,industry_flow_leads_leaders,inferred,neutral,extended,extended,strong_uptrend,too_extended,144108922,ok,資料日期與本次市場日期一致。
AMD,Advanced Micro Devices Inc.,Semiconductors,2026-05-18,251,-0.055017,-0.082391,0.232623,0.531151,27482622.000000,30402273.200000,46250643.300000,0.591187,437.716003,428.767004,379.014000,-0.082391,5,False,False,False,True,0.130564,challenger,5,0.110751,-0.082391,0.891529,momentum_leader,momentum_exhaustion,risk_on_growth,industry_flow_leads_leaders,inferred,extended,extended,extended,overextended,too_extended,27342766,ok,資料日期與本次市場日期一致。
AVGO,Broadcom Inc.,Semiconductors,2026-05-18,251,0.009405,-0.018019,0.010108,0.052749,17905407.000000,17940344.200000,19175556.050000,0.786648,424.356000,424.556998,419.589000,-0.043384,3,False,False,False,False,-0.091951,core_leader,5,0.002672,-0.043384,0.910384,momentum_leader,momentum_exhaustion,risk_on_growth,industry_flow_leads_leaders,inferred,neutral,extended,extended,sideways_base,too_extended,15084421,ok,資料日期與本次市場日期一致。
TSM,Taiwan Semiconductor Manufacturing Co. Ltd.,Semiconductors,2026-05-18,251,-0.009630,-0.021234,-0.014093,0.081122,13835475.333333,14551205.200000,14296136.300000,0.776295,403.020001,405.938000,399.325499,-0.056138,3,False,False,False,False,-0.116152,core_leader,5,-0.008453,-0.056138,0.897647,momentum_leader,momentum_exhaustion,risk_on_growth,industry_flow_leads_leaders,inferred,neutral,extended,extended,sideways_base,too_extended,11098026,ok,資料日期與本次市場日期一致。
