industry_group,ticker_count,tickers_with_data,return_3d,return_5d,return_10d,return_20d,avg_volume_3d,avg_volume_5d,avg_volume_20d,relative_volume,ma_5d,ma_10d,ma_20d,max_drawdown_10d,up_days_10d,positive_5d_pct,positive_10d_pct,confirmed_signal_pct,strong_signal_pct,high_relative_volume_pct,breadth_score,rotation_score,momentum_persistence,momentum_acceleration,momentum_exhaustion_warning,industry_regime,industry_risk_flag,rotation_type,causal_hypothesis,evidence_status
AI Infrastructure,6,6,0.089444,0.143617,0.106588,0.197247,14881524.166667,13455681.166667,14008868.625000,0.897422,202.914000,201.306167,200.521535,-0.078202,5.500000,0.833333,0.833333,0.333333,0.000000,0.000000,0.458333,9.000000,1,0.016660,False,momentum_leader,none,risk_on_growth,industry_flow_leads_leaders,inferred
Adtech,6,6,0.063653,0.076119,0.051337,0.074225,4879231.277778,4798118.766667,5687911.358333,0.919951,114.720001,112.253834,110.557167,-0.038727,6.166667,0.833333,0.666667,0.500000,0.166667,0.166667,0.508333,6.000000,0,0.048026,False,neutral,none,unclear,unclear,needs_review
Cloud Software,6,6,0.009395,-0.016793,0.074925,0.198474,10452577.166667,10239176.300000,10231305.741667,1.235996,185.185334,182.252666,172.978251,-0.045395,5.833333,0.500000,0.833333,0.500000,0.166667,0.500000,0.516667,-4.000000,0,-0.018451,True,neutral,momentum_exhaustion,unclear,unclear,needs_review
Consumer Platforms,6,6,0.003626,0.030515,0.012076,-0.007314,11227663.222222,11474307.933333,13844856.983333,0.755329,161.420668,156.410167,155.142834,-0.043109,4.666667,0.666667,0.333333,0.333333,0.000000,0.166667,0.316667,0.000000,0,0.029377,False,neutral,none,unclear,unclear,needs_review
Cybersecurity,6,6,-0.053763,-0.030476,0.103020,0.263899,6279054.444444,5597436.000000,4864233.166667,1.878206,220.620998,212.444834,191.372000,-0.090785,7.000000,0.666667,0.833333,0.666667,0.166667,0.333333,0.575000,-3.000000,0,-0.102579,True,momentum_leader,momentum_exhaustion,unclear,unclear,needs_review
Defense,7,7,0.015064,0.005936,-0.006369,-0.026211,1327530.190476,1404700.971429,1748254.528571,0.637320,336.614993,336.036621,338.002145,-0.026607,4.571429,0.714286,0.285714,0.142857,0.000000,0.000000,0.250000,-4.000000,0,-0.001936,False,early_recovery,none,unclear,unclear,needs_review
Defense Drones,5,5,0.117328,0.180034,0.094512,0.021299,19481765.133333,16728463.080000,17167613.770000,1.137165,50.912799,49.367900,50.783850,-0.094444,5.400000,1.000000,0.600000,0.200000,0.000000,0.400000,0.440000,10.000000,0,0.077142,False,neutral,none,unclear,unclear,needs_review
Defensive Healthcare,6,6,0.005319,0.007749,0.019094,0.030741,10425251.555556,10429590.933333,12360955.233333,0.822087,174.948454,174.905762,172.388123,-0.028306,5.166667,0.666667,0.666667,0.500000,0.000000,0.000000,0.425000,-5.000000,0,-0.004667,False,neutral,none,defensive_rotation,defensive_rotation,inferred
Defensive Staples,6,6,-0.005264,-0.027124,-0.007782,-0.002763,9842913.222222,11188571.266667,9280158.650000,0.901817,269.685666,272.561496,270.015365,-0.044856,5.833333,0.333333,0.500000,0.333333,0.166667,0.166667,0.325000,-7.000000,0,0.007484,False,weak,none,defensive_rotation,defensive_rotation,inferred
Energy Storage,5,5,0.118622,0.273662,0.375520,0.535566,5325556.333333,5477849.800000,6152410.450000,0.911638,84.461201,81.312200,77.318200,-0.123239,6.400000,1.000000,0.800000,0.800000,0.200000,0.200000,0.660000,1.000000,5,0.078762,True,momentum_leader,momentum_exhaustion,unclear,unclear,needs_review
Fintech,6,6,0.001968,0.016266,-0.023710,-0.045214,20335523.000000,18417180.466667,22019988.450000,0.963573,76.221500,77.392500,78.295125,-0.074103,4.333333,0.666667,0.333333,0.166667,0.000000,0.000000,0.258333,-5.000000,0,0.020023,False,early_recovery,none,unclear,unclear,needs_review
Market ETFs,6,6,0.014807,0.033492,0.021501,0.060654,18671824.388889,19782791.300000,21237074.491667,0.897095,551.679003,548.350501,542.332855,-0.022847,6.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.700000,-2.000000,0,0.007502,False,momentum_leader,none,unclear,unclear,needs_review
Nuclear,8,8,0.043150,0.146143,-0.038968,-0.021773,8889646.541667,8494372.925000,8707813.231250,0.810250,105.758500,103.533145,108.966424,-0.138784,4.250000,1.000000,0.375000,0.000000,0.000000,0.000000,0.293750,0.000000,0,0.019918,False,early_recovery,none,policy_driven,policy_or_thematic_support,inferred
Renewables,5,5,0.070951,0.102523,0.091760,0.177097,2661791.000000,2713094.600000,2772622.650000,0.960856,314.474400,312.615072,309.834020,-0.087142,6.000000,1.000000,0.800000,0.400000,0.000000,0.200000,0.520000,-1.000000,0,0.050086,False,neutral,none,unclear,unclear,needs_review
Robotics Automation,6,6,0.030618,0.078458,0.021595,0.060031,2025072.055556,1931799.900000,2234748.308333,0.840564,269.355832,266.441752,264.359256,-0.079647,5.166667,0.833333,0.833333,0.166667,0.000000,0.166667,0.433333,4.000000,0,0.003398,False,neutral,none,unclear,unclear,needs_review
Semiconductors,11,11,0.054321,0.135344,0.099257,0.323669,40451970.909091,42061460.727273,45027508.363636,0.864572,484.199275,469.547911,451.109158,-0.082690,5.363636,0.909091,0.909091,0.545455,0.090909,0.090909,0.572727,0.000000,0,-0.016454,False,momentum_leader,none,risk_on_growth,industry_flow_leads_leaders,inferred
Space,11,11,0.242580,0.291538,0.402670,0.701227,24842054.030303,20179659.690909,14318715.377273,1.679547,50.471272,47.431364,42.226864,-0.063262,7.000000,1.000000,1.000000,0.909091,0.272727,0.727273,0.804545,1.000000,12,0.073398,False,momentum_leader,none,unclear,unclear,needs_review
