ticker,company_name,industry_group,latest_date,data_points,return_3d,return_5d,return_10d,return_20d,avg_volume_3d,avg_volume_5d,avg_volume_20d,relative_volume,ma_5d,ma_10d,ma_20d,max_drawdown_10d,up_days_10d,early_momentum_signal,confirmed_momentum_signal,strong_momentum_signal,risk_warning,relative_strength_vs_industry,leader_type,industry_quality_score,distance_from_20d_ma,distance_from_52w_high,position_in_52w_range,industry_regime,industry_risk_flag,rotation_type,causal_hypothesis,evidence_status,short_term_price_zone,long_term_price_zone,price_zone,current_state,watch_status,latest_volume,data_status,data_quality_note
ANET,Arista Networks Inc.,AI Infrastructure,2026-05-27,251,0.038495,0.089914,0.082573,-0.066429,9755694.333333,10100936.600000,12857729.150000,0.534868,151.085999,146.919000,151.783499,-0.049523,4,True,False,False,False,-0.024015,infrastructure_leader,5,0.016645,-0.131773,0.743988,momentum_leader,none,risk_on_growth,industry_flow_leads_leaders,inferred,neutral,neutral,neutral,early_recovery,research_candidate,6877183,ok,資料日期與本次市場日期一致。
VRT,Vertiv Holdings Co.,AI Infrastructure,2026-05-27,251,-0.011194,-0.008834,-0.128973,0.048356,5534022.666667,5567473.600000,5623098.400000,0.938374,322.044000,338.974002,339.933002,-0.160965,4,False,False,False,True,-0.235562,infrastructure_leader,5,-0.059285,-0.150041,0.789706,momentum_leader,none,risk_on_growth,industry_flow_leads_leaders,inferred,reasonable_pullback,neutral,reasonable_pullback,falling_knife,avoid_for_now,5276568,ok,資料日期與本次市場日期一致。
DELL,Dell Technologies Inc.,AI Infrastructure,2026-05-27,251,0.207753,0.297798,0.277810,0.482640,11052487.000000,8513072.200000,6661043.050000,1.134997,280.263998,260.835999,243.830499,-0.050950,7,True,True,False,True,0.171222,challenger,5,0.252181,0.000000,1.000000,momentum_leader,none,risk_on_growth,industry_flow_leads_leaders,inferred,very_extended,very_extended,very_extended,overextended,too_extended,7560261,ok,資料日期與本次市場日期一致。
HPE,Hewlett Packard Enterprise Co.,AI Infrastructure,2026-05-27,251,0.095084,0.140405,0.231380,0.330948,20934763.000000,17184337.800000,16400664.450000,0.931663,36.122001,34.553000,32.121000,-0.044243,6,True,True,False,True,0.124792,non_leader,5,0.158121,-0.022596,0.959446,momentum_leader,none,risk_on_growth,industry_flow_leads_leaders,inferred,very_extended,very_extended,very_extended,overextended,avoid_for_now,15279889,ok,資料日期與本次市場日期一致。
SMCI,Super Micro Computer Inc.,AI Infrastructure,2026-05-27,251,0.141363,0.249673,0.164684,0.401468,39328947.666667,36834668.600000,39518372.150000,0.895200,35.557999,33.527000,32.089500,-0.074780,5,True,False,False,True,0.058096,challenger,5,0.190109,-0.370944,0.439522,momentum_leader,none,risk_on_growth,industry_flow_leads_leaders,inferred,very_extended,reasonable_pullback,very_extended,overextended,too_extended,35376843,ok,資料日期與本次市場日期一致。
ETN,Eaton Corporation plc,AI Infrastructure,2026-05-27,251,0.065162,0.092745,0.012054,-0.013501,2683230.333333,2533598.200000,2992304.550000,0.949432,392.410004,393.028003,403.371707,-0.088753,7,True,False,False,True,-0.094534,infrastructure_leader,5,0.007433,-0.058929,0.784068,momentum_leader,none,risk_on_growth,industry_flow_leads_leaders,inferred,neutral,neutral,neutral,early_recovery,avoid_for_now,2840991,ok,資料日期與本次市場日期一致。
NVDA,NVIDIA Corporation,Semiconductors,2026-05-27,251,-0.031479,-0.036308,-0.037050,-0.002674,172601622.666667,181077653.600000,161705523.400000,0.997657,217.154001,221.559003,214.629501,-0.098159,3,False,False,False,True,-0.136307,core_leader,5,-0.009456,-0.098159,0.770804,momentum_leader,none,risk_on_growth,industry_flow_leads_leaders,inferred,neutral,neutral,neutral,falling_knife,avoid_for_now,161326568,ok,資料日期與本次市場日期一致。
AMD,Advanced Micro Devices Inc.,Semiconductors,2026-05-27,251,0.102204,0.196812,0.105401,0.533183,33482394.000000,32767336.400000,41000329.100000,0.663770,472.822003,451.845001,422.975502,-0.079275,5,True,False,False,True,0.006144,challenger,5,0.171557,-0.016571,0.978762,momentum_leader,none,risk_on_growth,industry_flow_leads_leaders,inferred,very_extended,very_extended,very_extended,overextended,too_extended,27214782,ok,資料日期與本次市場日期一致。
AVGO,Broadcom Inc.,Semiconductors,2026-05-27,251,0.017584,0.026249,0.006105,0.055098,17979720.666667,17423412.400000,18458838.100000,0.936671,418.068005,420.389005,420.382001,-0.065304,3,True,False,False,False,-0.093151,core_leader,5,0.003516,-0.040770,0.911362,momentum_leader,none,risk_on_growth,industry_flow_leads_leaders,inferred,neutral,extended,extended,early_recovery,too_extended,17289862,ok,資料日期與本次市場日期一致。
TSM,Taiwan Semiconductor Manufacturing Co. Ltd.,Semiconductors,2026-05-27,251,0.038266,0.076717,0.064061,0.077458,10311869.000000,10025561.400000,12997955.350000,1.053374,409.667999,405.876999,404.474998,-0.060112,6,True,True,False,False,-0.035196,core_leader,5,0.045133,0.000000,1.000000,momentum_leader,none,risk_on_growth,industry_flow_leads_leaders,inferred,neutral,very_extended,very_extended,overextended,too_extended,13691707,ok,資料日期與本次市場日期一致。
