ticker,company_name,industry_group,latest_date,data_points,return_3d,return_5d,return_10d,return_20d,return_1m,return_3m,return_6m,return_1y,avg_volume_3d,avg_volume_5d,avg_volume_20d,relative_volume,ma_5d,ma_10d,ma_20d,max_drawdown_10d,up_days_10d,early_momentum_signal,confirmed_momentum_signal,strong_momentum_signal,risk_warning,relative_strength_vs_industry,leader_type,industry_quality_score,distance_from_20d_ma,distance_from_52w_high,position_in_52w_range,forward_pe,earnings_growth,peg_ratio,peg_rating,peg_status,peg_note,industry_regime,industry_risk_flag,rotation_type,causal_hypothesis,evidence_status,short_term_price_zone,long_term_price_zone,price_zone,current_state,watch_status,latest_volume,data_status,data_quality_note
ANET,Arista Networks Inc.,AI Infrastructure,2026-08-10,251,-0.029345,0.035859,0.121574,0.057245,0.024390,0.350920,0.392974,0.391355,6478179.000000,10751787.400000,7852376.850000,0.567654,192.066000,182.427002,177.804501,-0.069177,6,False,True,False,False,0.061264,infrastructure_leader,5,0.077138,-0.029345,0.928677,37.119442,0.357000,1.039760,fair,ok,Forward PEG uses Yahoo forwardPE divided by earningsGrowth percent.,neutral,momentum_exhaustion,risk_on_growth,industry_flow_leads_leaders,inferred,neutral,very_extended,very_extended,overextended,not_eligible_industry,4457437,ok,資料日期與本次市場日期一致。
VRT,Vertiv Holdings Co.,AI Infrastructure,2026-08-10,251,-0.028208,0.026801,-0.060848,-0.116945,-0.152920,-0.205353,0.381637,0.933759,3945127.333333,4714256.400000,6405069.100000,0.443974,273.108002,259.025999,278.070499,-0.172578,5,False,False,False,True,-0.121159,infrastructure_leader,5,-0.028664,-0.281939,0.583238,29.689934,0.530000,0.560187,undervalued,ok,Forward PEG uses Yahoo forwardPE divided by earningsGrowth percent.,neutral,momentum_exhaustion,risk_on_growth,industry_flow_leads_leaders,inferred,neutral,neutral,neutral,sideways_base,avoid_for_now,2843682,ok,資料日期與本次市場日期一致。
DELL,Dell Technologies Inc.,AI Infrastructure,2026-08-10,251,-0.010417,0.067270,0.072545,0.073814,0.054410,0.760872,2.800543,2.352478,5206722.333333,6037513.400000,6383043.350000,0.677791,455.853998,428.020999,423.318240,-0.063389,6,False,True,False,False,0.012234,challenger,5,0.081645,-0.020095,0.973677,20.784876,2.825000,0.073575,undervalued,ok,Forward PEG uses Yahoo forwardPE divided by earningsGrowth percent.,neutral,momentum_exhaustion,risk_on_growth,industry_flow_leads_leaders,inferred,extended,very_extended,very_extended,overextended,not_eligible_industry,4326367,ok,資料日期與本次市場日期一致。
HPE,Hewlett Packard Enterprise Co.,AI Infrastructure,2026-08-10,251,0.027433,0.088376,0.134675,0.157494,0.126494,0.749282,1.337721,1.710975,15716540.666667,18034044.400000,16714476.100000,0.937560,53.188000,50.125000,48.604000,-0.025225,7,True,True,False,False,0.074365,non_leader,5,0.125010,-0.023331,0.963988,13.560398,,,unavailable,missing_growth,Yahoo Finance earningsGrowth is missing.,neutral,momentum_exhaustion,risk_on_growth,industry_flow_leads_leaders,inferred,extended,very_extended,very_extended,overextended,not_eligible_industry,15670822,ok,資料日期與本次市場日期一致。
SMCI,Super Micro Computer Inc.,AI Infrastructure,2026-08-10,251,0.037599,0.098464,0.055351,0.137382,0.111268,-0.110546,-0.084933,-0.303982,37781332.666667,41070719.600000,45397599.900000,1.198204,30.796000,29.290000,28.365000,-0.096661,6,True,True,False,True,-0.004960,challenger,5,0.109113,-0.463872,0.286501,9.499969,3.260000,0.029141,undervalued,ok,Forward PEG uses Yahoo forwardPE divided by earningsGrowth percent.,neutral,momentum_exhaustion,risk_on_growth,industry_flow_leads_leaders,inferred,extended,reasonable_pullback,extended,overextended,not_eligible_industry,54395598,ok,資料日期與本次市場日期一致。
ETN,Eaton Corporation plc,AI Infrastructure,2026-08-10,251,-0.002739,0.017855,0.118941,0.107248,0.095204,0.110943,0.200263,0.249399,1491225.333333,1936055.200000,2491543.800000,0.400706,446.118115,421.417026,412.898547,-0.063118,7,False,True,False,False,0.058631,infrastructure_leader,5,0.077650,-0.008291,0.972542,27.772022,-0.159000,,unavailable,invalid_growth,Yahoo Finance earningsGrowth is zero or negative.,neutral,momentum_exhaustion,risk_on_growth,industry_flow_leads_leaders,inferred,neutral,very_extended,very_extended,overextended,not_eligible_industry,998376,ok,資料日期與本次市場日期一致。
NBIS,Nebius Group N.V.,AI Infrastructure,2026-08-10,251,-0.159277,-0.133926,-0.020066,-0.125410,-0.161803,0.039876,1.138328,1.621156,21367795.000000,20245817.000000,23683449.250000,0.619918,201.338004,191.602002,193.671001,-0.184416,4,False,False,False,True,-0.080376,emerging_leader,4,-0.049367,-0.357808,0.539236,-55.670456,,,unavailable,missing_pe,Yahoo Finance forwardPE is missing or not positive.,neutral,momentum_exhaustion,risk_on_growth,industry_flow_leads_leaders,inferred,reasonable_pullback,neutral,reasonable_pullback,falling_knife,avoid_for_now,14681785,ok,資料日期與本次市場日期一致。
NVDA,NVIDIA Corporation,Semiconductors,2026-08-10,251,-0.007618,0.052797,0.107068,0.068884,0.031238,0.012098,0.174777,0.196527,109183357.666667,124131894.600000,126550168.650000,0.854489,218.332004,208.111000,207.517999,-0.035531,7,False,True,False,False,0.095954,core_leader,5,0.048343,-0.076086,0.745835,16.876862,2.145000,0.078680,undervalued,ok,Forward PEG uses Yahoo forwardPE divided by earningsGrowth percent.,neutral,none,risk_on_growth,industry_flow_leads_leaders,inferred,neutral,neutral,neutral,strong_uptrend,not_eligible_industry,108135773,ok,資料日期與本次市場日期一致。
AMD,Advanced Micro Devices Inc.,Semiconductors,2026-08-10,251,-0.025910,-0.031116,-0.051298,-0.121316,-0.158329,0.031569,1.252735,1.725563,23506300.666667,33719660.400000,29842455.100000,0.646180,488.565997,477.319000,500.204004,-0.094527,4,False,False,False,True,-0.062413,challenger,5,-0.061263,-0.191682,0.740908,30.372830,1.595000,0.190425,undervalued,ok,Forward PEG uses Yahoo forwardPE divided by earningsGrowth percent.,neutral,none,risk_on_growth,industry_flow_leads_leaders,inferred,reasonable_pullback,neutral,reasonable_pullback,falling_knife,avoid_for_now,19283602,ok,資料日期與本次市場日期一致。
AVGO,Broadcom Inc.,Semiconductors,2026-08-10,251,0.009850,0.076919,0.102239,0.099857,0.056079,-0.016120,0.273447,0.400115,14118004.000000,17759722.400000,18682375.600000,0.736872,421.434003,402.775003,393.775002,-0.027802,7,True,True,False,False,0.091125,core_leader,5,0.072694,-0.121481,0.697856,21.627533,0.854000,0.253250,undervalued,ok,Forward PEG uses Yahoo forwardPE divided by earningsGrowth percent.,neutral,none,risk_on_growth,industry_flow_leads_leaders,inferred,neutral,neutral,neutral,strong_uptrend,not_eligible_industry,13766512,ok,資料日期與本次市場日期一致。
TSM,Taiwan Semiconductor Manufacturing Co. Ltd.,Semiconductors,2026-08-10,251,0.010797,0.030435,0.048560,-0.007377,-0.036028,0.018874,0.205767,0.747689,10507589.666667,11648453.800000,14906223.450000,0.788152,417.576007,406.853003,409.135500,-0.044964,6,True,True,False,False,0.037446,core_leader,5,0.022815,-0.123752,0.766150,19.228561,0.774000,0.248431,undervalued,ok,Forward PEG uses Yahoo forwardPE divided by earningsGrowth percent.,neutral,none,risk_on_growth,industry_flow_leads_leaders,inferred,neutral,neutral,neutral,strong_uptrend,not_eligible_industry,11748369,ok,資料日期與本次市場日期一致。
ASML,ASML Holding N.V.,Semiconductors,2026-08-10,251,0.032928,0.055378,0.048610,0.005609,-0.034272,0.090264,0.232693,1.419068,1077031.666667,1195759.000000,1916044.750000,0.571383,1713.789990,1662.554980,1714.190613,-0.020380,5,True,False,False,False,0.037495,infrastructure_leader,5,0.011253,-0.127532,0.800524,29.165205,0.285000,1.023341,fair,ok,Forward PEG uses Yahoo forwardPE divided by earningsGrowth percent.,neutral,none,risk_on_growth,industry_flow_leads_leaders,inferred,neutral,neutral,neutral,early_recovery,not_eligible_industry,1094795,ok,資料日期與本次市場日期一致。
