industry_group,ticker_count,tickers_with_data,return_3d,return_5d,return_10d,return_20d,avg_volume_3d,avg_volume_5d,avg_volume_20d,relative_volume,ma_5d,ma_10d,ma_20d,max_drawdown_10d,up_days_10d,rotation_score,momentum_persistence,momentum_acceleration,momentum_exhaustion_warning
AI Infrastructure,6,6,0.020002,0.023163,0.037366,0.177723,22070329.555556,17051574.400000,12610232.766667,1.223618,199.622667,197.669499,192.513568,-0.083418,4.666667,-4.000000,0,-0.080352,False
Adtech,6,6,0.001968,0.053969,0.085706,0.205517,7035059.722222,6225652.500000,4913621.458333,1.882674,110.187999,106.840500,105.247334,-0.034989,6.166667,4.000000,0,0.007999,True
Cloud Software,6,6,0.084451,0.151426,0.163899,0.243860,10642362.722222,9918927.633333,10657959.408333,1.812929,161.937335,157.623501,154.583251,-0.039531,6.166667,10.000000,1,0.136027,False
Consumer Platforms,6,6,0.003459,0.006866,-0.024423,0.034845,20906948.222222,17576798.933333,14641188.900000,1.463291,154.596334,157.930167,164.534209,-0.072153,4.833333,0.000000,0,-0.000070,False
Cybersecurity,6,6,0.084695,0.134936,0.148860,0.258847,4833591.277778,4243441.433333,4374286.191667,1.540916,165.941999,161.934499,155.427749,-0.027278,6.666667,7.000000,1,0.114292,False
Defense,7,7,-0.042047,-0.051495,-0.052044,-0.146856,1980943.619048,1873714.742857,1819157.971429,0.929796,339.951142,342.597427,361.003357,-0.059683,3.857143,0.000000,0,-0.020283,False
Defense Drones,5,5,-0.053921,-0.098781,-0.156016,-0.069751,13670203.933333,12905050.360000,13971228.590000,0.962051,52.147999,54.233600,56.909950,-0.138946,2.800000,0.000000,0,-0.097927,False
Defensive Healthcare,6,6,-0.006851,-0.015252,-0.013444,-0.022646,13389159.555556,12659519.066667,12863568.100000,0.767971,169.370667,168.992334,167.465586,-0.035267,4.000000,-1.000000,0,-0.014545,False
Defensive Staples,6,6,0.009011,-0.002624,0.011784,0.001833,7997816.555556,7761693.266667,8680718.316667,0.886597,267.931332,267.056193,265.104500,-0.023102,5.333333,-3.000000,0,-0.015431,False
Energy Storage,5,5,0.091586,0.075872,0.038940,0.128041,6731797.000000,5163314.200000,3831889.550000,2.704848,72.683200,69.928800,65.963750,-0.136222,4.800000,2.000000,0,-0.000762,False
Fintech,6,6,-0.028057,0.005404,-0.039510,0.118561,20567561.111111,20999023.333333,22706591.666667,1.069924,79.218001,79.029250,79.047834,-0.095905,4.833333,2.000000,0,-0.029698,False
Market ETFs,6,6,0.019467,0.017960,0.032038,0.078617,20442050.388889,20670240.233333,21644653.391667,0.999993,535.064335,530.317833,522.488371,-0.009858,5.666667,-2.000000,0,-0.019171,False
Nuclear,8,8,0.025538,0.012748,-0.003989,0.193744,9385698.375000,8062621.525000,9656363.506250,1.162103,116.177750,115.449187,113.040031,-0.106252,3.875000,-7.000000,0,-0.149262,False
Renewables,5,5,0.032191,0.033633,0.012955,0.089146,2991794.533333,2710796.720000,2697139.180000,1.464960,307.992794,307.663995,298.504998,-0.060651,4.400000,-5.000000,0,-0.051894,False
Robotics Automation,6,6,0.059193,0.045284,0.009344,0.067599,2814730.444444,2311001.600000,1897559.566667,1.606137,264.108000,263.289166,264.342249,-0.085674,5.333333,-1.000000,0,-0.069295,False
Semiconductors,11,11,0.087804,0.083053,0.191352,0.355126,49591997.606061,44652184.018182,42204874.640909,1.212541,425.316717,413.437520,395.556341,-0.065512,5.818182,0.000000,2,-0.058408,False
Space,11,11,-0.031215,-0.029966,-0.075526,0.002324,9594476.242424,8875738.472727,10277725.072727,1.039201,35.308000,34.953682,36.002432,-0.107165,3.909091,-2.000000,0,-0.161689,False
