ticker,company_name,industry_group,latest_date,data_points,return_3d,return_5d,return_10d,return_20d,avg_volume_3d,avg_volume_5d,avg_volume_20d,relative_volume,ma_5d,ma_10d,ma_20d,max_drawdown_10d,up_days_10d,early_momentum_signal,confirmed_momentum_signal,strong_momentum_signal,risk_warning,relative_strength_vs_industry
ANET,Arista Networks Inc.,AI Infrastructure,2026-05-07,123,-0.178832,-0.179260,-0.178499,-0.029442,23167397.333333,16864498.400000,9612109.600000,1.892425,160.869998,166.040999,164.185500,-0.198745,3,False,False,False,True,-0.215865
VRT,Vertiv Holdings Co.,AI Infrastructure,2026-05-07,123,0.027314,0.035070,0.056752,0.182068,5491360.333333,5162016.200000,5739074.050000,0.946961,339.846002,328.481998,317.338499,-0.056978,6,True,True,False,False,0.019387
DELL,Dell Technologies Inc.,AI Infrastructure,2026-05-07,123,0.088027,0.102034,0.085462,0.272911,6128211.000000,5047526.600000,6107441.650000,0.791925,221.440002,215.980000,205.906413,-0.048267,6,True,True,False,False,0.048097
HPE,Hewlett Packard Enterprise Co.,AI Infrastructure,2026-05-07,123,0.034483,0.032325,0.063373,0.196134,11915497.666667,11771438.600000,13829084.650000,0.816727,29.478000,28.919000,27.666000,-0.023410,7,True,True,False,False,0.026007
SMCI,Super Micro Computer Inc.,AI Infrastructure,2026-05-07,123,0.204155,0.227007,0.256822,0.447890,81169202.333333,59578401.400000,37641005.350000,1.618464,30.224000,28.902000,28.243500,-0.094911,4,True,False,False,True,0.219457
ETN,Eaton Corporation plc,AI Infrastructure,2026-05-07,123,-0.055132,-0.078197,-0.059717,-0.003221,4550308.666667,3885565.200000,2732681.300000,1.275204,415.877997,417.692999,411.741499,-0.078197,2,False,False,False,False,-0.097083
NVDA,NVIDIA Corporation,Semiconductors,2026-05-07,123,0.065599,0.059778,0.059407,0.150019,156157132.333333,144497299.400000,151824979.850000,1.097988,202.551999,205.963000,201.853000,-0.092840,5,True,False,False,True,-0.131945
AMD,Advanced Micro Devices Inc.,Semiconductors,2026-05-07,123,0.195936,0.152247,0.337766,0.726082,65299845.666667,54435787.400000,45635996.850000,0.962666,377.438007,358.444000,315.719000,-0.070728,6,False,True,False,True,0.146414
AVGO,Broadcom Inc.,Semiconductors,2026-05-07,123,-0.009460,-0.011667,-0.017574,0.162436,21092084.333333,18059850.600000,20872882.650000,1.024969,420.627997,416.681000,407.250500,-0.054239,5,False,False,False,False,-0.208926
TSM,Taiwan Semiconductor Manufacturing Co. Ltd.,Semiconductors,2026-05-07,123,0.031224,0.045675,0.082292,0.133136,15213563.000000,13109117.800000,14346029.450000,0.928849,405.467999,401.700998,387.522000,-0.031211,7,True,True,False,False,-0.109060
