industry_group,ticker_count,tickers_with_data,return_3d,return_5d,return_10d,return_20d,return_1m,return_3m,return_6m,return_1y,avg_volume_3d,avg_volume_5d,avg_volume_20d,relative_volume,ma_5d,ma_10d,ma_20d,max_drawdown_10d,up_days_10d,positive_5d_pct,positive_10d_pct,confirmed_signal_pct,strong_signal_pct,high_relative_volume_pct,breadth_score,rotation_score,momentum_persistence,momentum_acceleration,momentum_exhaustion_warning,industry_regime,industry_risk_flag,rotation_type,causal_hypothesis,evidence_status
AI Infrastructure,7,7,0.091411,0.056561,0.047562,0.082990,0.096461,0.080821,0.955485,1.251215,19831308.190476,16656933.485714,16827184.800000,1.005581,233.684859,233.138001,238.360858,-0.074763,5.428571,0.714286,0.714286,0.428571,0.142857,0.285714,0.485714,16.000000,1,0.064048,False,momentum_leader,none,risk_on_growth,industry_flow_leads_leaders,inferred
Adtech,6,6,0.024099,0.009501,0.027937,-0.016319,0.027658,0.158145,0.244646,0.066349,5961240.722222,5609331.100000,5944967.775000,0.743106,90.106998,89.578416,89.539208,-0.030897,5.000000,0.500000,0.833333,0.166667,0.000000,0.000000,0.350000,4.000000,0,-0.029347,False,momentum_leader,none,unclear,unclear,needs_review
Cloud Software,8,8,-0.005556,-0.034635,0.026076,0.062803,0.104453,0.167037,0.364810,0.070664,12168008.958333,12320410.375000,11993091.968750,0.885513,275.968998,273.952123,272.548219,-0.081831,4.875000,0.375000,0.625000,0.125000,0.000000,0.125000,0.275000,-4.000000,0,-0.038813,False,momentum_leader,none,unclear,unclear,needs_review
Consumer Hardware,1,1,-0.015871,0.000845,0.034330,0.022072,0.025082,0.041992,0.245013,0.339864,36425007.000000,40737024.200000,39589136.050000,0.966751,323.023999,318.309000,313.139999,-0.025106,6.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.700000,1.000000,1,-0.042483,False,momentum_leader,none,unclear,unclear,needs_review
Consumer Platforms,9,9,-0.004727,-0.038022,-0.016205,-0.002493,0.031880,0.087887,0.070119,-0.058545,14355111.703704,15285193.688889,15008901.755556,0.965810,258.309888,258.335945,255.404611,-0.060349,4.777778,0.111111,0.222222,0.111111,0.000000,0.111111,0.116667,-6.000000,0,-0.042813,False,weak,none,unclear,unclear,needs_review
Cybersecurity,6,6,-0.030087,-0.054790,0.042069,-0.002155,0.018446,0.256785,0.775065,0.554106,5930225.166667,6315975.100000,5240490.441667,1.014759,184.091833,181.966916,183.385000,-0.104212,4.500000,0.166667,0.500000,0.000000,0.000000,0.166667,0.175000,1.000000,2,0.017429,False,momentum_leader,none,unclear,unclear,needs_review
Defense,7,7,-0.030083,-0.046432,-0.052256,-0.089856,-0.084082,0.000118,-0.204525,0.037836,1382251.666667,1406688.142857,1397832.035714,0.908373,331.876573,336.619764,347.999609,-0.053100,3.571429,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-7.000000,0,-0.013042,False,weak,none,unclear,unclear,needs_review
Defense Drones,5,5,0.041400,0.043692,-0.030556,-0.075417,-0.021840,-0.207301,-0.314983,0.023439,16010015.200000,14797797.120000,17042916.280000,0.951063,43.298200,43.948400,48.618350,-0.103593,4.400000,0.200000,0.200000,0.200000,0.200000,0.400000,0.220000,0.000000,0,0.018443,False,early_recovery,none,unclear,unclear,needs_review
Defensive Healthcare,6,6,0.004369,0.017404,0.002866,0.066264,0.077331,0.142231,0.192155,0.369741,9867254.055556,11669089.100000,11375211.441667,0.843458,200.050666,199.959167,197.758145,-0.033856,4.833333,1.000000,0.666667,0.333333,0.000000,0.000000,0.450000,-2.000000,0,-0.007968,False,momentum_leader,none,defensive_rotation,defensive_rotation,inferred
Defensive Staples,6,6,-0.006155,-0.006266,-0.014637,-0.019289,-0.019633,-0.008864,-0.041710,0.057057,9949147.222222,10700191.666667,10548942.916667,0.904030,250.224999,252.337666,253.580187,-0.041671,3.833333,0.333333,0.333333,0.166667,0.000000,0.000000,0.191667,-3.000000,0,-0.016716,False,weak,none,defensive_rotation,defensive_rotation,inferred
