industry_group,ticker_count,tickers_with_data,return_3d,return_5d,return_10d,return_20d,return_1m,return_3m,return_6m,return_1y,avg_volume_3d,avg_volume_5d,avg_volume_20d,relative_volume,ma_5d,ma_10d,ma_20d,max_drawdown_10d,up_days_10d,positive_5d_pct,positive_10d_pct,confirmed_signal_pct,strong_signal_pct,high_relative_volume_pct,breadth_score,rotation_score,momentum_persistence,momentum_acceleration,momentum_exhaustion_warning,industry_regime,industry_risk_flag,rotation_type,causal_hypothesis,evidence_status
AI Infrastructure,7,7,-0.053904,-0.099856,0.009368,-0.064792,-0.113336,0.247411,0.693927,0.902442,17609190.904762,15862380.257143,14899769.350000,1.279564,210.486859,217.073232,222.135207,-0.178285,5.285714,0.000000,0.714286,0.000000,0.000000,0.428571,0.221429,-1.000000,0,0.069619,False,neutral,none,risk_on_growth,industry_flow_leads_leaders,inferred
Adtech,6,6,0.006019,0.051139,-0.043563,-0.072712,-0.023946,0.127996,0.128580,-0.098518,5209779.444444,5026801.000000,4391566.083333,0.991287,101.761667,102.700334,109.635250,-0.071612,5.166667,1.000000,0.166667,0.166667,0.000000,0.166667,0.300000,1.000000,0,0.010869,False,early_recovery,none,unclear,unclear,needs_review
Cloud Software,8,8,0.073666,0.142837,0.057886,0.062105,0.101186,0.344112,0.031206,-0.004851,20563130.625000,18728078.375000,15740482.718750,1.350447,226.087501,222.720000,224.916420,-0.084939,5.000000,1.000000,0.875000,0.000000,0.000000,0.375000,0.456250,8.000000,1,0.048145,False,momentum_leader,none,unclear,unclear,needs_review
Consumer Hardware,1,1,-0.010329,0.036591,0.000510,0.132652,0.152302,0.235286,0.302642,0.612722,54483879.666667,52109067.800000,49844596.950000,1.113498,336.325995,331.724997,324.353000,-0.036196,5.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.450000,-8.000000,0,-0.001152,False,momentum_leader,none,unclear,unclear,needs_review
Consumer Platforms,9,9,0.024611,0.058906,-0.013990,0.003627,0.034644,0.006886,-0.028940,-0.079248,21780759.407407,20104491.200000,19248468.911111,1.219273,239.212221,241.132999,244.838444,-0.081226,4.111111,0.888889,0.444444,0.222222,0.111111,0.333333,0.400000,-1.000000,0,0.025425,False,momentum_leader,none,unclear,unclear,needs_review
Cybersecurity,6,6,0.016589,0.025201,-0.071547,-0.045676,-0.017845,0.614041,0.486750,0.340828,5681207.944444,4801564.766667,4953747.858333,1.371897,162.163334,165.756668,169.000417,-0.113870,4.000000,1.000000,0.166667,0.000000,0.000000,0.500000,0.291667,-9.000000,0,0.038769,False,early_recovery,none,unclear,unclear,needs_review
Defense,7,7,-0.012298,0.011254,0.066104,0.067487,0.080136,-0.005600,-0.137284,0.122357,2110331.904762,2020867.714286,1679082.642857,1.300004,346.697426,336.289571,333.664071,-0.046269,6.285714,0.857143,0.857143,0.857143,0.142857,0.285714,0.657143,1.000000,6,-0.041827,True,momentum_leader,momentum_exhaustion,unclear,unclear,needs_review
Defense Drones,5,5,-0.055619,-0.063612,0.011024,-0.166716,-0.161139,-0.228031,-0.509711,0.320500,14178116.733333,16061142.040000,24623750.510000,0.722050,43.202000,43.175700,44.270000,-0.148854,5.200000,0.000000,0.200000,0.000000,0.000000,0.000000,0.050000,-1.000000,0,0.044824,False,neutral,none,unclear,unclear,needs_review
Defensive Healthcare,6,6,-0.001162,0.006153,0.013600,0.034464,0.034961,0.132577,0.146229,0.428671,12647092.500000,11723225.500000,12535534.708333,0.832822,197.756668,196.406638,195.251347,-0.027472,5.333333,0.500000,0.833333,0.333333,0.000000,0.000000,0.391667,-3.000000,0,-0.023179,False,neutral,none,defensive_rotation,defensive_rotation,inferred
Defensive Staples,6,6,0.002825,0.031615,-0.006430,0.018863,0.020123,-0.008319,0.037774,0.111321,12726458.944444,11273258.700000,10479701.341667,0.938291,255.723336,252.661938,252.113075,-0.027620,4.666667,0.833333,0.500000,0.166667,0.000000,0.166667,0.350000,-7.000000,0,-0.009325,False,early_recovery,none,defensive_rotation,defensive_rotation,inferred
Electric Vehicles,1,1,-0.001197,-0.033908,-0.210223,-0.273807,-0.265692,-0.171540,-0.284175,0.001882,38611459.666667,44702755.800000,42824808.950000,0.853570,307.372003,335.990002,368.042500,-0.216679,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-2.000000,0,0.168466,False,weak,none,unclear,unclear,needs_review
Energy Storage,5,5,-0.025816,-0.071136,-0.125690,-0.268640,-0.302938,-0.077446,-0.212099,0.166844,3874853.200000,3467439.920000,3155913.980000,1.123286,58.554800,61.590800,66.316200,-0.194210,3.200000,0.000000,0.000000,0.000000,0.000000,0.200000,0.020000,-2.000000,0,0.078727,False,weak,none,unclear,unclear,needs_review
Fintech,6,6,-0.015786,-0.000901,-0.044365,-0.005001,0.036858,0.109280,-0.038727,-0.169020,29385143.444444,26057722.733333,24125162.350000,0.951968,80.358333,81.237916,82.537458,-0.095155,3.666667,0.666667,0.500000,0.000000,0.000000,0.166667,0.275000,-6.000000,0,0.036169,False,weak,none,unclear,unclear,needs_review
Market ETFs,8,8,-0.003590,-0.005642,-0.021123,-0.027998,-0.034354,0.054143,0.110452,0.272902,20804094.458333,18583767.450000,16024334.231250,1.005738,438.563500,441.228625,445.425732,-0.041257,4.500000,0.625000,0.000000,0.000000,0.000000,0.250000,0.150000,-8.000000,0,0.032124,False,weak,none,unclear,unclear,needs_review
Nuclear,8,8,-0.014971,-0.031563,0.052171,-0.073614,-0.092187,-0.198557,-0.397424,-0.277446,7674719.625000,7663176.775000,7377662.318750,0.992234,93.434750,94.049126,93.780938,-0.114368,5.500000,0.125000,0.750000,0.125000,0.000000,0.000000,0.243750,10.000000,1,0.076259,True,momentum_leader,momentum_exhaustion,policy_driven,policy_or_thematic_support,inferred
Quantum Computing,1,1,-0.004176,0.049897,0.019088,-0.304086,-0.328389,-0.150558,-0.218996,-0.102834,19945810.666667,20605906.400000,18695971.600000,0.945724,34.080000,34.368000,38.526000,-0.109410,3.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.450000,16.000000,0,0.127463,False,momentum_leader,none,unclear,unclear,needs_review
Renewables,5,5,-0.042125,-0.057095,-0.087629,-0.166430,-0.180830,-0.118095,-0.158448,0.240158,3569865.333333,3234039.200000,3019499.800000,1.043212,274.359201,283.962001,294.732600,-0.132837,3.800000,0.200000,0.000000,0.000000,0.000000,0.400000,0.080000,-2.000000,0,0.045592,False,weak,none,unclear,unclear,needs_review
Robotics Automation,6,6,0.039830,0.038673,0.018014,-0.063570,-0.081591,0.068510,0.148024,0.449381,2657561.666667,2401517.000000,2145685.916667,1.030330,255.801001,255.187001,261.343250,-0.071800,4.666667,0.666667,0.666667,0.333333,0.000000,0.166667,0.400000,7.000000,0,0.062815,False,momentum_leader,none,unclear,unclear,needs_review
Semiconductors,18,18,-0.032812,-0.086561,-0.058668,-0.154306,-0.196771,0.086693,0.406152,1.332611,31934944.185185,30349627.622222,26340986.627778,1.328371,369.209839,383.981216,397.366788,-0.165785,3.888889,0.000000,0.111111,0.000000,0.000000,0.555556,0.083333,-2.000000,0,0.072019,False,weak,none,risk_on_growth,industry_flow_leads_leaders,inferred
Space,11,11,-0.007574,-0.041232,-0.004459,-0.271010,-0.289701,-0.139521,-0.071389,0.653857,7228746.545455,6912531.563636,8003019.254545,0.821660,29.062363,29.712318,32.132750,-0.139905,4.636364,0.090909,0.454545,0.000000,0.000000,0.000000,0.131818,7.000000,0,0.071539,False,weak,none,unclear,unclear,needs_review
Telecom Infrastructure,1,1,-0.020474,-0.065776,-0.124277,-0.295895,-0.315512,-0.270465,0.332845,1.227941,103053597.333333,105087338.400000,97798824.600000,1.085604,8.962000,9.565000,10.719500,-0.208843,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0,0.116131,False,weak,none,unclear,unclear,needs_review
