ticker,company_name,industry_group,latest_date,data_points,return_3d,return_5d,return_10d,return_20d,return_1m,return_3m,return_6m,return_1y,avg_volume_3d,avg_volume_5d,avg_volume_20d,relative_volume,ma_5d,ma_10d,ma_20d,max_drawdown_10d,up_days_10d,early_momentum_signal,confirmed_momentum_signal,strong_momentum_signal,risk_warning,relative_strength_vs_industry,leader_type,industry_quality_score,distance_from_20d_ma,distance_from_52w_high,position_in_52w_range,forward_pe,earnings_growth,peg_ratio,peg_rating,peg_status,peg_note,industry_regime,industry_risk_flag,rotation_type,causal_hypothesis,evidence_status,short_term_price_zone,long_term_price_zone,price_zone,current_state,watch_status,latest_volume,data_status,data_quality_note
ANET,Arista Networks Inc.,AI Infrastructure,2026-07-21,251,0.035714,-0.043764,0.048780,0.000115,0.028939,0.046329,0.344682,0.590271,6646732.666667,7289679.600000,8498864.900000,0.747617,170.604001,176.944002,170.838002,-0.098417,7,False,False,False,True,0.021684,infrastructure_leader,5,0.021904,-0.066217,0.839596,39.077870,0.250000,1.563115,fair,ok,Forward PEG uses Yahoo forwardPE divided by earningsGrowth percent.,momentum_leader,none,risk_on_growth,industry_flow_leads_leaders,inferred,neutral,extended,extended,overextended,too_extended,6353898,ok,資料日期與本次市場日期一致。
VRT,Vertiv Holdings Co.,AI Infrastructure,2026-07-21,251,0.035327,0.003031,-0.003534,-0.149346,-0.085723,-0.031318,0.721787,1.433039,4188056.666667,4291134.000000,6190548.500000,0.440295,296.882001,305.444998,309.825500,-0.106076,5,True,False,False,True,-0.030631,infrastructure_leader,5,-0.017189,-0.190486,0.718423,34.317013,1.357000,0.252889,undervalued,ok,Forward PEG uses Yahoo forwardPE divided by earningsGrowth percent.,momentum_leader,none,risk_on_growth,industry_flow_leads_leaders,inferred,neutral,neutral,neutral,early_recovery,avoid_for_now,2725670,ok,資料日期與本次市場日期一致。
DELL,Dell Technologies Inc.,AI Infrastructure,2026-07-21,251,0.032628,-0.116689,-0.031466,-0.034773,-0.013065,0.984922,2.378197,2.286615,5657737.333333,7274522.400000,7436350.600000,0.666538,397.285999,418.823999,417.686998,-0.165363,5,False,False,False,True,-0.058562,challenger,5,-0.032409,-0.132651,0.826001,18.559210,2.825000,0.065696,undervalued,ok,Forward PEG uses Yahoo forwardPE divided by earningsGrowth percent.,momentum_leader,none,risk_on_growth,industry_flow_leads_leaders,inferred,reasonable_pullback,extended,extended,falling_knife,avoid_for_now,4956612,ok,資料日期與本次市場日期一致。
HPE,Hewlett Packard Enterprise Co.,AI Infrastructure,2026-07-21,251,0.035232,-0.057304,0.074764,-0.034711,-0.014554,0.684886,1.199572,1.336755,13299342.000000,17431865.200000,20089011.300000,0.653120,45.924001,46.874001,45.908000,-0.100888,5,False,False,False,True,0.047668,non_leader,5,0.017688,-0.165509,0.746690,11.684060,,,unavailable,missing_growth,Yahoo Finance earningsGrowth is missing.,momentum_leader,none,risk_on_growth,industry_flow_leads_leaders,inferred,neutral,neutral,neutral,sideways_base,avoid_for_now,13120526,ok,資料日期與本次市場日期一致。
SMCI,Super Micro Computer Inc.,AI Infrastructure,2026-07-21,251,0.033225,-0.077758,-0.028571,-0.280880,-0.168297,-0.114891,-0.218750,-0.488568,28014475.333333,29123185.200000,40299521.300000,0.666490,25.016000,26.511000,27.949000,-0.158248,4,False,False,False,True,-0.055668,challenger,5,-0.087624,-0.579970,0.123693,8.160234,3.260000,0.025031,undervalued,ok,Forward PEG uses Yahoo forwardPE divided by earningsGrowth percent.,momentum_leader,none,risk_on_growth,industry_flow_leads_leaders,inferred,reasonable_pullback,deep_pullback,deep_pullback,falling_knife,avoid_for_now,26859226,ok,資料日期與本次市場日期一致。
ETN,Eaton Corporation plc,AI Infrastructure,2026-07-21,251,0.016857,-0.030251,0.018373,-0.075336,-0.044621,-0.008603,0.179123,0.093858,1933727.000000,2197256.200000,2264589.050000,0.662496,402.695996,404.451996,406.562497,-0.046327,7,False,False,False,False,-0.008723,infrastructure_leader,5,-0.008885,-0.075336,0.730481,25.541592,-0.094000,,unavailable,invalid_growth,Yahoo Finance earningsGrowth is zero or negative.,momentum_leader,none,risk_on_growth,industry_flow_leads_leaders,inferred,neutral,neutral,neutral,sideways_base,research_candidate,1500281,ok,資料日期與本次市場日期一致。
NBIS,Nebius Group N.V.,AI Infrastructure,2026-07-21,251,0.262851,0.117626,0.111327,-0.235147,-0.243364,0.362905,0.995033,3.252500,22349225.333333,22860595.200000,18146393.800000,1.390572,189.706000,200.545998,221.381499,-0.217983,6,True,False,False,True,0.084231,emerging_leader,4,-0.020153,-0.243364,0.704727,-2900.775400,,,unavailable,missing_pe,Yahoo Finance forwardPE is missing or not positive.,momentum_leader,none,risk_on_growth,industry_flow_leads_leaders,inferred,neutral,neutral,neutral,early_recovery,avoid_for_now,25233876,ok,資料日期與本次市場日期一致。
NVDA,NVIDIA Corporation,Semiconductors,2026-07-21,251,-0.000530,-0.021294,0.052608,-0.006518,-0.016137,0.027079,0.114444,0.242688,113735498.333333,117797959.000000,136675059.750000,0.791828,206.655997,206.646999,201.686499,-0.045600,6,False,False,False,False,0.054237,core_leader,5,0.027783,-0.119659,0.600277,16.139519,2.145000,0.075243,undervalued,ok,Forward PEG uses Yahoo forwardPE divided by earningsGrowth percent.,momentum_leader,none,risk_on_growth,industry_flow_leads_leaders,inferred,neutral,neutral,neutral,sideways_base,research_candidate,108223095,ok,資料日期與本次市場日期一致。
AMD,Advanced Micro Devices Inc.,Semiconductors,2026-07-21,251,0.086817,-0.006750,0.054872,-0.013052,0.013138,0.980105,1.348402,2.518808,27592850.333333,27539690.200000,28359617.550000,0.959884,514.768005,527.838000,530.968997,-0.111366,6,False,False,False,True,0.056501,challenger,5,0.025352,-0.062798,0.915117,40.433754,0.912000,0.443353,undervalued,ok,Forward PEG uses Yahoo forwardPE divided by earningsGrowth percent.,momentum_leader,none,risk_on_growth,industry_flow_leads_leaders,inferred,neutral,extended,extended,overextended,too_extended,27221951,ok,資料日期與本次市場日期一致。
AVGO,Broadcom Inc.,Semiconductors,2026-07-21,251,0.032180,-0.006708,0.042397,-0.014357,-0.058924,-0.031325,0.102965,0.397509,18047670.333333,18774862.200000,24138040.550000,0.681510,380.844000,386.714996,379.898499,-0.075491,6,False,False,False,False,0.044026,core_leader,5,0.017377,-0.196147,0.538256,19.860569,0.854000,0.232559,undervalued,ok,Forward PEG uses Yahoo forwardPE divided by earningsGrowth percent.,momentum_leader,none,risk_on_growth,industry_flow_leads_leaders,inferred,neutral,neutral,neutral,sideways_base,research_candidate,16450311,ok,資料日期與本次市場日期一致。
