industry_group,ticker_count,tickers_with_data,return_3d,return_5d,return_10d,return_20d,return_1m,return_3m,return_6m,return_1y,avg_volume_3d,avg_volume_5d,avg_volume_20d,relative_volume,ma_5d,ma_10d,ma_20d,max_drawdown_10d,up_days_10d,positive_5d_pct,positive_10d_pct,confirmed_signal_pct,strong_signal_pct,high_relative_volume_pct,breadth_score,rotation_score,momentum_persistence,momentum_acceleration,momentum_exhaustion_warning,industry_regime,industry_risk_flag,rotation_type,causal_hypothesis,evidence_status
AI Infrastructure,6,6,-0.110236,-0.018137,0.209694,0.262449,0.216907,0.653922,0.753664,1.118410,19277906.444444,26425357.200000,18599199.300000,0.955571,238.028665,226.037999,212.761250,-0.121515,5.833333,0.166667,0.833333,0.166667,0.000000,0.166667,0.300000,3.000000,3,-0.187061,True,momentum_leader,momentum_exhaustion,risk_on_growth,industry_flow_leads_leaders,inferred
Adtech,6,6,-0.043872,-0.026256,0.063604,0.008605,0.021398,0.046899,-0.012997,-0.057666,5232460.222222,5504879.466667,5851159.866667,0.864411,127.459335,125.477168,117.825501,-0.079661,5.333333,0.333333,0.666667,0.166667,0.000000,0.000000,0.275000,5.000000,0,-0.033998,True,momentum_leader,momentum_exhaustion,unclear,unclear,needs_review
Cloud Software,8,8,-0.093154,-0.042680,0.137876,0.172065,0.278789,0.210258,-0.086994,0.071362,15576580.083333,19455495.550000,16992324.512500,0.864108,253.052749,238.695000,224.187061,-0.130060,5.125000,0.125000,0.875000,0.000000,0.000000,0.125000,0.256250,-1.000000,1,-0.135086,True,momentum_leader,momentum_exhaustion,unclear,unclear,needs_review
Consumer Hardware,1,1,-0.024937,-0.015125,0.007705,0.070217,0.069956,0.194839,0.083621,0.513139,53509991.333333,50782914.800000,47787253.700000,1.356516,310.068005,310.291003,304.240001,-0.024937,5.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0.350000,,0,-0.011029,False,momentum_leader,none,unclear,unclear,needs_review
Consumer Platforms,9,9,-0.005155,-0.019081,-0.016203,-0.036682,-0.035408,-0.010223,-0.088660,-0.042984,22872392.185185,22604526.422222,19193231.050000,1.124407,244.024888,247.832556,245.150278,-0.063847,4.444444,0.333333,0.222222,0.111111,0.000000,0.444444,0.194444,0.000000,0,-0.002101,False,weak,none,unclear,unclear,needs_review
Cybersecurity,6,6,-0.092354,-0.030344,0.071159,0.277979,0.385730,0.422205,0.230649,0.097146,6343584.111111,7306400.466667,6133080.116667,0.883757,244.811333,234.700833,218.290000,-0.141065,5.500000,0.166667,0.833333,0.166667,0.000000,0.166667,0.300000,1.000000,0,-0.160586,True,momentum_leader,momentum_exhaustion,unclear,unclear,needs_review
Defense,7,7,0.011079,-0.018369,-0.000241,-0.007372,-0.015682,-0.205912,0.003440,0.183375,1526230.571429,1569358.342857,1703492.442857,0.833343,328.327430,333.172028,333.570715,-0.052780,4.857143,0.142857,0.714286,0.000000,0.000000,0.000000,0.207143,5.000000,0,0.012308,False,weak,none,unclear,unclear,needs_review
Defense Drones,5,5,-0.142209,-0.137779,0.150797,0.145710,0.096626,-0.136939,0.031041,1.443387,20099630.933333,21985038.560000,23738461.640000,0.810804,58.592000,57.465400,53.069150,-0.163339,6.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.250000,-1.000000,7,-0.095042,True,momentum_leader,momentum_exhaustion,unclear,unclear,needs_review
Defensive Healthcare,6,6,0.054547,0.040943,0.034152,0.062717,0.058669,0.051668,0.068050,0.311920,13843573.611111,13244387.500000,12516111.041667,1.041686,175.434333,175.319999,174.409180,-0.042872,4.833333,0.833333,1.000000,0.166667,0.000000,0.333333,0.491667,11.000000,0,0.020286,False,momentum_leader,none,defensive_rotation,defensive_rotation,inferred
Defensive Staples,6,6,0.021189,0.006178,-0.026854,-0.031036,-0.033273,-0.036363,0.061509,0.064572,12516237.777778,11877046.000000,10815103.166667,1.289904,254.456666,258.791000,265.846998,-0.063718,4.333333,0.666667,0.166667,0.000000,0.000000,0.666667,0.241667,4.000000,0,0.041576,False,early_recovery,none,defensive_rotation,defensive_rotation,inferred
Electric Vehicles,1,1,-0.077264,-0.102779,-0.064258,-0.050487,-0.019387,-0.014443,-0.124771,0.324795,46884726.666667,44637616.000000,49758204.000000,1.222516,414.554004,425.062003,425.872000,-0.115585,5.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.100000,,0,-0.049284,False,weak,none,unclear,unclear,needs_review
