ticker,company_name,industry_group,latest_date,data_points,return_3d,return_5d,return_10d,return_20d,avg_volume_3d,avg_volume_5d,avg_volume_20d,relative_volume,ma_5d,ma_10d,ma_20d,max_drawdown_10d,up_days_10d,early_momentum_signal,confirmed_momentum_signal,strong_momentum_signal,risk_warning,relative_strength_vs_industry,leader_type,industry_quality_score,distance_from_20d_ma,distance_from_52w_high,position_in_52w_range,industry_regime,short_term_price_zone,long_term_price_zone,price_zone,current_state,watch_status,latest_volume,data_status,data_quality_note
ANET,Arista Networks Inc.,AI Infrastructure,2026-05-13,251,-0.007618,-0.043316,-0.165935,-0.088382,15097258.333333,16783815.000000,11537488.750000,1.211249,140.635999,153.848999,161.853499,-0.210063,3,False,False,False,True,-0.261052,infrastructure_leader,5,-0.130757,-0.208406,0.595103,exhaustion,deep_pullback,neutral,deep_pullback,falling_knife,avoid_for_now,13974775,ok,資料日期與本次市場日期一致。
VRT,Vertiv Holdings Co.,AI Infrastructure,2026-05-13,251,0.088302,0.030842,0.208407,0.228550,6092144.333333,5563106.600000,5871811.650000,0.756331,357.004004,347.273001,329.252000,-0.052797,6,False,True,False,False,0.113290,infrastructure_leader,5,0.123729,0.000000,1.000000,exhaustion,extended,very_extended,very_extended,overextended,not_eligible_industry,4441033,ok,資料日期與本次市場日期一致。
DELL,Dell Technologies Inc.,AI Infrastructure,2026-05-13,251,-0.063695,0.021231,0.185792,0.379877,7609101.666667,7968741.000000,6415990.250000,0.648303,244.115997,230.645999,219.065405,-0.082623,7,False,True,False,True,0.090676,challenger,5,0.113229,-0.063695,0.892272,exhaustion,extended,extended,extended,overextended,not_eligible_industry,4159505,ok,資料日期與本次市場日期一致。
HPE,Hewlett Packard Enterprise Co.,AI Infrastructure,2026-05-13,251,0.022966,0.055976,0.133216,0.302599,17325401.333333,17041160.800000,14779010.200000,1.798348,30.840000,30.066000,28.951500,-0.036364,6,False,True,True,False,0.038099,non_leader,5,0.107715,0.000000,1.000000,exhaustion,extended,very_extended,very_extended,overextended,not_eligible_industry,26577804,ok,資料日期與本次市場日期一致。
SMCI,Super Micro Computer Inc.,AI Infrastructure,2026-05-13,251,-0.095278,-0.076746,0.215805,0.172591,33315194.333333,42443016.600000,38091144.150000,0.660374,33.460000,31.220000,29.641500,-0.095278,4,False,False,False,True,0.120689,challenger,5,0.079568,-0.472904,0.285465,exhaustion,neutral,reasonable_pullback,reasonable_pullback,pullback_in_uptrend,not_eligible_industry,25154383,ok,資料日期與本次市場日期一致。
ETN,Eaton Corporation plc,AI Infrastructure,2026-05-13,251,0.013524,-0.031623,-0.006586,0.032918,2997851.333333,2994090.800000,2900457.700000,0.798410,405.406000,413.445615,412.110722,-0.078197,5,False,False,False,False,-0.101703,infrastructure_leader,5,-0.012547,-0.057609,0.788905,exhaustion,neutral,neutral,neutral,sideways_base,not_eligible_industry,2315754,ok,資料日期與本次市場日期一致。
NVDA,NVIDIA Corporation,Semiconductors,2026-05-13,251,0.049396,0.086609,0.079235,0.135566,154095101.000000,153402920.600000,149802955.150000,0.950735,218.550000,209.358000,207.249500,-0.015383,7,True,True,False,False,-0.115863,core_leader,5,0.089653,0.000000,1.000000,exhaustion,extended,very_extended,very_extended,overextended,not_eligible_industry,142422903,ok,資料日期與本次市場日期一致。
AMD,Advanced Micro Devices Inc.,Semiconductors,2026-05-13,251,-0.021288,0.057215,0.321527,0.725941,38082401.333333,43453520.800000,48818395.200000,0.594483,443.246002,404.945004,355.854501,-0.052699,6,False,True,False,True,0.126429,challenger,5,0.251916,-0.028968,0.961863,exhaustion,very_extended,very_extended,very_extended,overextended,not_eligible_industry,29021704,ok,資料日期與本次市場日期一致。
AVGO,Broadcom Inc.,Semiconductors,2026-05-13,251,-0.030721,-0.020332,0.027969,0.050590,17262033.666667,19427840.200000,19257330.050000,0.828583,421.415997,421.508997,415.536501,-0.034631,4,False,False,False,False,-0.167130,core_leader,5,0.003017,-0.030721,0.934999,exhaustion,neutral,very_extended,very_extended,overextended,not_eligible_industry,15956301,ok,資料日期與本次市場日期一致。
TSM,Taiwan Semiconductor Manufacturing Co. Ltd.,Semiconductors,2026-05-13,251,-0.028857,-0.046961,0.015159,0.065849,15288454.333333,15559952.600000,15040778.150000,0.868543,405.489996,403.669998,393.428998,-0.052968,5,False,False,False,False,-0.179940,core_leader,5,0.016193,-0.046961,0.914380,exhaustion,neutral,extended,extended,sideways_base,not_eligible_industry,13063563,ok,資料日期與本次市場日期一致。
