ticker,company_name,industry_group,latest_date,data_points,return_3d,return_5d,return_10d,return_20d,avg_volume_3d,avg_volume_5d,avg_volume_20d,relative_volume,ma_5d,ma_10d,ma_20d,max_drawdown_10d,up_days_10d,early_momentum_signal,confirmed_momentum_signal,strong_momentum_signal,risk_warning,relative_strength_vs_industry
ANET,Arista Networks Inc.,AI Infrastructure,2026-05-06,123,-0.148466,-0.128172,-0.172565,0.013717,19369837.333333,14380722.400000,9047385.600000,3.896906,167.062000,169.120999,164.400500,-0.168730,3,False,False,False,True,-0.237132
VRT,Vertiv Holdings Co.,AI Infrastructure,2026-05-06,123,0.093235,0.172252,0.176247,0.277159,5314397.666667,5324098.600000,5724479.650000,0.971196,337.541998,326.655997,314.720000,-0.056978,7,True,True,False,False,0.111680
DELL,Dell Technologies Inc.,AI Infrastructure,2026-05-06,123,0.136223,0.161140,0.112509,0.291524,5780440.333333,5197544.200000,6088201.050000,1.500956,217.176001,214.167000,203.437926,-0.048267,6,True,True,True,True,0.047942
HPE,Hewlett Packard Enterprise Co.,AI Infrastructure,2026-05-06,123,0.063003,0.073145,0.065240,0.215773,11359003.333333,12460342.000000,13804700.500000,0.754729,29.292000,28.742000,27.422500,-0.023410,7,True,True,False,False,0.000673
SMCI,Super Micro Computer Inc.,AI Infrastructure,2026-05-06,123,0.279439,0.316869,0.187800,0.483098,69428409.333333,50871445.600000,35845561.400000,3.449616,28.980000,28.215000,27.723500,-0.094911,4,True,False,False,True,0.123233
ETN,Eaton Corporation plc,AI Infrastructure,2026-05-06,123,-0.009776,0.025854,0.018170,0.092873,4294473.000000,3722563.800000,2636085.950000,1.027440,422.650000,420.228000,411.806000,-0.051154,3,False,False,False,False,-0.046397
NVDA,NVIDIA Corporation,Semiconductors,2026-05-06,123,0.047266,-0.006786,0.026321,0.141421,141166989.666667,155477433.800000,149129478.450000,1.238697,200.166000,204.777000,200.473500,-0.092840,4,False,False,False,True,-0.209250
AMD,Advanced Micro Devices Inc.,Semiconductors,2026-05-06,123,0.168775,0.250008,0.388618,0.817747,63827364.666667,53575318.800000,44671424.700000,1.908307,366.644006,348.131000,307.128001,-0.070728,7,True,True,True,True,0.153047
AVGO,Broadcom Inc.,Semiconductors,2026-05-06,123,0.009875,0.049303,0.006601,0.213359,18969261.333333,18122396.800000,20823184.200000,0.988907,421.601996,417.419000,404.368001,-0.054239,5,True,False,False,False,-0.228970
TSM,Taiwan Semiconductor Manufacturing Co. Ltd.,Semiconductors,2026-05-06,123,0.054895,0.065180,0.082748,0.146488,14064172.333333,12981403.400000,14136995.850000,1.247437,401.850000,398.551999,385.089000,-0.031211,7,True,True,False,False,-0.152823
ASML,ASML Holding N.V.,Semiconductors,2026-05-06,123,0.082494,0.108071,0.072354,0.089416,1891790.666667,1559374.400000,1808993.600000,1.270470,1447.976001,1432.019299,1448.257776,-0.048100,5,True,False,False,False,-0.163217
MU,Micron Technology Inc.,Semiconductors,2026-05-06,123,0.229395,0.285712,0.367420,0.638901,54339427.333333,47957596.400000,40894299.100000,1.288837,588.522009,546.836008,497.824507,-0.038642,7,True,True,True,True,0.131849
QCOM,Qualcomm Incorporated,Semiconductors,2026-05-06,123,0.087905,0.234423,0.415227,0.510235,28914635.000000,33797621.000000,20081320.250000,1.461637,180.818002,164.315001,148.795501,-0.062368,6,True,True,True,True,0.179657
INTC,Intel Corporation,Semiconductors,2026-05-06,123,0.134411,0.192718,0.731423,0.917048,157375176.000000,158245125.600000,143315531.400000,1.076991,102.208002,92.462000,78.844000,-0.038547,7,False,True,False,True,0.495853
ARM,Arm Holdings plc,Semiconductors,2026-05-06,123,0.123686,0.176558,0.207204,0.593580,10514367.333333,8848840.400000,9125245.100000,1.846416,214.179999,212.653999,188.981250,-0.153997,7,True,True,False,True,-0.028367
AMAT,Applied Materials Inc.,Semiconductors,2026-05-06,123,0.101624,0.120312,0.062308,0.111221,6200016.000000,6047309.600000,5792637.400000,1.245831,402.877997,400.389996,398.154999,-0.086155,7,True,True,False,True,-0.173263
TXN,Texas Instruments Incorporated,Semiconductors,2026-05-06,123,0.035196,0.080568,0.231055,0.392583,7625818.666667,7687691.200000,8338372.800000,1.206057,281.833673,276.536749,249.585763,-0.061049,5,False,False,False,True,-0.004516
AVAV,AeroVironment Inc.,Defense Drones,2026-05-06,123,-0.057307,-0.049755,-0.170062,-0.067241,1489106.000000,1329983.600000,1179545.900000,1.203021,180.262000,187.108000,191.332001,-0.174434,2,False,False,False,True,-0.008058
