industry_group,ticker_count,tickers_with_data,return_3d,return_5d,return_10d,return_20d,return_1m,return_3m,return_6m,return_1y,avg_volume_3d,avg_volume_5d,avg_volume_20d,relative_volume,ma_5d,ma_10d,ma_20d,max_drawdown_10d,up_days_10d,positive_5d_pct,positive_10d_pct,confirmed_signal_pct,strong_signal_pct,high_relative_volume_pct,breadth_score,rotation_score,momentum_persistence,momentum_acceleration,momentum_exhaustion_warning,industry_regime,industry_risk_flag,rotation_type,causal_hypothesis,evidence_status
AI Infrastructure,7,7,-0.056830,-0.087972,-0.081085,-0.158919,-0.174612,0.559624,0.795887,1.149666,16698955.380952,18514676.085714,21205657.592857,0.871612,230.648857,235.857999,231.189392,-0.153160,4.285714,0.000000,0.000000,0.000000,0.000000,0.142857,0.014286,-9.000000,0,-0.037880,False,weak,none,risk_on_growth,industry_flow_leads_leaders,inferred
Adtech,6,6,0.045907,0.140814,0.101339,0.123416,0.077984,0.379587,0.048545,0.007188,5975563.277778,7022484.633333,7275914.491667,0.707639,119.600998,114.520748,115.983041,-0.048135,5.333333,1.000000,1.000000,0.500000,0.000000,0.000000,0.575000,0.000000,2,0.026976,True,momentum_leader,momentum_exhaustion,unclear,unclear,needs_review
Cloud Software,8,8,0.043792,0.130173,0.051219,-0.087280,-0.139478,0.289050,-0.078815,-0.049708,16714827.416667,21617268.950000,17827940.987500,0.840235,220.379249,213.892999,221.701967,-0.074059,4.500000,0.875000,0.875000,0.250000,0.000000,0.000000,0.456250,9.000000,0,0.031697,False,neutral,none,unclear,unclear,needs_review
Consumer Hardware,1,1,0.095443,0.121679,0.042845,-0.005254,-0.020844,0.208443,0.132281,0.450969,62388375.333333,103073525.200000,68950686.300000,1.042785,291.577997,291.543997,294.802499,-0.076709,5.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.450000,5.000000,0,0.117243,False,neutral,none,unclear,unclear,needs_review
Consumer Platforms,9,9,0.023708,0.076076,0.051790,0.035836,0.027445,0.103037,-0.064100,-0.056932,22188341.407407,30748613.733333,24948366.211111,0.778819,237.594888,234.467332,236.488578,-0.053984,5.333333,1.000000,0.888889,0.444444,0.000000,0.000000,0.533333,1.000000,0,0.029885,True,momentum_leader,momentum_exhaustion,unclear,unclear,needs_review
Cybersecurity,6,6,0.066406,0.192603,0.220919,0.146137,0.091041,0.865553,0.554260,0.290100,5948956.611111,6684175.433333,6478976.491667,0.790498,164.923000,155.407042,149.525312,-0.019664,7.666667,1.000000,1.000000,1.000000,0.000000,0.000000,0.700000,2.000000,5,-0.001585,True,momentum_leader,momentum_exhaustion,unclear,unclear,needs_review
Defense,7,7,0.072758,0.073115,0.005082,0.037778,0.024925,-0.131381,-0.031194,0.147930,1704090.761905,1933351.600000,1921412.900000,1.006180,322.709143,319.724285,326.706990,-0.035870,5.571429,1.000000,0.571429,0.428571,0.000000,0.142857,0.464286,5.000000,0,0.046232,False,neutral,none,unclear,unclear,needs_review
Defense Drones,5,5,0.096780,0.153882,-0.047718,-0.185591,-0.252331,-0.078524,-0.113247,0.827124,22936839.266667,23782423.560000,17091251.890000,1.262909,46.975600,45.858100,49.336650,-0.182351,4.400000,0.800000,0.200000,0.200000,0.200000,0.400000,0.340000,6.000000,0,0.051259,False,early_recovery,none,unclear,unclear,needs_review
Defensive Healthcare,6,6,0.014094,0.045711,0.083783,0.114941,0.123747,0.131783,0.143186,0.369878,15058427.444444,17702976.466667,16416084.950000,0.694558,194.525669,188.865904,185.038222,-0.030839,6.166667,1.000000,0.833333,0.833333,0.000000,0.000000,0.616667,2.000000,1,0.011708,True,momentum_leader,momentum_exhaustion,defensive_rotation,defensive_rotation,inferred
Defensive Staples,6,6,0.014775,0.020036,0.009910,0.040799,0.040955,0.014921,0.103390,0.076009,12311472.833333,13937990.366667,12232920.091667,0.823324,253.168663,254.270498,256.832163,-0.039369,5.000000,0.833333,0.666667,0.333333,0.000000,0.000000,0.416667,1.000000,0,0.043940,False,neutral,none,defensive_rotation,defensive_rotation,inferred
Electric Vehicles,1,1,-0.044653,0.048864,-0.007392,-0.071395,-0.071482,0.031973,-0.134190,0.247661,51842751.000000,53321630.600000,49370497.650000,1.458660,406.179999,396.869995,399.156998,-0.074888,6.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.300000,1.000000,0,-0.083669,False,early_recovery,none,unclear,unclear,needs_review
Energy Storage,5,5,-0.067082,-0.052120,-0.090114,-0.246060,-0.291398,0.119798,0.269151,0.501008,4761186.400000,4418043.840000,4485219.960000,1.016388,80.768000,82.263601,82.083000,-0.182161,4.800000,0.400000,0.200000,0.000000,0.000000,0.200000,0.150000,-1.000000,0,-0.061936,False,weak,none,unclear,unclear,needs_review
