ticker,company_name,industry_group,latest_date,data_points,return_3d,return_5d,return_10d,return_20d,avg_volume_3d,avg_volume_5d,avg_volume_20d,relative_volume,ma_5d,ma_10d,ma_20d,max_drawdown_10d,up_days_10d,early_momentum_signal,confirmed_momentum_signal,strong_momentum_signal,risk_warning,relative_strength_vs_industry,leader_type,industry_quality_score,distance_from_20d_ma,distance_from_52w_high,position_in_52w_range,industry_regime,industry_risk_flag,rotation_type,causal_hypothesis,evidence_status,short_term_price_zone,long_term_price_zone,price_zone,current_state,watch_status,latest_volume,data_status,data_quality_note
ANET,Arista Networks Inc.,AI Infrastructure,2026-05-28,251,0.008050,0.105203,0.103632,-0.079500,8632961.666667,9614817.000000,12903524.250000,0.548795,154.041998,148.377000,151.113000,-0.049523,5,True,False,False,False,-0.016812,infrastructure_leader,5,0.027509,-0.126371,0.754482,neutral,none,risk_on_growth,industry_flow_leads_leaders,inferred,neutral,neutral,neutral,early_recovery,not_eligible_industry,7081385,ok,資料日期與本次市場日期一致。
VRT,Vertiv Holdings Co.,AI Infrastructure,2026-05-28,251,-0.040555,-0.004720,-0.150842,0.026128,5722421.333333,5438072.800000,5664633.200000,0.944556,321.745996,333.393002,340.333002,-0.164926,3,False,False,False,True,-0.271286,infrastructure_leader,5,-0.076845,-0.164926,0.768844,neutral,none,risk_on_growth,industry_flow_leads_leaders,inferred,reasonable_pullback,neutral,reasonable_pullback,falling_knife,avoid_for_now,5350564,ok,資料日期與本次市場日期一致。
DELL,Dell Technologies Inc.,AI Infrastructure,2026-05-28,251,0.074054,0.305108,0.300078,0.541622,10554965.000000,10406279.000000,7169204.750000,1.826813,295.087997,268.153998,249.399998,-0.050950,7,True,True,True,True,0.179634,challenger,5,0.271251,0.000000,1.000000,neutral,none,risk_on_growth,industry_flow_leads_leaders,inferred,very_extended,very_extended,very_extended,overextended,not_eligible_industry,13096795,ok,資料日期與本次市場日期一致。
HPE,Hewlett Packard Enterprise Co.,AI Infrastructure,2026-05-28,251,0.016764,0.130473,0.191456,0.350177,18731530.333333,19713358.200000,16942714.550000,1.281848,37.004001,35.167000,32.616500,-0.044243,6,True,True,True,True,0.071012,non_leader,5,0.171493,0.000000,1.000000,neutral,none,risk_on_growth,industry_flow_leads_leaders,inferred,very_extended,very_extended,very_extended,overextended,not_eligible_industry,21717991,ok,資料日期與本次市場日期一致。
SMCI,Super Micro Computer Inc.,AI Infrastructure,2026-05-28,251,0.160764,0.234310,0.290625,0.569149,49533443.000000,43223365.800000,41716241.450000,1.670173,37.125999,34.457000,32.838500,-0.074780,6,True,True,True,True,0.170181,challenger,5,0.257670,-0.319717,0.516924,neutral,none,risk_on_growth,industry_flow_leads_leaders,inferred,very_extended,neutral,very_extended,overextended,not_eligible_industry,69673329,ok,資料日期與本次市場日期一致。
ETN,Eaton Corporation plc,AI Infrastructure,2026-05-28,251,0.027060,0.058600,-0.012287,-0.018792,2670468.666667,2459721.200000,3011440.300000,0.767143,396.860004,392.528003,402.986809,-0.088753,6,True,False,False,True,-0.132731,infrastructure_leader,5,-0.002598,-0.069188,0.746477,neutral,none,risk_on_growth,industry_flow_leads_leaders,inferred,neutral,neutral,neutral,early_recovery,avoid_for_now,2310206,ok,資料日期與本次市場日期一致。
NVDA,NVIDIA Corporation,Semiconductors,2026-05-28,251,-0.005016,-0.041258,-0.051278,0.023895,165453731.333333,173803738.800000,162911534.700000,0.868922,215.310001,220.401003,214.879501,-0.098159,3,False,False,False,True,-0.150078,core_leader,5,-0.002930,-0.091160,0.786470,neutral,momentum_exhaustion,risk_on_growth,industry_flow_leads_leaders,inferred,neutral,neutral,neutral,falling_knife,avoid_for_now,141557394,ok,資料日期與本次市場日期一致。
AMD,Advanced Micro Devices Inc.,Semiconductors,2026-05-28,251,0.108190,0.157536,0.162941,0.536858,32253260.333333,31754076.200000,40318669.050000,0.761352,486.924011,459.104004,432.024504,-0.079275,6,True,True,False,True,0.064140,challenger,5,0.199214,0.000000,1.000000,neutral,momentum_exhaustion,risk_on_growth,industry_flow_leads_leaders,inferred,very_extended,very_extended,very_extended,overextended,not_eligible_industry,30696681,ok,資料日期與本次市場日期一致。
AVGO,Broadcom Inc.,Semiconductors,2026-05-28,251,0.030038,0.021113,0.023489,0.052115,19293798.000000,17766618.800000,18562144.700000,0.954496,419.832001,421.368002,421.438499,-0.065304,4,True,False,False,False,-0.075311,core_leader,5,0.012200,-0.030037,0.933872,neutral,momentum_exhaustion,risk_on_growth,industry_flow_leads_leaders,inferred,neutral,very_extended,very_extended,overextended,not_eligible_industry,17717494,ok,資料日期與本次市場日期一致。
TSM,Taiwan Semiconductor Manufacturing Co. Ltd.,Semiconductors,2026-05-28,251,0.050282,0.057866,0.062681,0.078790,11229631.666667,9947739.000000,12975564.750000,0.682922,414.315997,408.382999,406.026498,-0.060112,6,True,True,False,False,-0.036119,core_leader,5,0.046385,0.000000,1.000000,neutral,momentum_exhaustion,risk_on_growth,industry_flow_leads_leaders,inferred,neutral,very_extended,very_extended,overextended,not_eligible_industry,8861295,ok,資料日期與本次市場日期一致。
ASML,ASML Holding N.V.,Semiconductors,2026-05-28,251,-0.016615,0.035894,0.015295,0.151849,1327048.666667,1401249.200000,1629292.300000,0.594458,1612.114014,1562.885010,1532.284003,-0.078933,5,False,False,False,False,-0.083505,infrastructure_leader,5,0.047958,-0.016615,0.971349,neutral,momentum_exhaustion,risk_on_growth,industry_flow_leads_leaders,inferred,neutral,very_extended,very_extended,overextended,not_eligible_industry,968546,ok,資料日期與本次市場日期一致。
