industry_group,ticker_count,tickers_with_data,return_3d,return_5d,return_10d,return_20d,avg_volume_3d,avg_volume_5d,avg_volume_20d,relative_volume,ma_5d,ma_10d,ma_20d,max_drawdown_10d,up_days_10d,positive_5d_pct,positive_10d_pct,confirmed_signal_pct,strong_signal_pct,high_relative_volume_pct,breadth_score,rotation_score,momentum_persistence,momentum_acceleration,momentum_exhaustion_warning,industry_regime,industry_risk_flag,rotation_type,causal_hypothesis,evidence_status
AI Infrastructure,6,6,0.041023,0.138162,0.120444,0.231464,15974298.333333,15142602.333333,14567959.750000,1.173221,206.977666,202.012667,201.547968,-0.078862,5.500000,0.833333,0.666667,0.500000,0.500000,0.500000,0.608333,0.000000,0,-0.005455,False,neutral,none,risk_on_growth,industry_flow_leads_leaders,inferred
Adtech,6,6,0.069119,0.099751,0.135049,0.093321,5327156.000000,4719523.600000,5738314.233333,0.906735,118.982668,114.865334,112.004167,-0.034323,6.666667,1.000000,1.000000,0.666667,0.000000,0.000000,0.616667,11.000000,0,0.023632,False,momentum_leader,none,unclear,unclear,needs_review
Cloud Software,6,6,0.076399,0.090155,0.194849,0.315518,13929436.888889,12156855.466667,10913340.533333,1.994832,188.074332,185.168666,175.303250,-0.045525,6.333333,0.666667,1.000000,0.500000,0.333333,0.666667,0.641667,2.000000,0,0.106948,False,momentum_leader,none,unclear,unclear,needs_review
Consumer Platforms,6,6,0.003454,0.031413,0.044118,-0.002412,12199462.055556,12095087.233333,14052430.975000,0.912182,163.912002,157.931668,155.529000,-0.044950,5.333333,0.333333,0.666667,0.333333,0.000000,0.000000,0.316667,4.000000,0,0.000898,False,neutral,none,unclear,unclear,needs_review
Cybersecurity,6,6,-0.045236,-0.016378,0.125283,0.304490,7100079.555556,5916391.066667,5053945.266667,1.366987,220.401665,214.943500,194.345250,-0.090785,7.333333,0.666667,0.833333,0.666667,0.166667,0.333333,0.575000,-3.000000,0,0.014098,True,neutral,momentum_exhaustion,unclear,unclear,needs_review
Defense,7,7,0.013849,0.024096,0.018602,-0.018806,1482787.476190,1391406.771429,1735292.407143,0.845760,337.974858,336.578033,337.782050,-0.023600,5.428571,0.857143,0.857143,0.428571,0.000000,0.000000,0.492857,-1.000000,0,0.018160,False,neutral,none,unclear,unclear,needs_review
Defense Drones,5,5,0.314093,0.379212,0.408299,0.294758,37655896.400000,28355061.840000,19944735.460000,3.818926,53.764799,50.922300,51.244650,-0.094444,6.400000,1.000000,1.000000,0.800000,0.400000,1.000000,0.830000,8.000000,1,0.199178,False,momentum_leader,none,unclear,unclear,needs_review
Defensive Healthcare,6,6,-0.010170,0.013597,0.010809,0.028278,10524276.555556,10020689.266667,12238392.316667,0.806526,175.382164,174.892055,172.694177,-0.027037,4.500000,0.666667,0.666667,0.333333,0.000000,0.166667,0.400000,-6.000000,0,0.005848,False,neutral,none,defensive_rotation,defensive_rotation,inferred
Defensive Staples,6,6,-0.010553,-0.026653,-0.013573,-0.004791,10382538.388889,11053279.700000,9386945.758333,1.093451,266.681666,271.797831,269.917622,-0.046213,5.500000,0.333333,0.500000,0.333333,0.166667,0.333333,0.341667,-6.000000,0,0.000471,False,weak,none,defensive_rotation,defensive_rotation,inferred
Energy Storage,5,5,0.074912,0.204832,0.302776,0.577280,4774343.800000,5278094.280000,6058896.570000,0.703683,87.313601,82.724200,78.376700,-0.114260,5.800000,1.000000,0.800000,0.800000,0.000000,0.000000,0.600000,-1.000000,6,-0.068830,True,momentum_leader,momentum_exhaustion,unclear,unclear,needs_review
Fintech,6,6,0.073382,0.048750,0.052414,0.063445,22509390.500000,20274364.300000,20584551.908333,1.118004,76.579666,77.450333,78.491250,-0.073423,5.333333,0.833333,0.666667,0.333333,0.000000,0.166667,0.433333,3.000000,0,0.032484,False,neutral,none,unclear,unclear,needs_review
Market ETFs,6,6,0.014788,0.024195,0.022550,0.067625,18396357.888889,19003478.066667,21158123.683333,0.817927,554.164999,549.536732,544.139266,-0.022847,6.166667,1.000000,1.000000,1.000000,0.000000,0.000000,0.700000,-3.000000,0,-0.009297,False,momentum_leader,none,unclear,unclear,needs_review
Nuclear,8,8,0.038099,0.099063,0.003453,0.044344,8362203.958333,8200244.875000,8627987.468750,0.726137,107.172000,103.737475,108.944116,-0.128005,5.125000,1.000000,0.500000,0.250000,0.000000,0.000000,0.387500,1.000000,0,-0.047080,False,neutral,none,policy_driven,policy_or_thematic_support,inferred
Renewables,5,5,0.062028,0.101428,0.064595,0.243205,3092228.933333,2989177.360000,2822385.340000,1.073388,316.700399,312.772923,310.812033,-0.089263,5.800000,0.800000,0.800000,0.400000,0.200000,0.600000,0.560000,-4.000000,0,-0.001095,False,neutral,none,unclear,unclear,needs_review
Robotics Automation,6,6,-0.014616,0.022652,0.010143,0.093210,2326149.555556,2145116.400000,2218791.600000,1.241934,270.609665,266.685948,265.512991,-0.081164,5.000000,0.666667,0.666667,0.166667,0.000000,0.166667,0.358333,-1.000000,0,-0.055806,False,neutral,none,unclear,unclear,needs_review
Semiconductors,11,11,0.053006,0.100676,0.098800,0.316262,40274714.969697,39909145.345455,44446051.790909,0.790291,493.221093,473.256476,456.643504,-0.075017,5.363636,0.909091,0.909091,0.454545,0.000000,0.000000,0.522727,-4.000000,0,-0.034668,True,neutral,momentum_exhaustion,risk_on_growth,industry_flow_leads_leaders,inferred
Space,11,11,0.176192,0.306176,0.413394,0.796602,25385875.363636,21518168.854545,14943036.304545,1.230822,52.631636,48.896545,43.436955,-0.064187,6.909091,1.000000,1.000000,0.818182,0.090909,0.363636,0.709091,0.000000,13,0.014638,False,momentum_leader,none,unclear,unclear,needs_review
