industry_group,ticker_count,tickers_with_data,return_3d,return_5d,return_10d,return_20d,return_1m,return_3m,return_6m,return_1y,avg_volume_3d,avg_volume_5d,avg_volume_20d,relative_volume,ma_5d,ma_10d,ma_20d,max_drawdown_10d,up_days_10d,positive_5d_pct,positive_10d_pct,confirmed_signal_pct,strong_signal_pct,high_relative_volume_pct,breadth_score,rotation_score,momentum_persistence,momentum_acceleration,momentum_exhaustion_warning,industry_regime,industry_risk_flag,rotation_type,causal_hypothesis,evidence_status
AI Infrastructure,7,7,0.135548,0.151839,0.269048,0.284778,0.203550,0.385167,1.056512,1.286931,29486024.904762,23128132.085714,17998993.735714,1.172409,243.461428,237.524229,227.229235,-0.060279,7.000000,1.000000,1.000000,0.857143,0.142857,0.571429,0.750000,11.000000,1,0.050261,False,momentum_leader,none,risk_on_growth,industry_flow_leads_leaders,inferred
Adtech,6,6,-0.000418,0.059945,0.058677,0.021580,0.023834,0.250017,0.495466,0.127129,8266933.333333,14012210.000000,8021099.166667,0.941282,90.727333,95.796167,99.266334,-0.112666,5.333333,0.666667,0.666667,0.500000,0.000000,0.166667,0.441667,-11.000000,0,0.057984,True,neutral,momentum_exhaustion,unclear,unclear,needs_review
Cloud Software,8,8,0.032967,0.111954,0.177823,0.244248,0.240557,0.438474,0.398259,0.277443,13101965.041667,13145251.525000,15789112.881250,1.160743,271.547001,263.406750,243.063375,-0.050334,6.750000,0.875000,0.875000,0.750000,0.250000,0.250000,0.656250,-3.000000,0,0.083280,True,neutral,momentum_exhaustion,unclear,unclear,needs_review
Consumer Hardware,1,1,-0.009732,-0.022044,-0.083696,-0.083228,-0.067105,0.022261,0.109999,0.316211,39209015.333333,39375349.200000,54283477.300000,0.709102,306.748004,307.752866,319.596007,-0.034530,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.005253,False,weak,none,unclear,unclear,needs_review
Consumer Platforms,9,9,-0.004602,0.039499,0.070265,0.048325,0.045006,0.093996,0.147978,-0.021913,14946293.296296,16025509.311111,20575797.327778,0.669873,252.967664,250.980055,245.790582,-0.058066,5.777778,0.666667,0.777778,0.444444,0.000000,0.000000,0.438889,-7.000000,0,0.023707,True,neutral,momentum_exhaustion,unclear,unclear,needs_review
Cybersecurity,6,6,0.041286,0.090896,0.196268,0.093792,0.070921,0.641243,0.841564,0.727568,3925512.111111,4075053.933333,4613623.483333,0.832604,188.568666,182.467999,174.233500,-0.021168,7.000000,1.000000,1.000000,0.833333,0.000000,0.000000,0.658333,1.000000,0,0.053094,True,momentum_leader,momentum_exhaustion,unclear,unclear,needs_review
Defense,7,7,-0.004602,0.014945,0.074386,0.143637,0.136181,0.097770,-0.055719,0.177501,1173218.571429,1272456.857143,1752518.500000,0.529204,363.714857,358.461855,347.375713,-0.017170,6.571429,0.714286,1.000000,0.571429,0.000000,0.000000,0.535714,-2.000000,0,-0.023037,True,neutral,momentum_exhaustion,unclear,unclear,needs_review
Defense Drones,5,5,-0.006749,0.087659,0.264922,0.275395,0.219980,0.067376,-0.202912,0.214707,21829753.733333,21268300.240000,24031751.060000,0.906475,55.556799,51.439599,47.307650,-0.047912,7.400000,1.000000,1.000000,1.000000,0.000000,0.000000,0.700000,1.000000,4,-0.041895,True,momentum_leader,momentum_exhaustion,unclear,unclear,needs_review
Defensive Healthcare,6,6,0.005998,0.026588,0.016829,0.041539,0.061222,0.135458,0.126551,0.360293,9959265.500000,10969265.966667,12212549.825000,0.683894,193.480997,193.041332,194.698818,-0.025764,6.333333,0.833333,0.666667,0.500000,0.000000,0.000000,0.458333,0.000000,0,0.005537,False,neutral,none,defensive_rotation,defensive_rotation,inferred
Defensive Staples,6,6,0.007796,0.008178,0.009523,0.002729,0.030291,-0.008940,-0.039143,0.086046,8026641.222222,8117908.066667,10211365.350000,0.662781,254.819667,254.480834,253.571386,-0.014244,5.333333,0.666667,0.833333,0.166667,0.000000,0.000000,0.383333,-3.000000,0,0.006521,False,neutral,none,defensive_rotation,defensive_rotation,inferred
Electric Vehicles,1,1,0.027442,0.063938,0.100728,-0.130671,-0.138164,-0.236508,-0.206202,0.013052,28460238.666667,29975363.200000,39060540.800000,0.853460,331.947998,326.145996,331.067999,-0.023889,7.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.700000,3.000000,0,0.045403,True,momentum_leader,momentum_exhaustion,unclear,unclear,needs_review
Energy Storage,5,5,0.038117,0.024981,0.029863,-0.096482,-0.145426,-0.234731,-0.192751,0.156039,2231383.733333,2770974.240000,3614822.560000,1.268970,61.414600,61.599700,61.595250,-0.150974,6.000000,0.800000,0.600000,0.600000,0.200000,0.200000,0.520000,2.000000,0,0.049142,False,neutral,none,unclear,unclear,needs_review
Fintech,6,6,0.036306,0.032529,0.056429,0.004159,-0.016605,0.165012,0.253031,-0.141157,13663716.388889,13868299.833333,20148436.625000,0.854087,79.854500,79.402250,80.311166,-0.043113,5.000000,0.833333,0.833333,0.166667,0.000000,0.000000,0.416667,-2.000000,0,0.052154,False,neutral,none,unclear,unclear,needs_review
Market ETFs,8,8,0.012499,0.017893,0.060496,0.037537,0.030103,0.066018,0.178044,0.320462,11531929.041667,12078892.050000,16032893.156250,0.625966,460.555752,457.121376,449.175001,-0.007442,6.375000,0.875000,1.000000,0.875000,0.000000,0.000000,0.643750,-1.000000,0,0.009739,True,neutral,momentum_exhaustion,unclear,unclear,needs_review
Nuclear,8,8,0.034755,0.071321,0.111290,0.169845,0.092872,-0.141896,-0.189860,-0.190606,6867032.333333,7367656.900000,7830869.850000,0.820063,99.181499,97.415125,95.732125,-0.052181,5.500000,1.000000,0.875000,0.375000,0.000000,0.125000,0.525000,0.000000,0,0.030521,True,neutral,momentum_exhaustion,policy_driven,policy_or_thematic_support,inferred
Quantum Computing,1,1,0.057606,0.132427,0.257478,0.281482,0.199147,-0.186030,0.338292,0.096271,18888423.000000,21631413.800000,21416278.450000,0.887011,44.116000,41.724000,38.046000,-0.047939,6.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.700000,-3.000000,0,0.000446,True,momentum_leader,momentum_exhaustion,unclear,unclear,needs_review
Renewables,5,5,-0.001129,0.010955,0.094846,-0.012749,-0.032149,-0.156891,-0.093248,0.400352,2198921.133333,2756592.680000,3429746.170000,0.552803,294.547603,291.408502,287.784752,-0.073203,6.600000,0.600000,1.000000,0.600000,0.000000,0.000000,0.520000,0.000000,0,-0.010934,True,neutral,momentum_exhaustion,unclear,unclear,needs_review
