ticker,company_name,industry_group,latest_date,data_points,data_status,data_quality_note
TTD,The Trade Desk Inc.,Adtech,2026-07-21,251,ok,資料日期與本次市場日期一致。
APP,AppLovin Corporation,Adtech,2026-07-21,251,ok,資料日期與本次市場日期一致。
ROKU,Roku Inc.,Adtech,2026-07-21,251,ok,資料日期與本次市場日期一致。
MGNI,Magnite Inc.,Adtech,2026-07-21,251,ok,資料日期與本次市場日期一致。
PUBM,PubMatic Inc.,Adtech,2026-07-21,251,ok,資料日期與本次市場日期一致。
DV,DoubleVerify Holdings Inc.,Adtech,2026-07-21,251,ok,資料日期與本次市場日期一致。
CEG,Constellation Energy Corporation,Nuclear,2026-07-21,251,ok,資料日期與本次市場日期一致。
VST,Vistra Corp.,Nuclear,2026-07-21,251,ok,資料日期與本次市場日期一致。
CCJ,Cameco Corporation,Nuclear,2026-07-21,251,ok,資料日期與本次市場日期一致。
UEC,Uranium Energy Corp.,Nuclear,2026-07-21,251,ok,資料日期與本次市場日期一致。
LEU,Centrus Energy Corp.,Nuclear,2026-07-21,251,ok,資料日期與本次市場日期一致。
SMR,NuScale Power Corporation,Nuclear,2026-07-21,251,ok,資料日期與本次市場日期一致。
OKLO,Oklo Inc.,Nuclear,2026-07-21,251,ok,資料日期與本次市場日期一致。
NNE,NANO Nuclear Energy Inc.,Nuclear,2026-07-21,251,ok,資料日期與本次市場日期一致。
GEV,GE Vernova Inc.,Renewables,2026-07-21,251,ok,資料日期與本次市場日期一致。
FSLR,First Solar Inc.,Renewables,2026-07-21,251,ok,資料日期與本次市場日期一致。
NXT,Nextracker Inc.,Renewables,2026-07-21,251,ok,資料日期與本次市場日期一致。
ARRY,Array Technologies Inc.,Renewables,2026-07-21,251,ok,資料日期與本次市場日期一致。
ORA,Ormat Technologies Inc.,Renewables,2026-07-21,251,ok,資料日期與本次市場日期一致。
FLNC,Fluence Energy Inc.,Energy Storage,2026-07-21,251,ok,資料日期與本次市場日期一致。
STEM,Stem Inc.,Energy Storage,2026-07-21,251,ok,資料日期與本次市場日期一致。
ENPH,Enphase Energy Inc.,Energy Storage,2026-07-21,251,ok,資料日期與本次市場日期一致。
SEDG,SolarEdge Technologies Inc.,Energy Storage,2026-07-21,251,ok,資料日期與本次市場日期一致。
GNRC,Generac Holdings Inc.,Energy Storage,2026-07-21,251,ok,資料日期與本次市場日期一致。
ISRG,Intuitive Surgical Inc.,Robotics Automation,2026-07-21,251,ok,資料日期與本次市場日期一致。
TER,Teradyne Inc.,Robotics Automation,2026-07-21,251,ok,資料日期與本次市場日期一致。
SYM,Symbotic Inc.,Robotics Automation,2026-07-21,251,ok,資料日期與本次市場日期一致。
ROK,Rockwell Automation Inc.,Robotics Automation,2026-07-21,251,ok,資料日期與本次市場日期一致。
CGNX,Cognex Corporation,Robotics Automation,2026-07-21,251,ok,資料日期與本次市場日期一致。
ZBRA,Zebra Technologies Corporation,Robotics Automation,2026-07-21,251,ok,資料日期與本次市場日期一致。
IONQ,IonQ Inc.,Quantum Computing,2026-07-21,251,ok,資料日期與本次市場日期一致。
XYZ,Block Inc.,Fintech,2026-07-21,251,ok,資料日期與本次市場日期一致。
PYPL,PayPal Holdings Inc.,Fintech,2026-07-21,251,ok,資料日期與本次市場日期一致。
HOOD,Robinhood Markets Inc.,Fintech,2026-07-21,251,ok,資料日期與本次市場日期一致。
COIN,Coinbase Global Inc.,Fintech,2026-07-21,251,ok,資料日期與本次市場日期一致。
SOFI,SoFi Technologies Inc.,Fintech,2026-07-21,251,ok,資料日期與本次市場日期一致。
AFRM,Affirm Holdings Inc.,Fintech,2026-07-21,251,ok,資料日期與本次市場日期一致。
NFLX,Netflix Inc.,Consumer Platforms,2026-07-21,251,ok,資料日期與本次市場日期一致。
AMZN,Amazon.com Inc.,Consumer Platforms,2026-07-21,251,ok,資料日期與本次市場日期一致。
GOOGL,Alphabet Inc.,Consumer Platforms,2026-07-21,251,ok,資料日期與本次市場日期一致。
META,Meta Platforms Inc.,Consumer Platforms,2026-07-21,251,ok,資料日期與本次市場日期一致。
UBER,Uber Technologies Inc.,Consumer Platforms,2026-07-21,251,ok,資料日期與本次市場日期一致。
ABNB,Airbnb Inc.,Consumer Platforms,2026-07-21,251,ok,資料日期與本次市場日期一致。
DASH,DoorDash Inc.,Consumer Platforms,2026-07-21,251,ok,資料日期與本次市場日期一致。
SPOT,Spotify Technology S.A.,Consumer Platforms,2026-07-21,251,ok,資料日期與本次市場日期一致。
PINS,Pinterest Inc.,Consumer Platforms,2026-07-21,251,ok,資料日期與本次市場日期一致。
AAPL,Apple Inc.,Consumer Hardware,2026-07-21,251,ok,資料日期與本次市場日期一致。
TSLA,Tesla Inc.,Electric Vehicles,2026-07-21,251,ok,資料日期與本次市場日期一致。
JNJ,Johnson & Johnson,Defensive Healthcare,2026-07-21,251,ok,資料日期與本次市場日期一致。
MRK,Merck & Co. Inc.,Defensive Healthcare,2026-07-21,251,ok,資料日期與本次市場日期一致。
PFE,Pfizer Inc.,Defensive Healthcare,2026-07-21,251,ok,資料日期與本次市場日期一致。
ABBV,AbbVie Inc.,Defensive Healthcare,2026-07-21,251,ok,資料日期與本次市場日期一致。
UNH,UnitedHealth Group Inc.,Defensive Healthcare,2026-07-21,251,ok,資料日期與本次市場日期一致。
