industry_group,ticker_count,tickers_with_data,return_3d,return_5d,return_10d,return_20d,avg_volume_3d,avg_volume_5d,avg_volume_20d,relative_volume,ma_5d,ma_10d,ma_20d,max_drawdown_10d,up_days_10d,positive_5d_pct,positive_10d_pct,confirmed_signal_pct,strong_signal_pct,high_relative_volume_pct,breadth_score,rotation_score,momentum_persistence,momentum_acceleration,momentum_exhaustion_warning,industry_regime
AI Infrastructure,6,6,-0.005342,0.056610,0.061053,0.167718,17099847.555556,20030058.533333,13068933.800000,1.295868,201.460215,198.574262,194.651502,-0.077824,4.833333,0.666667,0.833333,0.500000,0.166667,0.500000,0.550000,-5.000000,0,-0.017518,True,exhaustion
Adtech,6,6,-0.029043,-0.036706,0.014430,0.113926,9143776.722222,7549169.366667,5316142.341667,1.339783,110.699666,107.946000,106.931000,-0.070475,5.500000,0.333333,0.666667,0.333333,0.000000,0.333333,0.350000,-1.000000,0,-0.049458,False,neutral
Cloud Software,6,6,0.099984,0.074015,0.119482,0.213517,11244779.555556,10220361.066667,10046470.266667,0.800389,168.068002,161.799335,158.055168,-0.041195,5.333333,0.500000,0.833333,0.333333,0.000000,0.000000,0.391667,7.000000,0,-0.032385,False,momentum_leader
Consumer Platforms,6,6,-0.031016,-0.029939,-0.053947,-0.016237,15339504.333333,18456509.266667,15119274.816667,0.956492,151.989666,154.266667,163.430125,-0.067417,4.500000,0.166667,0.166667,0.000000,0.000000,0.166667,0.091667,-3.000000,0,-0.010625,False,weak
Cybersecurity,6,6,0.123232,0.122406,0.155411,0.302494,5916107.333333,4978204.400000,4180981.933333,0.946554,175.531001,167.507834,160.205750,-0.026054,6.333333,1.000000,1.000000,0.833333,0.166667,0.166667,0.708333,6.000000,0,-0.019557,False,momentum_leader
Defense,7,7,-0.011663,-0.044832,-0.028998,-0.144562,1881592.142857,1978403.857143,1890418.821429,0.979923,334.342286,340.583571,355.127286,-0.066781,4.285714,0.142857,0.285714,0.000000,0.000000,0.285714,0.128571,0.000000,0,0.001705,False,weak
Defense Drones,5,5,-0.005806,-0.016273,-0.089868,-0.097112,11662460.400000,12834548.240000,13961603.060000,1.182780,50.501199,52.788800,56.189550,-0.112111,3.800000,0.400000,0.000000,0.000000,0.000000,0.400000,0.120000,0.000000,0,0.048503,False,weak
Defensive Healthcare,6,6,-0.008174,-0.011318,-0.003055,-0.019684,12850989.444444,13460203.666667,13011674.250000,0.810642,169.142989,169.529084,167.904847,-0.039028,4.500000,0.166667,0.500000,0.166667,0.000000,0.000000,0.200000,-2.000000,0,0.002612,False,weak
Defensive Staples,6,6,-0.018255,-0.007362,0.002274,0.013312,8014698.500000,8016152.433333,8715369.775000,0.946913,267.005167,267.034678,265.425892,-0.029918,5.333333,0.333333,0.666667,0.166667,0.000000,0.166667,0.291667,-5.000000,0,-0.002026,False,neutral
Energy Storage,5,5,0.158616,0.233359,0.175903,0.256933,9584206.600000,7531075.960000,4461526.990000,1.204461,74.804800,72.144600,67.558350,-0.095285,6.000000,0.800000,0.600000,0.400000,0.200000,0.200000,0.470000,4.000000,1,0.051085,False,momentum_leader
Fintech,6,6,0.022327,0.004784,-0.019566,0.114742,21128347.444444,21204481.800000,23335219.616667,1.055313,79.893334,79.065584,80.217167,-0.090428,4.666667,0.666667,0.500000,0.166667,0.166667,0.333333,0.366667,2.000000,0,0.013828,False,early_recovery
Market ETFs,6,6,0.005953,0.031431,0.035477,0.081981,20764106.666667,20458774.000000,21764373.500000,0.897031,541.360997,534.229333,526.970352,-0.007310,6.000000,1.000000,1.000000,0.833333,0.000000,0.000000,0.658333,-3.000000,0,0.007587,False,momentum_leader
Nuclear,8,8,-0.029320,0.060273,0.006121,0.180146,10286943.125000,9956925.875000,10145365.843750,1.230221,115.858251,114.707750,113.841594,-0.082041,3.875000,0.750000,0.500000,0.000000,0.000000,0.250000,0.300000,-6.000000,0,0.040249,False,neutral
Renewables,5,5,0.036125,0.080006,0.069666,0.145421,2982290.866667,2861694.520000,2776733.630000,1.210007,309.619197,306.325196,300.742798,-0.043907,5.400000,0.800000,0.800000,0.400000,0.000000,0.400000,0.500000,-3.000000,0,0.033520,False,neutral
Robotics Automation,6,6,-0.041215,0.037920,-0.000407,0.028137,2718368.555556,2686471.133333,2020570.283333,1.202537,267.685334,262.099667,264.934333,-0.088632,5.000000,0.500000,0.333333,0.166667,0.000000,0.333333,0.258333,-3.000000,0,0.005291,False,early_recovery
Semiconductors,11,11,0.060134,0.181939,0.210165,0.436226,50207674.818182,50804003.072727,43978521.222727,1.141150,450.081094,425.961980,405.676762,-0.048097,5.909091,1.000000,0.818182,0.545455,0.181818,0.181818,0.595455,-1.000000,4,0.041403,True,exhaustion
Space,11,11,0.146118,0.205956,0.230648,0.172872,16244853.484848,13460766.636364,11212414.386364,1.465389,37.775273,36.244546,36.585023,-0.091988,5.363636,1.000000,1.000000,0.454545,0.363636,0.727273,0.709091,13.000000,1,0.097978,False,momentum_leader
