ticker,company_name,industry_group,latest_date,data_points,return_3d,return_5d,return_10d,return_20d,avg_volume_3d,avg_volume_5d,avg_volume_20d,relative_volume,ma_5d,ma_10d,ma_20d,max_drawdown_10d,up_days_10d,early_momentum_signal,confirmed_momentum_signal,strong_momentum_signal,risk_warning,relative_strength_vs_industry,leader_type,industry_quality_score,distance_from_20d_ma,distance_from_52w_high,position_in_52w_range,industry_regime,short_term_price_zone,long_term_price_zone,price_zone,current_state,watch_status,latest_volume,data_status,data_quality_note
ANET,Arista Networks Inc.,AI Infrastructure,2026-05-11,251,-0.072283,-0.209651,-0.208964,-0.102552,18996482.666667,21660289.600000,10838472.400000,1.700751,147.445999,158.922998,163.126999,-0.210063,3,False,False,False,True,-0.270017,infrastructure_leader,5,-0.163658,-0.232375,0.548535,exhaustion,deep_pullback,neutral,deep_pullback,falling_knife,avoid_for_now,18433548,ok,資料日期與本次市場日期一致。
VRT,Vertiv Holdings Co.,AI Infrastructure,2026-05-11,251,0.025075,0.111642,0.141085,0.226564,5373992.333333,5432275.400000,5804503.850000,1.135149,349.568005,334.682001,322.979501,-0.052797,6,True,True,False,False,0.080032,infrastructure_leader,5,0.139144,0.000000,1.000000,exhaustion,extended,very_extended,very_extended,overextended,not_eligible_industry,6588977,ok,資料日期與本次市場日期一致。
DELL,Dell Technologies Inc.,AI Infrastructure,2026-05-11,251,0.034506,0.167265,0.143863,0.305677,9385619.000000,8340971.400000,6534132.850000,1.713304,238.578000,223.523999,212.958605,-0.051524,6,True,True,True,True,0.082809,challenger,5,0.160038,-0.051524,0.915379,exhaustion,very_extended,extended,very_extended,overextended,not_eligible_industry,11194957,ok,資料日期與本次市場日期一致。
HPE,Hewlett Packard Enterprise Co.,AI Infrastructure,2026-05-11,251,0.016464,0.075235,0.078616,0.244256,15246917.666667,14038530.600000,13925002.650000,0.899408,30.466001,29.463000,28.292000,-0.022061,6,True,True,False,False,0.017563,non_leader,5,0.091121,-0.015311,0.966888,exhaustion,extended,very_extended,very_extended,overextended,not_eligible_industry,12524253,ok,資料日期與本次市場日期一致。
SMCI,Super Micro Computer Inc.,AI Infrastructure,2026-05-11,251,-0.032891,0.200573,0.203591,0.290720,50366586.666667,66737352.000000,38470493.000000,1.019991,33.000000,30.098000,29.126500,-0.052304,4,False,False,False,True,0.142537,challenger,5,0.150842,-0.447867,0.323295,exhaustion,very_extended,reasonable_pullback,very_extended,overextended,not_eligible_industry,39239560,ok,資料日期與本次市場日期一致。
ETN,Eaton Corporation plc,AI Infrastructure,2026-05-11,251,-0.002924,-0.005402,0.008129,0.041645,3229487.000000,3970932.200000,2840998.050000,1.306605,409.703284,414.755576,411.425406,-0.078197,4,False,False,False,False,-0.052924,infrastructure_leader,5,0.018411,-0.029681,0.891242,exhaustion,neutral,extended,extended,sideways_base,not_eligible_industry,3712061,ok,資料日期與本次市場日期一致。
NVDA,NVIDIA Corporation,Semiconductors,2026-05-11,251,0.055863,0.105603,0.013065,0.159157,153765600.000000,152613240.000000,151849335.000000,1.033181,210.094000,206.939000,204.688000,-0.078200,5,True,False,False,False,-0.197100,core_leader,5,0.072071,0.000000,1.000000,exhaustion,neutral,very_extended,very_extended,overextended,not_eligible_industry,156887900,ok,資料日期與本次市場日期一致。
AMD,Advanced Micro Devices Inc.,Semiconductors,2026-05-11,251,0.088754,0.343298,0.371037,0.858729,49220422.000000,59925713.200000,47859498.300000,0.941020,419.818005,381.598001,336.824501,-0.052699,7,True,True,False,True,0.160872,challenger,5,0.362104,0.000000,1.000000,exhaustion,very_extended,very_extended,very_extended,overextended,not_eligible_industry,45036766,ok,資料日期與本次市場日期一致。
AVGO,Broadcom Inc.,Semiconductors,2026-05-11,251,0.007028,0.028643,0.024462,0.128190,20678732.000000,20783679.200000,20201294.800000,0.827269,424.757996,418.427997,412.607001,-0.034631,5,True,False,False,False,-0.185703,core_leader,5,0.038349,-0.003651,0.992531,exhaustion,neutral,very_extended,very_extended,overextended,not_eligible_industry,16711896,ok,資料日期與本次市場日期一致。
TSM,Taiwan Semiconductor Manufacturing Co. Ltd.,Semiconductors,2026-05-11,251,-0.035661,0.007296,-0.001086,0.094623,15497431.333333,15761538.800000,14866154.700000,0.982581,408.856000,402.578998,391.324500,-0.035661,5,False,False,False,False,-0.211251,core_leader,5,0.033771,-0.035661,0.936288,exhaustion,neutral,very_extended,very_extended,overextended,not_eligible_industry,14607194,ok,資料日期與本次市場日期一致。
