industry_group,ticker_count,tickers_with_data,return_3d,return_5d,return_10d,return_20d,avg_volume_3d,avg_volume_5d,avg_volume_20d,relative_volume,ma_5d,ma_10d,ma_20d,max_drawdown_10d,up_days_10d,positive_5d_pct,positive_10d_pct,confirmed_signal_pct,strong_signal_pct,high_relative_volume_pct,breadth_score,rotation_score,momentum_persistence,momentum_acceleration,momentum_exhaustion_warning,industry_regime,industry_risk_flag,rotation_type,causal_hypothesis,evidence_status
AI Infrastructure,6,6,0.029265,-0.028693,0.032451,0.071041,10675652.000000,10924467.866667,13298566.133333,0.779679,194.599001,199.484501,198.481074,-0.099989,4.500000,0.500000,0.500000,0.000000,0.000000,0.000000,0.225000,0.000000,0,-0.008779,False,neutral,none,risk_on_growth,industry_flow_leads_leaders,inferred
Adtech,6,6,-0.001307,0.046363,-0.052670,0.029781,4888165.777778,5138859.466667,5598013.200000,0.604252,110.854667,110.173834,108.507167,-0.120061,5.000000,0.833333,0.000000,0.000000,0.000000,0.000000,0.166667,-1.000000,0,0.015214,False,early_recovery,none,unclear,unclear,needs_review
Cloud Software,6,6,-0.015681,0.066710,0.042770,0.220331,11732278.888889,12265297.333333,10049752.666667,0.953061,184.443334,178.804000,168.213751,-0.052260,5.166667,1.000000,0.666667,0.333333,0.000000,0.166667,0.466667,-2.000000,0,-0.029171,False,momentum_leader,none,unclear,unclear,needs_review
Consumer Platforms,6,6,0.000333,0.029414,-0.020424,-0.050718,12189564.166667,12238815.166667,13825303.791667,1.112505,154.106000,152.166667,155.048417,-0.060819,4.166667,0.666667,0.333333,0.166667,0.166667,0.166667,0.308333,-2.000000,0,0.016073,False,early_recovery,none,unclear,unclear,needs_review
Cybersecurity,6,6,0.031296,0.114800,0.193562,0.372382,5036327.277778,5151269.700000,4454742.425000,0.899381,213.519001,201.879168,181.906834,-0.036176,6.833333,1.000000,1.000000,0.666667,0.000000,0.166667,0.633333,0.000000,6,-0.029398,True,momentum_leader,momentum_exhaustion,unclear,unclear,needs_review
Defense,7,7,-0.012285,-0.010821,-0.006868,-0.058742,1419325.095238,1589829.342857,1863534.478571,0.560121,334.727430,335.101429,338.849428,-0.035963,4.285714,0.428571,0.428571,0.000000,0.000000,0.000000,0.192857,2.000000,0,-0.005329,False,weak,none,unclear,unclear,needs_review
Defense Drones,5,5,0.031934,-0.032422,0.005700,-0.150762,13019073.733333,17847612.240000,16135385.060000,0.918768,47.900200,48.672900,51.453250,-0.130888,4.800000,0.200000,0.400000,0.000000,0.000000,0.200000,0.160000,7.000000,0,-0.056590,False,neutral,none,unclear,unclear,needs_review
Defensive Healthcare,6,6,0.013195,0.004164,0.027422,0.013934,11158076.888889,12040599.466667,12829739.033333,0.638302,174.350334,173.715167,171.317847,-0.022462,5.333333,0.833333,0.833333,0.333333,0.000000,0.000000,0.458333,2.000000,0,0.006852,False,momentum_leader,none,defensive_rotation,defensive_rotation,inferred
Defensive Staples,6,6,-0.017178,-0.007018,-0.003994,0.008297,11895518.777778,11001781.266667,9214115.316667,1.154208,276.956327,272.902996,269.958991,-0.037962,6.000000,0.833333,0.500000,0.500000,0.000000,0.166667,0.433333,0.000000,0,-0.020475,False,weak,none,defensive_rotation,defensive_rotation,inferred
Energy Storage,5,5,0.089739,0.078500,0.286117,0.298686,5294395.466667,6603969.280000,5798944.320000,0.995566,78.032800,77.645800,73.787300,-0.143346,6.000000,0.400000,0.800000,0.400000,0.400000,0.400000,0.500000,-1.000000,2,0.009619,True,momentum_leader,momentum_exhaustion,unclear,unclear,needs_review
Fintech,6,6,0.002507,-0.038636,-0.014823,-0.053366,16653428.333333,17478153.666667,21441070.916667,0.809378,77.400666,79.143166,79.086208,-0.072620,4.333333,0.000000,0.166667,0.000000,0.000000,0.166667,0.058333,-1.000000,0,-0.040861,False,weak,none,unclear,unclear,needs_review
Market ETFs,6,6,0.011160,-0.004957,0.014695,0.047299,22136686.777778,23426865.400000,21196951.350000,1.039916,544.331667,545.607469,537.939995,-0.023340,6.166667,0.166667,1.000000,0.166667,0.166667,0.166667,0.375000,-1.000000,0,-0.003393,False,neutral,none,unclear,unclear,needs_review
Nuclear,8,8,0.053845,-0.043618,-0.097446,-0.100761,8177082.333333,8306569.400000,8738689.225000,0.780407,100.023125,105.049128,110.218833,-0.202274,3.750000,0.250000,0.000000,0.000000,0.000000,0.000000,0.050000,-1.000000,0,0.042418,False,weak,none,policy_driven,policy_or_thematic_support,inferred
Renewables,5,5,0.000719,-0.035989,0.050644,0.068090,2587638.066667,2652554.840000,2718511.710000,1.061281,306.723619,309.863848,308.753393,-0.087142,5.600000,0.200000,0.600000,0.200000,0.200000,0.600000,0.340000,0.000000,0,-0.001074,True,momentum_leader,momentum_exhaustion,unclear,unclear,needs_review
Robotics Automation,6,6,0.027016,-0.014493,-0.018339,-0.008203,1879652.444444,1958734.800000,2202350.366667,0.746297,262.026998,264.520783,263.798106,-0.089793,4.666667,0.333333,0.166667,0.000000,0.000000,0.000000,0.108333,-5.000000,0,-0.003685,False,weak,none,unclear,unclear,needs_review
Semiconductors,11,11,0.074930,0.015211,0.088579,0.297864,43840128.636364,43369624.454545,47140891.568182,0.871795,453.414363,460.621728,437.029624,-0.096992,5.272727,0.363636,0.909091,0.090909,0.090909,0.181818,0.359091,2.000000,0,0.018442,False,momentum_leader,narrow_leadership,risk_on_growth,industry_flow_leads_leaders,inferred
Space,11,11,0.032926,0.027607,0.335810,0.229078,13173743.606061,14559506.163636,11838296.995455,1.017494,45.292727,43.916909,39.435296,-0.084455,6.181818,0.545455,1.000000,0.454545,0.090909,0.272727,0.518182,1.000000,9,-0.057330,True,momentum_leader,momentum_exhaustion,unclear,unclear,needs_review
