ticker,company_name,industry_group,latest_date,data_points,return_3d,return_5d,return_10d,return_20d,return_1m,return_3m,return_6m,return_1y,avg_volume_3d,avg_volume_5d,avg_volume_20d,relative_volume,ma_5d,ma_10d,ma_20d,max_drawdown_10d,up_days_10d,early_momentum_signal,confirmed_momentum_signal,strong_momentum_signal,risk_warning,relative_strength_vs_industry,leader_type,industry_quality_score,distance_from_20d_ma,distance_from_52w_high,position_in_52w_range,forward_pe,earnings_growth,peg_ratio,peg_rating,peg_status,peg_note,industry_regime,industry_risk_flag,rotation_type,causal_hypothesis,evidence_status,short_term_price_zone,long_term_price_zone,price_zone,current_state,watch_status,latest_volume,data_status,data_quality_note
ANET,Arista Networks Inc.,AI Infrastructure,2026-07-13,251,0.000552,0.045418,0.149429,0.158248,0.193661,0.229386,0.464193,0.671588,8212286.333333,9103771.800000,8708197.950000,1.046412,180.062003,173.418002,169.533501,-0.058218,6,False,True,False,False,0.137267,infrastructure_leader,5,0.068520,-0.031076,0.927001,40.668200,0.250000,1.626728,fair,ok,Forward PEG uses Yahoo forwardPE divided by earningsGrowth percent.,momentum_leader,none,risk_on_growth,industry_flow_leads_leaders,inferred,neutral,very_extended,very_extended,overextended,too_extended,9112359,ok,資料日期與本次市場日期一致。
VRT,Vertiv Holdings Co.,AI Infrastructure,2026-07-13,251,-0.037570,-0.039564,0.006317,0.027036,0.088809,0.036677,0.903262,1.455155,3546419.000000,4210211.400000,6719027.850000,0.549448,314.407996,314.425000,316.572350,-0.102413,5,False,False,False,True,-0.005845,infrastructure_leader,5,-0.033807,-0.186844,0.723807,34.509796,1.357000,0.254309,undervalued,ok,Forward PEG uses Yahoo forwardPE divided by earningsGrowth percent.,momentum_leader,none,risk_on_growth,industry_flow_leads_leaders,inferred,reasonable_pullback,neutral,reasonable_pullback,pullback_in_uptrend,avoid_for_now,3691757,ok,資料日期與本次市場日期一致。
DELL,Dell Technologies Inc.,AI Infrastructure,2026-07-13,251,-0.011251,0.037178,0.069138,0.091097,0.154882,1.409626,2.631273,2.450341,5712866.333333,6792599.800000,7771594.950000,0.522904,432.309998,423.898996,418.300998,-0.086080,6,False,True,False,True,0.056976,challenger,5,0.021059,-0.083376,0.890635,19.869120,2.825000,0.070333,undervalued,ok,Forward PEG uses Yahoo forwardPE divided by earningsGrowth percent.,momentum_leader,none,risk_on_growth,industry_flow_leads_leaders,inferred,neutral,extended,extended,overextended,too_extended,4063799,ok,資料日期與本次市場日期一致。
HPE,Hewlett Packard Enterprise Co.,AI Infrastructure,2026-07-13,251,0.057533,0.094786,0.080760,0.012355,0.041508,0.903504,1.165473,1.333043,20604360.000000,19333076.000000,24061414.000000,0.662491,46.606001,45.088000,46.413824,-0.086012,6,True,True,False,True,0.068598,non_leader,5,0.017800,-0.156221,0.760905,11.814727,,,unavailable,missing_growth,Yahoo Finance earningsGrowth is missing.,momentum_leader,none,risk_on_growth,industry_flow_leads_leaders,inferred,neutral,neutral,neutral,early_recovery,avoid_for_now,15940480,ok,資料日期與本次市場日期一致。
SMCI,Super Micro Computer Inc.,AI Infrastructure,2026-07-13,251,-0.018104,0.017286,-0.096964,-0.134814,-0.055005,0.095012,-0.074916,-0.443796,27108056.333333,31514793.800000,54434623.450000,0.416719,27.726000,27.817000,29.534000,-0.105012,4,False,False,False,True,-0.109125,challenger,5,-0.063452,-0.544391,0.177451,8.720242,3.260000,0.026749,undervalued,ok,Forward PEG uses Yahoo forwardPE divided by earningsGrowth percent.,momentum_leader,none,risk_on_growth,industry_flow_leads_leaders,inferred,reasonable_pullback,deep_pullback,deep_pullback,sideways_base,avoid_for_now,22683969,ok,資料日期與本次市場日期一致。
ETN,Eaton Corporation plc,AI Infrastructure,2026-07-13,251,0.008234,-0.025567,0.000422,0.023397,0.072951,0.002390,0.264031,0.131103,1482765.666667,1706499.400000,2343629.850000,0.570951,402.239996,406.982999,408.779999,-0.071435,6,False,False,False,False,-0.011739,infrastructure_leader,5,-0.014507,-0.075566,0.729660,25.533228,-0.094000,,unavailable,invalid_growth,Yahoo Finance earningsGrowth is zero or negative.,momentum_leader,none,risk_on_growth,industry_flow_leads_leaders,inferred,neutral,neutral,neutral,sideways_base,research_candidate,1338097,ok,資料日期與本次市場日期一致。
NBIS,Nebius Group N.V.,AI Infrastructure,2026-07-13,251,-0.027578,-0.011783,-0.123970,-0.052781,-0.005574,0.452093,1.163515,3.052165,11967947.000000,14198068.200000,17723117.050000,0.587856,211.605997,225.316998,244.687500,-0.293225,4,False,False,False,True,-0.136132,emerging_leader,4,-0.139678,-0.265723,0.677600,582.775000,,,unavailable,missing_growth,Yahoo Finance earningsGrowth is missing.,momentum_leader,none,risk_on_growth,industry_flow_leads_leaders,inferred,deep_pullback,neutral,deep_pullback,falling_knife,avoid_for_now,10418641,ok,資料日期與本次市場日期一致。
NVDA,NVIDIA Corporation,Semiconductors,2026-07-13,251,-0.002890,0.040808,0.057134,-0.006541,0.015517,0.080248,0.101266,0.242159,131220428.666667,133046997.200000,144561659.300000,0.783077,203.663998,200.134000,201.884499,-0.035220,6,False,True,False,False,0.108855,core_leader,5,0.008151,-0.135627,0.554058,15.912429,2.145000,0.074184,undervalued,ok,Forward PEG uses Yahoo forwardPE divided by earningsGrowth percent.,weak,none,risk_on_growth,industry_flow_leads_leaders,inferred,neutral,neutral,neutral,strong_uptrend,not_eligible_industry,113202886,ok,資料日期與本次市場日期一致。
AMD,Advanced Micro Devices Inc.,Semiconductors,2026-07-13,251,0.032817,-0.031990,0.024560,0.094053,0.181233,1.180828,1.610856,2.654199,23373675.000000,24611265.000000,29908606.250000,0.752818,534.503992,540.366992,533.250496,-0.111549,6,False,False,False,True,0.076281,challenger,5,0.002137,-0.080081,0.892976,40.235817,0.912000,0.441182,undervalued,ok,Forward PEG uses Yahoo forwardPE divided by earningsGrowth percent.,weak,none,risk_on_growth,industry_flow_leads_leaders,inferred,neutral,extended,extended,overextended,not_eligible_industry,22515725,ok,資料日期與本次市場日期一致。
AVGO,Broadcom Inc.,Semiconductors,2026-07-13,251,-0.011938,0.027146,0.052134,-0.002366,0.033748,0.035279,0.159362,0.403715,20845135.666667,23655241.400000,28519645.350000,0.696555,388.919995,379.848999,382.532382,-0.045797,5,False,False,False,False,0.103855,core_leader,5,0.003967,-0.201242,0.533047,19.800697,0.854000,0.231858,undervalued,ok,Forward PEG uses Yahoo forwardPE divided by earningsGrowth percent.,weak,none,risk_on_growth,industry_flow_leads_leaders,inferred,neutral,neutral,neutral,strong_uptrend,not_eligible_industry,19865507,ok,資料日期與本次市場日期一致。
TSM,Taiwan Semiconductor Manufacturing Co. Ltd.,Semiconductors,2026-07-13,251,-0.035242,-0.066867,-0.024910,0.001211,0.033804,0.140225,0.332530,0.864007,11747887.666667,12310652.600000,14361743.150000,0.988248,432.439996,442.505002,441.135500,-0.117239,4,False,False,False,True,0.026810,core_leader,5,-0.044330,-0.117239,0.778456,20.776451,0.584000,0.355761,undervalued,ok,Forward PEG uses Yahoo forwardPE divided by earningsGrowth percent.,weak,none,risk_on_growth,industry_flow_leads_leaders,inferred,reasonable_pullback,neutral,reasonable_pullback,falling_knife,avoid_for_now,14192963,ok,資料日期與本次市場日期一致。
ASML,ASML Holding N.V.,Semiconductors,2026-07-13,251,-0.024092,-0.054261,-0.038214,-0.091309,-0.004700,0.170150,0.450274,1.156318,1389556.000000,1491413.600000,2091423.400000,0.670772,1768.708008,1815.351990,1830.870502,-0.132399,5,False,False,False,True,0.013507,infrastructure_leader,5,-0.057257,-0.132399,0.797919,34.379580,0.192000,1.790603,fair,ok,Forward PEG uses Yahoo forwardPE divided by earningsGrowth percent.,weak,none,risk_on_growth,industry_flow_leads_leaders,inferred,reasonable_pullback,neutral,reasonable_pullback,falling_knife,avoid_for_now,1402868,ok,資料日期與本次市場日期一致。
MU,Micron Technology Inc.,Semiconductors,2026-07-13,251,-0.012437,-0.048489,-0.172375,-0.058969,0.050751,1.228165,1.866913,6.912519,35973665.000000,40653499.000000,52440764.750000,0.668224,959.023999,1008.661774,1050.501379,-0.188121,5,False,False,False,True,-0.120655,specialist,5,-0.108045,-0.227773,0.750714,6.261759,13.685000,0.004576,undervalued,ok,Forward PEG uses Yahoo forwardPE divided by earningsGrowth percent.,weak,none,risk_on_growth,industry_flow_leads_leaders,inferred,reasonable_pullback,neutral,reasonable_pullback,falling_knife,avoid_for_now,35042195,ok,資料日期與本次市場日期一致。
QCOM,Qualcomm Incorporated,Semiconductors,2026-07-13,251,-0.013829,-0.013406,-0.028565,-0.093516,-0.037762,0.441977,0.021857,0.217563,10980727.333333,11900516.400000,20342724.100000,0.638213,186.756000,185.193999,197.767500,-0.066077,3,False,False,False,False,0.023155,specialist,5,-0.069716,-0.264363,0.477271,16.713253,1.730000,0.096608,undervalued,ok,Forward PEG uses Yahoo forwardPE divided by earningsGrowth percent.,weak,none,risk_on_growth,industry_flow_leads_leaders,inferred,reasonable_pullback,neutral,reasonable_pullback,sideways_base,not_eligible_industry,12982982,ok,資料日期與本次市場日期一致。
INTC,Intel Corporation,Semiconductors,2026-07-13,251,-0.064586,-0.156137,-0.196384,-0.118331,-0.036622,0.653094,1.508392,3.425751,89933708.000000,103139024.800000,120941316.200000,0.823557,109.225999,118.705000,123.884000,-0.261477,4,False,False,False,True,-0.144663,challenger,5,-0.167608,-0.268341,0.689057,65.093200,,,unavailable,missing_growth,Yahoo Finance earningsGrowth is missing.,weak,none,risk_on_growth,industry_flow_leads_leaders,inferred,deep_pullback,neutral,deep_pullback,falling_knife,avoid_for_now,99602024,ok,資料日期與本次市場日期一致。
ARM,Arm Holdings plc,Semiconductors,2026-07-13,251,-0.004163,-0.072151,-0.105543,-0.126348,-0.027453,1.007587,1.644057,1.068562,4936386.333333,5641491.800000,9743147.950000,0.507204,310.183997,322.405997,354.363496,-0.156753,4,False,False,False,True,-0.053823,specialist,5,-0.156262,-0.319642,0.580574,97.045370,0.479000,2.025999,expensive,ok,Forward PEG uses Yahoo forwardPE divided by earningsGrowth percent.,weak,none,risk_on_growth,industry_flow_leads_leaders,inferred,deep_pullback,neutral,deep_pullback,falling_knife,avoid_for_now,4941759,ok,資料日期與本次市場日期一致。
AMAT,Applied Materials Inc.,Semiconductors,2026-07-13,251,0.008571,-0.029353,-0.082078,0.041166,0.157703,0.442102,1.048089,1.940694,9264207.333333,9576144.400000,12742971.100000,0.556803,578.309998,615.592993,609.854495,-0.233057,5,False,False,False,True,-0.030358,infrastructure_leader,5,-0.056513,-0.204163,0.739868,34.541527,0.335000,1.031090,fair,ok,Forward PEG uses Yahoo forwardPE divided by earningsGrowth percent.,weak,none,risk_on_growth,industry_flow_leads_leaders,inferred,reasonable_pullback,neutral,reasonable_pullback,falling_knife,avoid_for_now,7095322,ok,資料日期與本次市場日期一致。
LRCX,Lam Research Corporation,Semiconductors,2026-07-13,251,-0.009695,-0.057910,-0.129705,-0.089285,0.025955,0.252190,0.644845,2.330114,9588870.333333,10465322.200000,14106530.550000,0.691595,338.540002,362.981003,372.694403,-0.247386,4,False,False,False,True,-0.077984,infrastructure_leader,5,-0.114771,-0.238640,0.694967,40.820820,0.408000,1.000510,fair,ok,Forward PEG uses Yahoo forwardPE divided by earningsGrowth percent.,weak,none,risk_on_growth,industry_flow_leads_leaders,inferred,reasonable_pullback,neutral,reasonable_pullback,falling_knife,avoid_for_now,9756011,ok,資料日期與本次市場日期一致。
KLAC,KLA Corporation,Semiconductors,2026-07-13,251,0.004838,-0.047405,-0.106137,-0.078428,0.040672,0.280931,0.682190,1.426478,10051015.333333,12189309.200000,15629032.300000,0.616727,224.188000,243.609001,247.212000,-0.282523,5,False,False,False,True,-0.054417,infrastructure_leader,5,-0.100974,-0.263365,0.634965,43.408035,0.118000,3.678647,expensive,ok,Forward PEG uses Yahoo forwardPE divided by earningsGrowth percent.,weak,none,risk_on_growth,industry_flow_leads_leaders,inferred,reasonable_pullback,neutral,reasonable_pullback,falling_knife,avoid_for_now,9638846,ok,資料日期與本次市場日期一致。
TXN,Texas Instruments Incorporated,Semiconductors,2026-07-13,251,-0.009127,-0.016244,0.046036,0.004948,0.058721,0.397509,0.602790,0.394885,5729500.333333,6402260.200000,9893285.050000,0.689185,302.635999,299.172000,303.680997,-0.041386,7,False,False,False,False,0.097757,specialist,5,-0.016830,-0.101451,0.813463,31.187620,0.313000,0.996410,undervalued,ok,Forward PEG uses Yahoo forwardPE divided by earningsGrowth percent.,weak,none,risk_on_growth,industry_flow_leads_leaders,inferred,neutral,neutral,neutral,sideways_base,not_eligible_industry,6818301,ok,資料日期與本次市場日期一致。
ADI,Analog Devices Inc.,Semiconductors,2026-07-13,251,0.001583,-0.007252,-0.002326,-0.063378,-0.016961,0.105464,0.297898,0.606801,2958992.000000,3260055.200000,5353043.800000,0.643573,387.946002,388.365002,403.233502,-0.050381,6,False,False,False,False,0.049395,specialist,5,-0.042713,-0.133496,0.738850,26.085758,1.105000,0.236070,undervalued,ok,Forward PEG uses Yahoo forwardPE divided by earningsGrowth percent.,weak,none,risk_on_growth,industry_flow_leads_leaders,inferred,reasonable_pullback,neutral,reasonable_pullback,sideways_base,not_eligible_industry,3445076,ok,資料日期與本次市場日期一致。
