industry_group,ticker_count,tickers_with_data,return_3d,return_5d,return_10d,return_20d,return_1m,return_3m,return_6m,return_1y,avg_volume_3d,avg_volume_5d,avg_volume_20d,relative_volume,ma_5d,ma_10d,ma_20d,max_drawdown_10d,up_days_10d,positive_5d_pct,positive_10d_pct,confirmed_signal_pct,strong_signal_pct,high_relative_volume_pct,breadth_score,rotation_score,momentum_persistence,momentum_acceleration,momentum_exhaustion_warning,industry_regime,industry_risk_flag,rotation_type,causal_hypothesis,evidence_status
AI Infrastructure,7,7,-0.004026,0.016822,0.012162,0.017791,0.070176,0.446955,0.930976,1.235657,11233528.666667,12408431.485714,17394515.014286,0.622397,230.708284,230.992428,233.403167,-0.114628,5.285714,0.571429,0.714286,0.428571,0.000000,0.000000,0.400000,6.000000,0,-0.067559,False,momentum_leader,none,risk_on_growth,industry_flow_leads_leaders,inferred
Adtech,6,6,0.001249,-0.026095,0.053328,0.131728,0.135295,0.343097,0.076978,-0.028216,3899824.000000,3977354.400000,6861787.766667,0.670156,118.313333,120.262832,116.472207,-0.066455,5.500000,0.666667,0.833333,0.333333,0.000000,0.166667,0.441667,-2.000000,0,-0.024485,True,momentum_leader,momentum_exhaustion,unclear,unclear,needs_review
Cloud Software,8,8,0.004444,0.003987,0.069578,0.014837,-0.002435,0.483129,-0.044619,0.007722,13461388.208333,13805592.925000,17254480.731250,0.846316,227.568799,225.346285,219.636808,-0.045955,5.875000,0.750000,0.875000,0.625000,0.000000,0.125000,0.537500,0.000000,1,0.007808,True,momentum_leader,momentum_exhaustion,unclear,unclear,needs_review
Consumer Hardware,1,1,0.012508,0.014872,0.118155,0.073335,0.088243,0.219296,0.227222,0.527029,41211171.333333,41489402.800000,64494975.700000,0.641549,314.580005,305.967001,299.187001,-0.006397,7.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.700000,6.000000,2,-0.006804,True,momentum_leader,momentum_exhaustion,unclear,unclear,needs_review
Consumer Platforms,9,9,0.008949,0.007952,0.049470,0.058311,0.060334,0.070126,-0.068716,-0.059297,16614978.851852,16350345.088889,23762854.050000,0.662596,248.406445,244.343889,239.023027,-0.037526,5.888889,0.555556,0.888889,0.333333,0.000000,0.000000,0.416667,-2.000000,0,-0.003427,False,momentum_leader,none,unclear,unclear,needs_review
Cybersecurity,6,6,-0.005214,-0.052196,0.118549,0.191126,0.230940,1.010116,0.533736,0.343005,4293131.444444,4854875.533333,5873428.050000,0.620950,168.420666,169.038291,157.648937,-0.066279,6.333333,0.000000,1.000000,0.000000,0.000000,0.000000,0.250000,0.000000,12,-0.029780,True,momentum_leader,momentum_exhaustion,unclear,unclear,needs_review
Defense,7,7,-0.007719,-0.024498,0.040444,-0.030497,0.001834,-0.142569,-0.103911,0.094736,1137343.428571,1236286.057143,1838986.514286,0.537486,331.949426,329.419179,326.874226,-0.031529,5.142857,0.000000,0.857143,0.000000,0.000000,0.000000,0.214286,-1.000000,0,-0.003936,False,neutral,none,unclear,unclear,needs_review
Defense Drones,5,5,-0.072846,-0.139763,-0.052833,-0.262580,-0.199758,-0.251309,-0.487764,0.316045,19493483.533333,17808894.120000,18034567.530000,0.780394,44.208200,46.514700,46.609350,-0.184782,3.800000,0.000000,0.200000,0.000000,0.000000,0.200000,0.070000,-1.000000,0,-0.017198,False,weak,none,unclear,unclear,needs_review
Defensive Healthcare,6,6,-0.001764,0.001749,-0.000380,0.044769,0.049733,0.104644,0.106823,0.335731,10088384.555556,11270714.066667,16030324.350000,0.529315,195.374333,194.880166,189.226937,-0.035833,4.166667,0.500000,0.666667,0.000000,0.000000,0.000000,0.266667,-6.000000,0,0.021581,False,neutral,none,defensive_rotation,defensive_rotation,inferred
Defensive Staples,6,6,-0.004925,-0.002319,-0.004694,-0.010674,-0.016733,-0.006038,0.084765,0.089257,9466901.611111,9827204.300000,11942719.408333,0.649970,251.626332,252.339331,254.964915,-0.040812,5.000000,0.333333,0.333333,0.166667,0.000000,0.000000,0.191667,-3.000000,0,0.019880,False,weak,none,defensive_rotation,defensive_rotation,inferred
