ticker,company_name,industry_group,latest_date,data_points,return_3d,return_5d,return_10d,return_20d,return_1m,return_3m,return_6m,return_1y,avg_volume_3d,avg_volume_5d,avg_volume_20d,relative_volume,ma_5d,ma_10d,ma_20d,max_drawdown_10d,up_days_10d,early_momentum_signal,confirmed_momentum_signal,strong_momentum_signal,risk_warning,relative_strength_vs_industry,leader_type,industry_quality_score,distance_from_20d_ma,distance_from_52w_high,position_in_52w_range,forward_pe,earnings_growth,peg_ratio,peg_rating,peg_status,peg_note,industry_regime,industry_risk_flag,rotation_type,causal_hypothesis,evidence_status,short_term_price_zone,long_term_price_zone,price_zone,current_state,watch_status,latest_volume,data_status,data_quality_note
ANET,Arista Networks Inc.,AI Infrastructure,2026-06-22,251,0.038986,0.069346,0.131523,0.174776,0.242508,0.330285,0.426610,0.898423,8394149.333333,8102829.600000,8530222.400000,0.917039,169.251996,162.621997,162.398498,-0.029668,6,True,True,False,False,0.050326,infrastructure_leader,5,0.074887,-0.017836,0.963045,39.187600,0.250000,1.567504,fair,ok,Forward PEG uses Yahoo forwardPE divided by earningsGrowth percent.,momentum_leader,none,risk_on_growth,industry_flow_leads_leaders,inferred,neutral,very_extended,very_extended,overextended,too_extended,7822548,ok,資料日期與本次市場日期一致。
VRT,Vertiv Holdings Co.,AI Infrastructure,2026-06-22,251,0.194793,0.182139,0.191423,0.107095,0.134205,0.399228,1.390173,2.074947,6894505.666667,6122363.400000,6079250.850000,1.190857,324.023993,309.163385,315.287756,-0.065176,7,True,True,False,False,0.110226,infrastructure_leader,5,0.135344,-0.048363,0.929962,40.442245,1.357000,0.298027,undervalued,ok,Forward PEG uses Yahoo forwardPE divided by earningsGrowth percent.,momentum_leader,none,risk_on_growth,industry_flow_leads_leaders,inferred,extended,very_extended,very_extended,overextended,too_extended,7239517,ok,資料日期與本次市場日期一致。
DELL,Dell Technologies Inc.,AI Infrastructure,2026-06-22,251,0.036206,0.058498,0.061665,0.656290,0.723583,1.663827,2.298483,2.601733,10360406.666667,8888864.000000,13169316.000000,0.529004,412.135999,400.007999,389.120998,-0.077201,6,True,True,False,False,-0.019532,challenger,5,0.076041,-0.101404,0.866989,19.611818,2.825000,0.069422,undervalued,ok,Forward PEG uses Yahoo forwardPE divided by earningsGrowth percent.,momentum_leader,none,risk_on_growth,industry_flow_leads_leaders,inferred,neutral,extended,extended,strong_uptrend,too_extended,6966620,ok,資料日期與本次市場日期一致。
HPE,Hewlett Packard Enterprise Co.,AI Infrastructure,2026-06-22,251,0.000413,0.007715,-0.013382,0.428955,0.436142,1.252402,1.046146,1.774180,35942155.000000,32527753.000000,43810133.250000,0.530582,48.253400,47.917096,46.656142,-0.087828,5,True,False,False,True,-0.094578,non_leader,5,0.037377,-0.135501,0.803158,12.106447,,,unavailable,missing_growth,Yahoo Finance earningsGrowth is missing.,momentum_leader,none,risk_on_growth,industry_flow_leads_leaders,inferred,neutral,neutral,neutral,early_recovery,avoid_for_now,23244865,ok,資料日期與本次市場日期一致。
SMCI,Super Micro Computer Inc.,AI Infrastructure,2026-06-22,251,0.213552,0.164150,-0.148415,0.059773,0.059773,0.727228,0.188338,-0.132795,82117323.000000,72481913.800000,74866348.450000,1.661567,30.794000,33.030000,38.078500,-0.368493,5,True,False,False,True,-0.229611,challenger,5,-0.068766,-0.415912,0.371578,11.180441,3.260000,0.034296,undervalued,ok,Forward PEG uses Yahoo forwardPE divided by earningsGrowth percent.,momentum_leader,none,risk_on_growth,industry_flow_leads_leaders,inferred,reasonable_pullback,reasonable_pullback,reasonable_pullback,early_recovery,avoid_for_now,124395469,ok,資料日期與本次市場日期一致。
ETN,Eaton Corporation plc,AI Infrastructure,2026-06-22,251,0.068848,0.113416,0.100621,0.142250,0.147726,0.224732,0.387964,0.324034,2840820.000000,2529572.000000,2507118.000000,1.022832,416.391998,404.731003,405.208000,-0.068661,7,True,True,False,False,0.019425,infrastructure_leader,5,0.075448,0.000000,1.000000,27.691622,-0.094000,,unavailable,invalid_growth,Yahoo Finance earningsGrowth is zero or negative.,momentum_leader,none,risk_on_growth,industry_flow_leads_leaders,inferred,neutral,very_extended,very_extended,overextended,too_extended,2564360,ok,資料日期與本次市場日期一致。
NBIS,Nebius Group N.V.,AI Infrastructure,2026-06-22,251,0.069823,0.220563,0.244941,0.289547,0.478521,1.411239,2.758913,4.973252,25071301.333333,21311360.800000,17934515.200000,0.791552,275.276001,248.079001,241.683500,-0.038297,7,True,True,False,True,0.163744,emerging_leader,4,0.173477,-0.010743,0.987293,785.144700,,,unavailable,missing_growth,Yahoo Finance earningsGrowth is missing.,momentum_leader,none,risk_on_growth,industry_flow_leads_leaders,inferred,very_extended,very_extended,very_extended,overextended,too_extended,14196104,ok,資料日期與本次市場日期一致。
NVDA,NVIDIA Corporation,Semiconductors,2026-06-22,251,0.005978,0.016862,0.017309,-0.048366,-0.065229,0.209573,0.222093,0.449177,161564488.666667,152064853.200000,171266778.300000,0.671806,208.769998,207.115999,211.150797,-0.039398,5,True,False,False,False,-0.179416,core_leader,5,-0.011844,-0.113883,0.706893,16.391691,2.145000,0.076418,undervalued,ok,Forward PEG uses Yahoo forwardPE divided by earningsGrowth percent.,momentum_leader,none,risk_on_growth,industry_flow_leads_leaders,inferred,neutral,neutral,neutral,strong_uptrend,avoid_for_now,115057966,ok,資料日期與本次市場日期一致。
AMD,Advanced Micro Devices Inc.,Semiconductors,2026-06-22,251,0.087406,0.078308,0.182791,0.226962,0.232472,1.739929,1.784463,3.257061,32046318.666667,31606611.200000,31843637.800000,0.792876,531.206000,507.429001,506.959503,-0.077356,7,False,True,False,False,-0.013934,challenger,5,0.088115,0.000000,1.000000,42.097206,0.912000,0.461592,undervalued,ok,Forward PEG uses Yahoo forwardPE divided by earningsGrowth percent.,momentum_leader,none,risk_on_growth,industry_flow_leads_leaders,inferred,extended,very_extended,very_extended,overextended,too_extended,25248056,ok,資料日期與本次市場日期一致。
AVGO,Broadcom Inc.,Semiconductors,2026-06-22,251,0.040933,0.026330,0.016592,-0.054128,-0.061351,0.265507,0.207608,0.554080,36468806.000000,34674863.600000,35676555.900000,0.681815,393.406000,389.553003,412.615002,-0.061775,5,True,False,False,False,-0.180133,core_leader,5,-0.049647,-0.185726,0.609853,20.228518,0.854000,0.236868,undervalued,ok,Forward PEG uses Yahoo forwardPE divided by earningsGrowth percent.,momentum_leader,none,risk_on_growth,industry_flow_leads_leaders,inferred,reasonable_pullback,neutral,reasonable_pullback,early_recovery,research_candidate,24324818,ok,資料日期與本次市場日期一致。
TSM,Taiwan Semiconductor Manufacturing Co. Ltd.,Semiconductors,2026-06-22,251,0.098255,0.103177,0.129092,0.151333,0.167186,0.423780,0.697307,1.248204,16793063.000000,14501517.800000,13170529.450000,1.034734,445.833997,433.468805,429.335524,-0.044798,8,True,True,False,False,-0.067632,core_leader,5,0.089288,0.000000,1.000000,23.792553,0.584000,0.407407,undervalued,ok,Forward PEG uses Yahoo forwardPE divided by earningsGrowth percent.,momentum_leader,none,risk_on_growth,industry_flow_leads_leaders,inferred,extended,very_extended,very_extended,overextended,too_extended,13627989,ok,資料日期與本次市場日期一致。
ASML,ASML Holding N.V.,Semiconductors,2026-06-22,251,0.069494,0.035255,0.175125,0.211840,0.244573,0.467803,0.906595,1.493675,2169534.666667,2129060.800000,2001165.200000,0.889284,1884.662012,1844.734009,1749.409003,-0.050324,6,False,True,False,False,-0.021599,infrastructure_leader,5,0.102801,-0.000223,0.999654,40.136500,0.192000,2.090443,expensive,ok,Forward PEG uses Yahoo forwardPE divided by earningsGrowth percent.,momentum_leader,none,risk_on_growth,industry_flow_leads_leaders,inferred,extended,very_extended,very_extended,overextended,too_extended,1779604,ok,資料日期與本次市場日期一致。
MU,Micron Technology Inc.,Semiconductors,2026-06-22,251,0.186743,0.234075,0.402044,0.589529,0.654913,1.865663,4.375924,8.946589,52916526.666667,49848796.000000,54717939.000000,0.876456,1099.461987,1025.183997,988.041495,-0.061793,6,True,True,False,True,0.205319,specialist,5,0.226042,0.000000,1.000000,10.033421,7.560000,0.013272,undervalued,ok,Forward PEG uses Yahoo forwardPE divided by earningsGrowth percent.,momentum_leader,none,risk_on_growth,industry_flow_leads_leaders,inferred,very_extended,very_extended,very_extended,overextended,too_extended,47957880,ok,資料日期與本次市場日期一致。
QCOM,Qualcomm Incorporated,Semiconductors,2026-06-22,251,0.036577,0.048082,0.027600,0.043623,0.099795,0.714546,0.300624,0.479542,25689466.333333,22138359.800000,22170729.950000,0.813284,219.172000,212.493001,225.542560,-0.122009,5,True,False,False,True,-0.169124,specialist,5,-0.016150,-0.112742,0.777074,20.790527,1.730000,0.120176,undervalued,ok,Forward PEG uses Yahoo forwardPE divided by earningsGrowth percent.,momentum_leader,none,risk_on_growth,industry_flow_leads_leaders,inferred,neutral,neutral,neutral,early_recovery,avoid_for_now,18031099,ok,資料日期與本次市場日期一致。
INTC,Intel Corporation,Semiconductors,2026-06-22,251,0.204101,0.131412,0.421196,0.189367,0.184768,2.212674,2.909570,5.651251,157203655.000000,147816213.000000,132189128.250000,0.925791,128.188002,120.770000,117.466000,-0.084546,7,False,True,False,True,0.224471,challenger,5,0.199837,0.000000,1.000000,91.135414,,,unavailable,missing_growth,Yahoo Finance earningsGrowth is missing.,momentum_leader,none,risk_on_growth,industry_flow_leads_leaders,inferred,very_extended,very_extended,very_extended,overextended,too_extended,122379465,ok,資料日期與本次市場日期一致。
ARM,Arm Holdings plc,Semiconductors,2026-06-22,251,0.028713,0.070665,0.188931,0.367133,0.588128,2.080619,2.558387,1.730329,18374914.666667,16312448.800000,13519302.200000,0.681274,414.989996,377.666998,367.771498,-0.112474,6,False,True,False,True,-0.007794,specialist,5,0.108623,-0.072225,0.905228,132.203640,0.479000,2.759992,expensive,ok,Forward PEG uses Yahoo forwardPE divided by earningsGrowth percent.,momentum_leader,none,risk_on_growth,industry_flow_leads_leaders,inferred,extended,extended,extended,overextended,too_extended,9210344,ok,資料日期與本次市場日期一致。
AMAT,Applied Materials Inc.,Semiconductors,2026-06-22,251,0.126621,0.128568,0.413170,0.497988,0.501642,0.795149,1.584989,2.750153,12757524.333333,12168614.600000,9552018.650000,1.093578,600.843994,561.250000,512.562001,-0.029960,8,False,True,False,True,0.216445,infrastructure_leader,5,0.248981,0.000000,1.000000,39.283306,0.335000,1.172636,fair,ok,Forward PEG uses Yahoo forwardPE divided by earningsGrowth percent.,momentum_leader,none,risk_on_growth,industry_flow_leads_leaders,inferred,very_extended,very_extended,very_extended,overextended,too_extended,10445873,ok,資料日期與本次市場日期一致。
LRCX,Lam Research Corporation,Semiconductors,2026-06-22,251,0.109624,0.117277,0.351321,0.355971,0.403090,0.794660,1.647564,3.495215,15893110.333333,14638806.200000,11503321.550000,1.225031,386.097253,363.202765,342.391615,-0.050345,8,False,True,True,True,0.154596,infrastructure_leader,5,0.196116,0.000000,1.000000,51.141357,0.408000,1.253465,fair,ok,Forward PEG uses Yahoo forwardPE divided by earningsGrowth percent.,momentum_leader,none,risk_on_growth,industry_flow_leads_leaders,inferred,very_extended,very_extended,very_extended,overextended,too_extended,14091931,ok,資料日期與本次市場日期一致。
KLAC,KLA Corporation,Semiconductors,2026-06-22,251,0.134117,0.057437,0.395190,0.461095,0.471246,0.798285,1.302467,2.163624,16720455.333333,16515633.200000,12897038.300000,0.835895,252.240002,239.521100,219.145300,-0.074448,8,False,True,False,True,0.198465,infrastructure_leader,5,0.228226,0.000000,1.000000,53.196620,0.118000,4.508188,expensive,ok,Forward PEG uses Yahoo forwardPE divided by earningsGrowth percent.,momentum_leader,none,risk_on_growth,industry_flow_leads_leaders,inferred,very_extended,very_extended,very_extended,overextended,too_extended,10780566,ok,資料日期與本次市場日期一致。
TXN,Texas Instruments Incorporated,Semiconductors,2026-06-22,251,0.086912,0.103480,0.165649,0.113576,0.089871,0.784114,0.926461,0.696211,12578566.000000,10580319.600000,9227034.900000,0.943727,315.213995,303.582999,305.467500,-0.036574,6,True,True,False,False,-0.031075,specialist,5,0.087775,0.000000,1.000000,35.133950,0.313000,1.122490,fair,ok,Forward PEG uses Yahoo forwardPE divided by earningsGrowth percent.,momentum_leader,none,risk_on_growth,industry_flow_leads_leaders,inferred,extended,very_extended,very_extended,overextended,too_extended,8707798,ok,資料日期與本次市場日期一致。
ADI,Analog Devices Inc.,Semiconductors,2026-06-22,251,0.070865,0.066277,0.109843,0.162646,0.122221,0.443623,0.653257,0.954542,6582639.333333,5725923.600000,5195155.900000,0.822962,427.594000,416.907004,416.139226,-0.030708,7,True,True,False,False,-0.086881,specialist,5,0.070507,0.000000,1.000000,30.138080,1.105000,0.272743,undervalued,ok,Forward PEG uses Yahoo forwardPE divided by earningsGrowth percent.,momentum_leader,none,risk_on_growth,industry_flow_leads_leaders,inferred,neutral,very_extended,very_extended,overextended,too_extended,4275418,ok,資料日期與本次市場日期一致。
NXPI,NXP Semiconductors N.V.,Semiconductors,2026-06-22,251,0.067186,0.060290,0.092175,0.079698,0.042205,0.697850,0.455528,0.562182,4980480.666667,4595268.400000,4244877.100000,0.955020,310.696002,304.500000,312.503500,-0.055971,6,True,True,False,False,-0.104550,specialist,5,0.034356,-0.028346,0.937236,18.252020,1.307000,0.139648,undervalued,ok,Forward PEG uses Yahoo forwardPE divided by earningsGrowth percent.,momentum_leader,none,risk_on_growth,industry_flow_leads_leaders,inferred,neutral,very_extended,very_extended,overextended,too_extended,4053942,ok,資料日期與本次市場日期一致。
MCHP,Microchip Technology Inc.,Semiconductors,2026-06-22,251,0.074035,0.078433,0.162667,0.132977,0.097910,0.639281,0.622649,0.538291,12187407.333333,11967644.400000,12083566.100000,0.837263,98.507999,95.147000,95.008000,-0.061902,7,False,True,False,False,-0.034058,specialist,5,0.081067,0.000000,1.000000,24.973862,,,unavailable,missing_growth,Yahoo Finance earningsGrowth is missing.,momentum_leader,none,risk_on_growth,industry_flow_leads_leaders,inferred,extended,very_extended,very_extended,overextended,too_extended,10117122,ok,資料日期與本次市場日期一致。
ON,ON Semiconductor Corporation,Semiconductors,2026-06-22,251,0.112474,0.126381,0.121866,0.200164,0.193630,1.219879,1.466717,1.474140,14336846.000000,12883227.600000,12368121.900000,0.959154,122.048001,119.106001,121.805500,-0.103098,6,True,True,False,True,-0.074859,specialist,5,0.080001,-0.017770,0.973268,30.485546,,,unavailable,missing_growth,Yahoo Finance earningsGrowth is missing.,momentum_leader,none,risk_on_growth,industry_flow_leads_leaders,inferred,extended,very_extended,very_extended,overextended,too_extended,11862938,ok,資料日期與本次市場日期一致。
MRVL,Marvell Technology Inc.,Semiconductors,2026-06-22,251,0.104747,0.100679,0.168482,0.614453,0.648073,2.503743,2.772775,3.361293,116064472.666667,92471663.600000,72019525.900000,0.647001,299.106000,286.426001,263.457500,-0.125532,5,True,False,False,True,-0.028242,challenger,5,0.168538,-0.027083,0.966291,49.864910,-0.804000,,unavailable,invalid_growth,Yahoo Finance earningsGrowth is zero or negative.,momentum_leader,none,risk_on_growth,industry_flow_leads_leaders,inferred,very_extended,very_extended,very_extended,overextended,too_extended,46596718,ok,資料日期與本次市場日期一致。
AVAV,AeroVironment Inc.,Defense Drones,2026-06-22,251,-0.092256,-0.112850,-0.186048,-0.072107,-0.076524,-0.234625,-0.339459,-0.208649,1549554.333333,1330032.600000,1398963.150000,1.654985,165.342001,171.509999,183.236499,-0.180583,4,False,False,False,True,-0.037938,core_leader,3,-0.174127,-0.630749,0.000000,37.502663,,,unavailable,missing_growth,Yahoo Finance earningsGrowth is missing.,weak,none,unclear,unclear,needs_review,deep_pullback,deep_pullback,deep_pullback,falling_knife,avoid_for_now,2315263,ok,資料日期與本次市場日期一致。
KTOS,Kratos Defense & Security Solutions Inc.,Defense Drones,2026-06-22,251,-0.093184,-0.115325,-0.126965,-0.065484,-0.084737,-0.396242,-0.267737,0.170983,4879265.000000,4357039.000000,4755039.750000,0.956458,54.964000,56.009000,58.340000,-0.130827,1,False,False,False,True,0.021144,challenger,3,-0.124272,-0.609165,0.114730,47.447020,1.306000,0.363300,undervalued,ok,Forward PEG uses Yahoo forwardPE divided by earningsGrowth percent.,weak,none,unclear,unclear,needs_review,deep_pullback,deep_pullback,deep_pullback,falling_knife,avoid_for_now,4547995,ok,資料日期與本次市場日期一致。
RCAT,Red Cat Holdings Inc.,Defense Drones,2026-06-22,251,-0.024771,-0.049195,-0.161672,0.177187,0.189038,-0.197736,0.542816,0.480501,15041365.000000,13584339.000000,19042639.750000,0.482947,11.228000,11.418000,12.184000,-0.146870,4,False,False,False,True,-0.013563,emerging_leader,3,-0.127544,-0.387673,0.400178,-29.527777,,,unavailable,missing_pe,Yahoo Finance forwardPE is missing or not positive.,weak,none,unclear,unclear,needs_review,deep_pullback,reasonable_pullback,deep_pullback,falling_knife,avoid_for_now,9196595,ok,資料日期與本次市場日期一致。
ONDS,Ondas Holdings Inc.,Defense Drones,2026-06-22,251,-0.034745,-0.047160,-0.147651,-0.031590,-0.050214,-0.116302,0.206242,5.216784,56990891.333333,56140834.800000,78020203.700000,0.740965,9.200000,9.442000,10.578500,-0.136893,3,False,False,False,True,0.000458,non_leader,3,-0.159616,-0.365453,0.593005,-177.800000,,,unavailable,missing_pe,Yahoo Finance forwardPE is missing or not positive.,weak,none,unclear,unclear,needs_review,deep_pullback,neutral,deep_pullback,falling_knife,avoid_for_now,57810274,ok,資料日期與本次市場日期一致。
DPRO,Draganfly Inc.,Defense Drones,2026-06-22,251,-0.033275,-0.080000,-0.118211,-0.115385,0.007299,-0.024735,-0.092105,1.044444,1137511.000000,1230546.600000,2366791.650000,0.542394,5.733000,5.930000,6.479000,-0.152074,4,False,False,False,True,0.029898,non_leader,3,-0.148017,-0.599129,0.262735,-11.333595,,,unavailable,missing_pe,Yahoo Finance forwardPE is missing or not positive.,weak,none,unclear,unclear,needs_review,deep_pullback,reasonable_pullback,deep_pullback,falling_knife,avoid_for_now,1283733,ok,資料日期與本次市場日期一致。
RTX,RTX Corporation,Defense,2026-06-22,251,-0.026450,-0.009263,0.004641,0.037546,0.044252,-0.078586,0.033825,0.266908,7580409.666667,6783745.800000,5833721.450000,1.087595,186.084003,183.579002,180.430002,-0.055821,5,False,False,False,False,0.062717,core_leader,4,0.007759,-0.139388,0.591641,23.988350,0.325000,0.738103,undervalued,ok,Forward PEG uses Yahoo forwardPE divided by earningsGrowth percent.,weak,none,unclear,unclear,needs_review,neutral,neutral,neutral,sideways_base,not_eligible_industry,6344729,ok,資料日期與本次市場日期一致。
LHX,L3Harris Technologies Inc.,Defense,2026-06-22,251,-0.079304,-0.071347,-0.071468,-0.063141,-0.071687,-0.186657,0.033251,0.156719,2072788.000000,1799252.800000,1226148.200000,1.624652,301.688007,304.167007,306.681015,-0.087301,4,False,False,False,True,-0.013392,specialist,4,-0.067989,-0.239094,0.324344,20.938990,-0.061000,,unavailable,invalid_growth,Yahoo Finance earningsGrowth is zero or negative.,weak,none,unclear,unclear,needs_review,reasonable_pullback,reasonable_pullback,reasonable_pullback,falling_knife,avoid_for_now,1992064,ok,資料日期與本次市場日期一致。
NOC,Northrop Grumman Corporation,Defense,2026-06-22,251,-0.079607,-0.078135,-0.068093,-0.076176,-0.077163,-0.279210,-0.093931,0.031249,1343245.333333,1168847.200000,1053416.800000,0.870915,534.984003,540.939005,543.765456,-0.081789,3,False,False,False,True,-0.010017,core_leader,4,-0.067006,-0.336524,0.106902,16.833292,0.849000,0.198272,undervalued,ok,Forward PEG uses Yahoo forwardPE divided by earningsGrowth percent.,weak,none,unclear,unclear,needs_review,reasonable_pullback,deep_pullback,deep_pullback,falling_knife,avoid_for_now,917436,ok,資料日期與本次市場日期一致。
