ticker,company_name,industry_group,latest_date,data_points,return_3d,return_5d,return_10d,return_20d,avg_volume_3d,avg_volume_5d,avg_volume_20d,relative_volume,ma_5d,ma_10d,ma_20d,max_drawdown_10d,up_days_10d,early_momentum_signal,confirmed_momentum_signal,strong_momentum_signal,risk_warning,relative_strength_vs_industry,leader_type,industry_quality_score,distance_from_20d_ma,distance_from_52w_high,position_in_52w_range,industry_regime,industry_risk_flag,rotation_type,causal_hypothesis,evidence_status,short_term_price_zone,long_term_price_zone,price_zone,current_state,watch_status,latest_volume,data_status,data_quality_note
QCOM,Qualcomm Incorporated,Semiconductors,2026-05-22,251,0.217525,0.181994,0.087042,0.600000,25713322.000000,23565533.200000,31991948.300000,0.935822,210.666000,211.591000,194.895000,-0.176483,7,True,False,False,True,0.036465,specialist,5,0.221991,0.000000,1.000000,neutral,narrow_leadership,risk_on_growth,industry_flow_leads_leaders,inferred,very_extended,very_extended,very_extended,overextended,not_eligible_industry,29938766,ok,資料日期與本次市場日期一致。
INTC,Intel Corporation,Semiconductors,2026-05-22,251,0.081588,0.101774,-0.040666,0.451902,116463985.333333,129078171.200000,153624302.800000,0.532810,115.253999,117.131000,109.057500,-0.164323,4,True,False,False,True,-0.091243,challenger,5,0.098870,-0.074166,0.912830,neutral,narrow_leadership,risk_on_growth,industry_flow_leads_leaders,inferred,extended,extended,extended,overextended,avoid_for_now,81852556,ok,資料日期與本次市場日期一致。
ARM,Arm Holdings plc,Semiconductors,2026-05-22,251,0.373560,0.465433,0.437192,0.305353,17943652.666667,14734371.600000,12028822.900000,1.141987,259.948004,237.918002,224.644001,-0.084639,7,True,True,False,True,0.386616,specialist,5,0.364426,0.000000,1.000000,neutral,narrow_leadership,risk_on_growth,industry_flow_leads_leaders,inferred,very_extended,very_extended,very_extended,overextended,not_eligible_industry,13736758,ok,資料日期與本次市場日期一致。
AMAT,Applied Materials Inc.,Semiconductors,2026-05-22,251,0.063373,-0.008984,-0.006299,0.037544,5789691.666667,6810555.000000,7729228.750000,0.620731,421.060260,429.119385,415.761063,-0.082751,6,False,False,False,True,-0.056876,infrastructure_leader,5,0.039443,-0.024622,0.962057,neutral,narrow_leadership,risk_on_growth,industry_flow_leads_leaders,inferred,neutral,very_extended,very_extended,falling_knife,avoid_for_now,4797775,ok,資料日期與本次市場日期一致。
TXN,Texas Instruments Incorporated,Semiconductors,2026-05-22,251,0.022824,0.021405,0.074392,0.121387,6760028.000000,6818016.800000,7523114.200000,0.924575,303.078003,302.556006,290.371266,-0.031736,6,False,True,False,False,0.023815,specialist,5,0.064878,0.000000,1.000000,neutral,narrow_leadership,risk_on_growth,industry_flow_leads_leaders,inferred,neutral,very_extended,very_extended,overextended,not_eligible_industry,6955684,ok,資料日期與本次市場日期一致。
AVAV,AeroVironment Inc.,Defense Drones,2026-05-22,251,0.087374,0.102721,0.035296,-0.112340,837581.666667,832309.000000,1055417.250000,1.085490,164.587997,164.250999,172.593499,-0.064314,5,True,False,False,False,0.018353,core_leader,3,0.009482,-0.574873,0.064448,neutral,none,unclear,unclear,needs_review,neutral,deep_pullback,deep_pullback,early_recovery,not_eligible_industry,1145645,ok,資料日期與本次市場日期一致。
KTOS,Kratos Defense & Security Solutions Inc.,Defense Drones,2026-05-22,251,0.050683,0.078518,-0.029539,-0.082925,3197208.666667,3215205.200000,4216731.300000,0.675221,54.872000,54.811000,57.762000,-0.091401,5,True,False,False,True,-0.046482,challenger,3,-0.027388,-0.570226,0.212966,neutral,none,unclear,unclear,needs_review,neutral,deep_pullback,deep_pullback,early_recovery,avoid_for_now,2847226,ok,資料日期與本次市場日期一致。
RCAT,Red Cat Holdings Inc.,Defense Drones,2026-05-22,251,0.100585,-0.008430,-0.092575,-0.202542,7748488.666667,8808193.200000,10094483.300000,0.929613,8.972000,9.577000,10.280000,-0.240000,5,False,False,False,True,-0.109518,emerging_leader,3,-0.084630,-0.457949,0.303243,neutral,none,unclear,unclear,needs_review,reasonable_pullback,reasonable_pullback,reasonable_pullback,falling_knife,avoid_for_now,9383966,ok,資料日期與本次市場日期一致。
ONDS,Ondas Holdings Inc.,Defense Drones,2026-05-22,251,-0.007123,-0.146893,0.000000,-0.141232,52759340.000000,58648424.000000,64367901.000000,0.910637,9.285000,9.557500,9.660250,-0.191793,3,False,False,False,True,-0.016943,non_leader,3,-0.062136,-0.353319,0.621646,neutral,none,unclear,unclear,needs_review,reasonable_pullback,neutral,reasonable_pullback,sideways_base,not_eligible_industry,58615820,ok,資料日期與本次市場日期一致。
DPRO,Draganfly Inc.,Defense Drones,2026-05-22,251,0.218216,0.202247,0.171533,0.093697,2231500.000000,1773720.000000,1453080.000000,1.613538,5.736000,5.589000,5.447500,-0.063943,5,True,False,False,True,0.154590,non_leader,3,0.178522,-0.533769,0.388010,neutral,none,unclear,unclear,needs_review,very_extended,reasonable_pullback,very_extended,overextended,not_eligible_industry,2344600,ok,資料日期與本次市場日期一致。
