industry_group,ticker_count,tickers_with_data,return_3d,return_5d,return_10d,return_20d,avg_volume_3d,avg_volume_5d,avg_volume_20d,relative_volume,ma_5d,ma_10d,ma_20d,max_drawdown_10d,up_days_10d,positive_5d_pct,positive_10d_pct,confirmed_signal_pct,strong_signal_pct,high_relative_volume_pct,breadth_score,rotation_score,momentum_persistence,momentum_acceleration,momentum_exhaustion_warning,industry_regime,industry_risk_flag,rotation_type,causal_hypothesis,evidence_status
AI Infrastructure,6,6,-0.073890,-0.034237,-0.007169,0.013138,10613432.722222,12152899.633333,13363951.575000,0.820635,199.698334,200.878980,198.752904,-0.101131,3.833333,0.166667,0.500000,0.000000,0.000000,0.166667,0.175000,-3.000000,0,-0.005293,False,weak,none,risk_on_growth,industry_flow_leads_leaders,inferred
Adtech,6,6,0.035232,-0.023304,-0.066026,-0.008323,5443866.222222,5464653.066667,5505987.433333,0.914032,109.787667,110.418333,108.158500,-0.129343,4.333333,0.333333,0.000000,0.000000,0.000000,0.000000,0.066667,-1.000000,0,-0.011094,False,weak,none,unclear,unclear,needs_review
Cloud Software,6,6,0.095763,0.092940,0.166270,0.174248,13982497.666667,11833468.600000,10715089.650000,1.274871,179.319999,174.986834,165.418334,-0.056597,5.666667,1.000000,0.833333,0.500000,0.166667,0.500000,0.616667,3.000000,1,0.019733,False,momentum_leader,none,unclear,unclear,needs_review
Consumer Platforms,6,6,0.002966,-0.018212,-0.033383,-0.091689,12463798.277778,12530832.300000,13802184.741667,0.938312,151.399667,151.686000,156.586584,-0.074560,4.666667,0.333333,0.500000,0.166667,0.000000,0.166667,0.250000,4.000000,0,-0.029846,False,weak,none,unclear,unclear,needs_review
Cybersecurity,6,6,0.091911,0.141482,0.260406,0.309379,5541358.333333,5210691.666667,4381073.750000,1.386052,204.268669,192.088668,175.863167,-0.036868,7.000000,1.000000,1.000000,0.833333,0.333333,0.666667,0.791667,2.000000,4,0.021566,False,momentum_leader,none,unclear,unclear,needs_review
Defense,7,7,-0.001983,-0.012228,-0.007729,-0.086536,1720216.809524,1674035.800000,1962689.664286,0.687847,335.562001,335.245572,340.839214,-0.038498,4.428571,0.142857,0.428571,0.000000,0.000000,0.000000,0.135714,3.000000,0,-0.020864,False,weak,none,unclear,unclear,needs_review
Defense Drones,5,5,-0.085572,-0.071245,-0.061643,-0.213028,21362435.400000,27451097.240000,16487226.310000,0.762423,47.822800,49.177600,52.661200,-0.147420,4.400000,0.200000,0.200000,0.000000,0.000000,0.000000,0.090000,2.000000,0,-0.010553,False,weak,none,unclear,unclear,needs_review
Defensive Healthcare,6,6,0.001797,0.011229,0.022084,0.018725,12215438.555556,11805406.466667,12965519.950000,0.753343,175.081667,172.630320,170.674944,-0.026304,5.333333,0.666667,0.833333,0.166667,0.000000,0.000000,0.383333,4.000000,0,-0.007792,False,momentum_leader,none,defensive_rotation,defensive_rotation,inferred
Defensive Staples,6,6,0.016202,0.020944,0.022714,0.049166,9362963.277778,8694941.300000,8688319.491667,1.038639,275.437327,271.283733,269.003993,-0.025654,6.500000,0.666667,0.666667,0.666667,0.166667,0.333333,0.533333,7.000000,0,-0.009381,False,momentum_leader,none,defensive_rotation,defensive_rotation,inferred
Energy Storage,5,5,-0.055796,0.062808,0.134401,0.215030,7242974.400000,7406580.640000,5553265.160000,0.878995,78.163199,76.685000,72.375100,-0.169940,4.800000,0.400000,0.600000,0.000000,0.000000,0.000000,0.230000,-2.000000,0,0.000604,True,momentum_leader,momentum_exhaustion,unclear,unclear,needs_review
Fintech,6,6,-0.051892,-0.040218,-0.036221,-0.084932,18718104.000000,19412605.733333,21676634.766667,0.841209,78.563500,79.385917,79.553667,-0.076411,3.666667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,0,0.007243,False,weak,none,unclear,unclear,needs_review
Market ETFs,6,6,-0.022847,-0.011469,0.005723,0.034774,24741802.666667,22369118.266667,21170927.900000,1.071458,545.021999,544.237831,535.444625,-0.024157,5.166667,0.000000,0.833333,0.000000,0.000000,0.000000,0.208333,0.000000,0,-0.003450,False,neutral,none,unclear,unclear,needs_review
Nuclear,8,8,-0.128005,-0.160548,-0.144423,-0.112990,8664253.416667,8542322.050000,9341437.387500,1.050549,101.307791,108.167583,111.443960,-0.229637,2.625000,0.000000,0.000000,0.000000,0.000000,0.125000,0.012500,-7.000000,0,0.007872,False,weak,none,policy_driven,policy_or_thematic_support,inferred
Renewables,5,5,-0.064931,-0.009598,0.016687,0.131663,2589709.333333,2813405.600000,2739605.400000,0.802796,310.779997,310.166197,309.330297,-0.083401,5.000000,0.400000,0.600000,0.400000,0.000000,0.000000,0.330000,-3.000000,0,-0.014259,False,neutral,none,unclear,unclear,needs_review
Robotics Automation,6,6,-0.055693,-0.049321,-0.039010,-0.038101,2060704.388889,2018349.300000,2176157.325000,0.981545,263.563224,265.749082,264.435529,-0.117343,4.500000,0.333333,0.333333,0.166667,0.000000,0.166667,0.208333,-6.000000,0,-0.033888,False,weak,none,unclear,unclear,needs_review
