ticker,company_name,industry_group,latest_date,data_points,return_3d,return_5d,return_10d,return_20d,return_1m,return_3m,return_6m,return_1y,avg_volume_3d,avg_volume_5d,avg_volume_20d,relative_volume,ma_5d,ma_10d,ma_20d,max_drawdown_10d,up_days_10d,early_momentum_signal,confirmed_momentum_signal,strong_momentum_signal,risk_warning,relative_strength_vs_industry,leader_type,industry_quality_score,distance_from_20d_ma,distance_from_52w_high,position_in_52w_range,forward_pe,earnings_growth,peg_ratio,peg_rating,peg_status,peg_note,industry_regime,industry_risk_flag,rotation_type,causal_hypothesis,evidence_status,short_term_price_zone,long_term_price_zone,price_zone,current_state,watch_status,latest_volume,data_status,data_quality_note
ANET,Arista Networks Inc.,AI Infrastructure,2026-08-28,251,0.023253,0.035675,-0.017302,0.083338,0.142439,0.225183,0.463521,0.430831,5139528.666667,5022017.200000,7486534.300000,0.408906,195.562000,193.163998,194.382500,-0.089445,4,True,False,False,True,0.089232,infrastructure_leader,5,0.005132,-0.071829,0.839780,37.867570,0.357000,1.060716,fair,ok,Forward PEG uses Yahoo forwardPE divided by earningsGrowth percent.,weak,none,risk_on_growth,industry_flow_leads_leaders,inferred,neutral,extended,extended,overextended,avoid_for_now,3061286,ok,資料日期與本次市場日期一致。
VRT,Vertiv Holdings Co.,AI Infrastructure,2026-08-28,251,0.005200,-0.018591,-0.125102,0.064205,0.130022,-0.185539,0.009042,1.017744,4123449.000000,4054809.400000,4558482.350000,0.841211,260.177997,265.344000,271.655499,-0.128099,4,False,False,False,True,-0.018568,infrastructure_leader,5,-0.053654,-0.316552,0.532072,28.254305,0.530000,0.533100,undervalued,ok,Forward PEG uses Yahoo forwardPE divided by earningsGrowth percent.,weak,none,risk_on_growth,industry_flow_leads_leaders,inferred,reasonable_pullback,neutral,reasonable_pullback,falling_knife,avoid_for_now,3834647,ok,資料日期與本次市場日期一致。
DELL,Dell Technologies Inc.,AI Infrastructure,2026-08-28,251,0.010498,0.032030,-0.070435,0.125490,0.127047,0.085728,2.095677,2.782676,4346307.000000,4254484.200000,5263846.050000,0.747879,455.402002,453.987997,457.947998,-0.097163,4,True,False,False,True,0.036100,challenger,5,-0.003730,-0.077390,0.900329,20.372840,2.825000,0.072116,undervalued,ok,Forward PEG uses Yahoo forwardPE divided by earningsGrowth percent.,weak,none,risk_on_growth,industry_flow_leads_leaders,inferred,neutral,extended,extended,overextended,avoid_for_now,3936721,ok,資料日期與本次市場日期一致。
HPE,Hewlett Packard Enterprise Co.,AI Infrastructure,2026-08-28,251,-0.021145,-0.021328,-0.109010,0.092067,0.109673,0.218937,1.459308,1.365955,13070462.333333,12178377.400000,15317834.350000,0.905976,53.564000,54.059000,54.423500,-0.091998,3,False,False,False,True,-0.002476,non_leader,5,-0.038834,-0.125543,0.812741,12.810122,,,unavailable,missing_growth,Yahoo Finance earningsGrowth is missing.,weak,none,risk_on_growth,industry_flow_leads_leaders,inferred,reasonable_pullback,neutral,reasonable_pullback,falling_knife,avoid_for_now,13877587,ok,資料日期與本次市場日期一致。
SMCI,Super Micro Computer Inc.,AI Infrastructure,2026-08-28,251,-0.035881,-0.004296,-0.069277,0.305634,0.337180,-0.195487,0.144798,-0.107366,34776299.000000,38474139.400000,55038399.850000,0.525880,37.312000,37.257000,35.170000,-0.081243,3,False,False,False,True,0.037257,challenger,5,0.054308,-0.368098,0.433814,6.962178,4.094000,0.017006,undervalued,ok,Forward PEG uses Yahoo forwardPE divided by earningsGrowth percent.,weak,none,risk_on_growth,industry_flow_leads_leaders,inferred,neutral,reasonable_pullback,reasonable_pullback,falling_knife,avoid_for_now,28943597,ok,資料日期與本次市場日期一致。
ETN,Eaton Corporation plc,AI Infrastructure,2026-08-28,251,-0.015689,-0.039170,-0.107927,-0.027527,0.043632,0.007916,0.080414,0.166497,1745604.333333,1666322.600000,1871060.650000,0.973840,411.226007,420.202005,434.692754,-0.115547,4,False,False,False,True,-0.001392,infrastructure_leader,5,-0.073415,-0.124315,0.610384,25.068743,-0.159000,,unavailable,invalid_growth,Yahoo Finance earningsGrowth is zero or negative.,weak,none,risk_on_growth,industry_flow_leads_leaders,inferred,reasonable_pullback,neutral,reasonable_pullback,falling_knife,avoid_for_now,1822113,ok,資料日期與本次市場日期一致。
NBIS,Nebius Group N.V.,AI Infrastructure,2026-08-28,251,-0.057620,-0.045407,-0.246687,0.098577,0.110120,-0.094812,1.293892,2.061768,13231842.666667,14025145.600000,24731351.400000,0.528258,214.893997,225.488998,222.965500,-0.221945,2,False,False,False,True,-0.140153,emerging_leader,4,-0.061828,-0.270362,0.651844,-69.784820,,,unavailable,missing_pe,Yahoo Finance forwardPE is missing or not positive.,weak,none,risk_on_growth,industry_flow_leads_leaders,inferred,reasonable_pullback,neutral,reasonable_pullback,falling_knife,avoid_for_now,13064528,ok,資料日期與本次市場日期一致。
NVDA,NVIDIA Corporation,Semiconductors,2026-08-28,251,0.021122,0.013180,-0.033798,0.083686,0.115412,0.031560,0.229276,0.250659,224281996.000000,186068457.600000,127842524.400000,1.517775,215.344000,217.060001,218.047501,-0.073463,2,True,False,False,False,0.040791,core_leader,5,-0.002282,-0.076086,0.745835,14.342790,1.278000,0.112228,undervalued,ok,Forward PEG uses Yahoo forwardPE divided by earningsGrowth percent.,weak,none,risk_on_growth,industry_flow_leads_leaders,inferred,neutral,neutral,neutral,early_recovery,not_eligible_industry,194036188,ok,資料日期與本次市場日期一致。
AMD,Advanced Micro Devices Inc.,Semiconductors,2026-08-28,251,-0.028382,-0.016207,-0.094889,-0.022199,-0.040813,-0.097888,1.325458,1.862817,15357871.333333,16335442.800000,22432795.700000,0.681311,471.821997,475.863000,482.037502,-0.097332,4,False,False,False,True,-0.020300,challenger,5,-0.034142,-0.198533,0.731647,30.133204,1.595000,0.188923,undervalued,ok,Forward PEG uses Yahoo forwardPE divided by earningsGrowth percent.,weak,none,risk_on_growth,industry_flow_leads_leaders,inferred,reasonable_pullback,neutral,reasonable_pullback,falling_knife,avoid_for_now,15283714,ok,資料日期與本次市場日期一致。
AVGO,Broadcom Inc.,Semiconductors,2026-08-28,251,0.033778,0.000923,-0.061579,-0.052636,-0.049118,-0.173235,0.158343,0.249175,19002572.000000,18747963.200000,19408725.800000,0.849176,362.284003,367.881003,391.057501,-0.093877,3,True,False,False,True,0.013010,core_leader,5,-0.056942,-0.232980,0.403719,18.905115,0.854000,0.221371,undervalued,ok,Forward PEG uses Yahoo forwardPE divided by earningsGrowth percent.,weak,none,risk_on_growth,industry_flow_leads_leaders,inferred,reasonable_pullback,reasonable_pullback,reasonable_pullback,early_recovery,avoid_for_now,16481416,ok,資料日期與本次市場日期一致。
TSM,Taiwan Semiconductor Manufacturing Co. Ltd.,Semiconductors,2026-08-28,251,0.000263,-0.003413,-0.020711,0.032826,0.035233,0.000114,0.120394,0.828464,9686182.333333,9350789.400000,10140037.350000,0.873710,418.007996,418.145999,419.175000,-0.048379,6,False,False,False,False,0.053878,core_leader,5,-0.003948,-0.125741,0.761402,19.168764,0.774000,0.247658,undervalued,ok,Forward PEG uses Yahoo forwardPE divided by earningsGrowth percent.,weak,none,risk_on_growth,industry_flow_leads_leaders,inferred,neutral,neutral,neutral,sideways_base,not_eligible_industry,8859447,ok,資料日期與本次市場日期一致。
ASML,ASML Holding N.V.,Semiconductors,2026-08-28,251,-0.027520,-0.038327,-0.080213,0.041228,0.027079,0.053073,0.173383,1.299065,1050002.000000,1032181.200000,1184095.300000,1.055072,1732.220020,1761.300012,1756.295001,-0.099282,4,False,False,False,True,-0.005625,infrastructure_leader,5,-0.034240,-0.146316,0.770329,28.156343,0.285000,0.987942,undervalued,ok,Forward PEG uses Yahoo forwardPE divided by earningsGrowth percent.,weak,none,risk_on_growth,industry_flow_leads_leaders,inferred,reasonable_pullback,neutral,reasonable_pullback,falling_knife,avoid_for_now,1249306,ok,資料日期與本次市場日期一致。
MU,Micron Technology Inc.,Semiconductors,2026-08-28,251,-0.000118,-0.035086,-0.039932,0.133446,0.066540,-0.039131,1.263490,6.851082,23440458.333333,23899435.000000,30398868.750000,0.748751,930.009998,948.078003,920.873999,-0.100143,4,False,False,False,True,0.034657,specialist,5,0.013016,-0.231185,0.743843,6.017472,13.685000,0.004397,undervalued,ok,Forward PEG uses Yahoo forwardPE divided by earningsGrowth percent.,weak,none,risk_on_growth,industry_flow_leads_leaders,inferred,neutral,neutral,neutral,falling_knife,avoid_for_now,22761175,ok,資料日期與本次市場日期一致。
QCOM,Qualcomm Incorporated,Semiconductors,2026-08-28,251,0.022608,0.021400,-0.009651,0.112323,0.083047,-0.343493,0.165036,0.043058,11086415.333333,11038929.200000,9696767.300000,0.795507,162.356000,161.755000,161.803500,-0.022506,5,True,False,False,False,0.064938,specialist,5,0.014749,-0.343493,0.320807,16.093983,-0.230000,,unavailable,invalid_growth,Yahoo Finance earningsGrowth is zero or negative.,weak,none,risk_on_growth,industry_flow_leads_leaders,inferred,neutral,reasonable_pullback,reasonable_pullback,early_recovery,not_eligible_industry,7713846,ok,資料日期與本次市場日期一致。
INTC,Intel Corporation,Semiconductors,2026-08-28,251,0.022748,-0.006661,-0.127122,-0.008093,-0.018216,-0.219829,0.961631,2.674333,87370452.000000,88173711.200000,102008142.800000,0.841127,88.908000,91.972000,95.866999,-0.156827,4,False,False,False,True,-0.052533,challenger,5,-0.066728,-0.365191,0.559860,43.855053,,,unavailable,missing_growth,Yahoo Finance earningsGrowth is missing.,weak,none,risk_on_growth,industry_flow_leads_leaders,inferred,reasonable_pullback,neutral,reasonable_pullback,falling_knife,avoid_for_now,85801756,ok,資料日期與本次市場日期一致。
ARM,Arm Holdings plc,Semiconductors,2026-08-28,251,-0.010391,-0.017549,-0.144539,-0.002670,-0.010309,-0.323360,0.875638,0.728364,4278568.333333,3925361.000000,4287850.250000,0.901035,245.132001,249.379001,261.198999,-0.120289,4,False,False,False,True,-0.069950,specialist,5,-0.084797,-0.456037,0.401600,78.099480,1.083000,0.721140,undervalued,ok,Forward PEG uses Yahoo forwardPE divided by earningsGrowth percent.,weak,none,risk_on_growth,industry_flow_leads_leaders,inferred,reasonable_pullback,reasonable_pullback,reasonable_pullback,falling_knife,avoid_for_now,3863505,ok,資料日期與本次市場日期一致。
AMAT,Applied Materials Inc.,Semiconductors,2026-08-28,251,-0.038268,-0.062256,-0.088758,-0.089638,-0.078933,0.026893,0.242918,1.887681,5995104.666667,6487042.800000,7249720.700000,0.897512,477.604004,492.070889,510.916704,-0.136643,3,False,False,False,True,-0.014169,infrastructure_leader,5,-0.096389,-0.360769,0.540331,25.011526,0.428000,0.584381,undervalued,ok,Forward PEG uses Yahoo forwardPE divided by earningsGrowth percent.,weak,none,risk_on_growth,industry_flow_leads_leaders,inferred,reasonable_pullback,neutral,reasonable_pullback,falling_knife,avoid_for_now,6506714,ok,資料日期與本次市場日期一致。
LRCX,Lam Research Corporation,Semiconductors,2026-08-28,251,-0.040552,-0.038535,-0.091648,0.030305,0.014040,-0.050498,0.293235,2.031162,6234770.333333,6466202.200000,8149840.550000,0.985898,311.638000,316.165002,315.591499,-0.121975,5,False,False,False,True,-0.017059,infrastructure_leader,5,-0.043384,-0.303302,0.609808,26.122380,0.348000,0.750643,undervalued,ok,Forward PEG uses Yahoo forwardPE divided by earningsGrowth percent.,weak,none,risk_on_growth,industry_flow_leads_leaders,inferred,reasonable_pullback,neutral,reasonable_pullback,falling_knife,avoid_for_now,8034911,ok,資料日期與本次市場日期一致。
