ticker,company_name,industry_group,latest_date,data_points,return_3d,return_5d,return_10d,return_20d,return_1m,return_3m,return_6m,return_1y,avg_volume_3d,avg_volume_5d,avg_volume_20d,relative_volume,ma_5d,ma_10d,ma_20d,max_drawdown_10d,up_days_10d,early_momentum_signal,confirmed_momentum_signal,strong_momentum_signal,risk_warning,relative_strength_vs_industry,leader_type,industry_quality_score,distance_from_20d_ma,distance_from_52w_high,position_in_52w_range,forward_pe,earnings_growth,peg_ratio,peg_rating,peg_status,peg_note,industry_regime,industry_risk_flag,rotation_type,causal_hypothesis,evidence_status,short_term_price_zone,long_term_price_zone,price_zone,current_state,watch_status,latest_volume,data_status,data_quality_note
ANET,Arista Networks Inc.,AI Infrastructure,2026-08-19,251,-0.062217,-0.114252,-0.055040,0.066221,0.067992,0.316923,0.336176,0.418194,6765091.000000,6582094.600000,7993253.650000,0.716163,196.773999,196.473001,186.892501,-0.114252,4,False,False,False,True,-0.056274,infrastructure_leader,5,-0.002368,-0.114252,0.745152,36.136800,0.357000,1.012235,fair,ok,Forward PEG uses Yahoo forwardPE divided by earningsGrowth percent.,neutral,none,risk_on_growth,industry_flow_leads_leaders,inferred,neutral,neutral,neutral,falling_knife,avoid_for_now,5724473,ok,資料日期與本次市場日期一致。
VRT,Vertiv Holdings Co.,AI Infrastructure,2026-08-19,251,-0.111761,-0.094881,-0.060948,-0.133351,-0.142857,-0.190855,0.073625,1.048671,4898613.666667,4193908.200000,6404962.050000,0.864305,281.376001,279.472000,272.465499,-0.111761,3,False,False,False,True,-0.062182,infrastructure_leader,5,-0.042081,-0.306131,0.547477,28.685133,0.530000,0.541229,undervalued,ok,Forward PEG uses Yahoo forwardPE divided by earningsGrowth percent.,neutral,none,risk_on_growth,industry_flow_leads_leaders,inferred,reasonable_pullback,neutral,reasonable_pullback,falling_knife,avoid_for_now,5535841,ok,資料日期與本次市場日期一致。
DELL,Dell Technologies Inc.,AI Infrastructure,2026-08-19,251,-0.108515,-0.096904,-0.054355,-0.009620,0.082643,0.862931,2.764593,2.448986,5952316.333333,5982769.800000,5908867.450000,1.193638,474.265997,464.609998,444.037999,-0.115185,4,False,False,False,True,-0.055589,challenger,5,-0.014611,-0.115185,0.851653,19.568556,2.825000,0.069269,undervalued,ok,Forward PEG uses Yahoo forwardPE divided by earningsGrowth percent.,neutral,none,risk_on_growth,industry_flow_leads_leaders,inferred,neutral,extended,extended,falling_knife,avoid_for_now,7053049,ok,資料日期與本次市場日期一致。
HPE,Hewlett Packard Enterprise Co.,AI Infrastructure,2026-08-19,251,-0.095043,-0.096275,-0.001691,0.103885,0.137200,0.633521,1.488586,1.577789,15964989.666667,17156333.800000,16712223.450000,1.058900,56.992000,55.846000,52.145000,-0.111835,4,False,False,False,True,-0.002925,non_leader,5,0.018890,-0.111835,0.833187,13.161318,,,unavailable,missing_growth,Yahoo Finance earningsGrowth is missing.,neutral,none,risk_on_growth,industry_flow_leads_leaders,inferred,neutral,extended,extended,falling_knife,avoid_for_now,17696569,ok,資料日期與本次市場日期一致。
SMCI,Super Micro Computer Inc.,AI Infrastructure,2026-08-19,251,-0.081827,-0.027386,0.206464,0.196990,0.434510,0.196990,0.231235,-0.141516,47641070.333333,65537962.200000,57180605.550000,0.615525,38.254000,35.245000,32.224500,-0.081827,6,False,False,False,True,0.205231,challenger,5,0.135161,-0.376619,0.420708,6.868297,4.094000,0.016776,undervalued,ok,Forward PEG uses Yahoo forwardPE divided by earningsGrowth percent.,neutral,none,risk_on_growth,industry_flow_leads_leaders,inferred,extended,reasonable_pullback,extended,overextended,not_eligible_industry,35196111,ok,資料日期與本次市場日期一致。
ETN,Eaton Corporation plc,AI Infrastructure,2026-08-19,251,-0.059445,-0.076724,-0.048214,0.046214,0.056495,0.144764,0.125775,0.240266,1814764.333333,1682078.600000,2354104.650000,0.729914,443.247998,447.621997,428.225565,-0.076724,5,False,False,False,False,-0.049448,infrastructure_leader,5,-0.008303,-0.076724,0.759539,26.486088,-0.159000,,unavailable,invalid_growth,Yahoo Finance earningsGrowth is zero or negative.,neutral,none,risk_on_growth,industry_flow_leads_leaders,inferred,neutral,neutral,neutral,sideways_base,not_eligible_industry,1718293,ok,資料日期與本次市場日期一致。
NBIS,Nebius Group N.V.,AI Infrastructure,2026-08-19,251,-0.193676,-0.136188,0.022421,0.026311,0.032178,0.132352,1.199410,2.318512,30663657.000000,31450954.200000,28452393.550000,1.737797,254.779996,228.828999,211.948501,-0.193676,3,False,False,False,True,0.021187,emerging_leader,4,0.056389,-0.219017,0.717963,-72.897640,,,unavailable,missing_pe,Yahoo Finance forwardPE is missing or not positive.,neutral,none,risk_on_growth,industry_flow_leads_leaders,inferred,neutral,neutral,neutral,sideways_base,not_eligible_industry,49444471,ok,資料日期與本次市場日期一致。
NVDA,NVIDIA Corporation,Semiconductors,2026-08-19,251,-0.033754,-0.029140,-0.007572,0.025936,0.049544,-0.012676,0.158769,0.242017,97887056.333333,93641853.800000,118284918.450000,0.818822,222.554001,221.486002,212.378999,-0.034354,3,False,False,False,False,0.008565,core_leader,5,0.024395,-0.076043,0.745976,16.945772,2.145000,0.079001,undervalued,ok,Forward PEG uses Yahoo forwardPE divided by earningsGrowth percent.,weak,none,risk_on_growth,industry_flow_leads_leaders,inferred,neutral,neutral,neutral,sideways_base,not_eligible_industry,96854269,ok,資料日期與本次市場日期一致。
AMD,Advanced Micro Devices Inc.,Semiconductors,2026-08-19,251,-0.093256,-0.034187,-0.032424,-0.155541,-0.143287,0.126482,1.330702,1.823366,20730322.333333,21305233.400000,27749408.350000,0.663505,490.842010,485.366003,487.062004,-0.093256,5,False,False,False,True,-0.016286,challenger,5,-0.042381,-0.197087,0.733602,30.154978,1.595000,0.189059,undervalued,ok,Forward PEG uses Yahoo forwardPE divided by earningsGrowth percent.,weak,none,risk_on_growth,industry_flow_leads_leaders,inferred,reasonable_pullback,neutral,reasonable_pullback,falling_knife,avoid_for_now,18411867,ok,資料日期與本次市場日期一致。
AVGO,Broadcom Inc.,Semiconductors,2026-08-19,251,-0.077636,-0.128759,-0.133403,-0.086515,-0.062147,-0.116808,0.090868,0.254030,25902681.666667,24080429.000000,19554872.250000,1.778955,389.144000,404.857999,398.160501,-0.152609,3,False,False,False,True,-0.117266,core_leader,5,-0.089613,-0.246104,0.387897,18.558016,0.854000,0.217307,undervalued,ok,Forward PEG uses Yahoo forwardPE divided by earningsGrowth percent.,weak,none,risk_on_growth,industry_flow_leads_leaders,inferred,reasonable_pullback,reasonable_pullback,reasonable_pullback,falling_knife,avoid_for_now,34787245,ok,資料日期與本次市場日期一致。
TSM,Taiwan Semiconductor Manufacturing Co. Ltd.,Semiconductors,2026-08-19,251,-0.033447,-0.039753,-0.004614,-0.021652,-0.029486,0.052075,0.143430,0.822605,10635114.333333,9284808.600000,12326792.150000,0.681105,422.662000,422.123001,412.556500,-0.043808,6,False,False,False,False,0.011524,core_leader,5,-0.001131,-0.137111,0.740906,18.919466,0.774000,0.244438,undervalued,ok,Forward PEG uses Yahoo forwardPE divided by earningsGrowth percent.,weak,none,risk_on_growth,industry_flow_leads_leaders,inferred,neutral,neutral,neutral,sideways_base,not_eligible_industry,8395843,ok,資料日期與本次市場日期一致。
ASML,ASML Holding N.V.,Semiconductors,2026-08-19,251,-0.050079,-0.032231,0.043802,-0.026564,-0.026375,0.201828,0.196843,1.352624,1349755.333333,1243233.200000,1579108.300000,0.794477,1825.961987,1791.809985,1728.671167,-0.069773,6,False,False,False,False,0.059940,infrastructure_leader,5,0.013339,-0.118347,0.814231,29.410421,0.285000,1.031945,fair,ok,Forward PEG uses Yahoo forwardPE divided by earningsGrowth percent.,weak,none,risk_on_growth,industry_flow_leads_leaders,inferred,neutral,neutral,neutral,sideways_base,not_eligible_industry,1254566,ok,資料日期與本次市場日期一致。
MU,Micron Technology Inc.,Semiconductors,2026-08-19,251,-0.035563,0.028328,0.049166,-0.023320,-0.034728,0.341342,1.227445,7.007926,32143387.333333,32203192.400000,40866308.100000,0.628725,962.220996,921.095496,894.744751,-0.073778,5,False,False,False,False,0.065304,specialist,5,0.047343,-0.227686,0.748336,6.053245,13.685000,0.004423,undervalued,ok,Forward PEG uses Yahoo forwardPE divided by earningsGrowth percent.,weak,none,risk_on_growth,industry_flow_leads_leaders,inferred,neutral,neutral,neutral,strong_uptrend,not_eligible_industry,25693662,ok,資料日期與本次市場日期一致。
QCOM,Qualcomm Incorporated,Semiconductors,2026-08-19,251,-0.023403,-0.007114,0.027804,-0.078119,-0.066801,-0.169224,0.141800,0.063578,9371477.666667,8327746.600000,11426996.650000,0.706855,162.971997,163.102998,161.434499,-0.045693,7,False,False,False,False,0.043942,specialist,5,0.002945,-0.352609,0.302781,15.870496,-0.230000,,unavailable,invalid_growth,Yahoo Finance earningsGrowth is zero or negative.,weak,none,risk_on_growth,industry_flow_leads_leaders,inferred,neutral,reasonable_pullback,reasonable_pullback,sideways_base,not_eligible_industry,8077233,ok,資料日期與本次市場日期一致。
INTC,Intel Corporation,Semiconductors,2026-08-19,251,-0.094634,-0.080733,-0.081734,-0.095693,-0.119962,-0.162455,1.041355,2.942226,106471027.333333,106327636.400000,121590909.100000,0.895024,100.008000,99.767999,96.216499,-0.112471,5,False,False,False,True,-0.065596,challenger,5,-0.035508,-0.341564,0.590089,45.487300,,,unavailable,missing_growth,Yahoo Finance earningsGrowth is missing.,weak,none,risk_on_growth,industry_flow_leads_leaders,inferred,reasonable_pullback,neutral,reasonable_pullback,falling_knife,avoid_for_now,108826782,ok,資料日期與本次市場日期一致。
ARM,Arm Holdings plc,Semiconductors,2026-08-19,251,-0.107715,-0.082870,-0.091922,-0.120183,-0.139406,0.117365,0.959604,0.901037,4796171.666667,4257783.000000,5422295.750000,0.793836,266.435999,271.007999,263.225999,-0.130250,5,False,False,False,True,-0.075784,specialist,5,-0.052753,-0.432622,0.432325,81.530820,1.083000,0.752824,undervalued,ok,Forward PEG uses Yahoo forwardPE divided by earningsGrowth percent.,weak,none,risk_on_growth,industry_flow_leads_leaders,inferred,reasonable_pullback,reasonable_pullback,reasonable_pullback,falling_knife,avoid_for_now,4304415,ok,資料日期與本次市場日期一致。
AMAT,Applied Materials Inc.,Semiconductors,2026-08-19,251,-0.021708,-0.094828,-0.071260,-0.104257,-0.121123,0.220876,0.346890,2.105180,8258030.333333,10173938.200000,8000539.550000,0.817206,517.506000,525.003000,519.369501,-0.094828,4,False,False,False,True,-0.055122,infrastructure_leader,5,-0.044669,-0.313734,0.600260,27.052166,0.428000,0.632060,undervalued,ok,Forward PEG uses Yahoo forwardPE divided by earningsGrowth percent.,weak,none,risk_on_growth,industry_flow_leads_leaders,inferred,reasonable_pullback,neutral,reasonable_pullback,falling_knife,avoid_for_now,6538091,ok,資料日期與本次市場日期一致。
LRCX,Lam Research Corporation,Semiconductors,2026-08-19,251,-0.075791,-0.058078,-0.000813,-0.037959,-0.046056,0.124392,0.281830,2.115180,9552643.000000,8996365.800000,10767716.450000,0.923346,329.660004,320.934000,307.920497,-0.106648,5,False,False,False,True,0.015324,infrastructure_leader,5,-0.002437,-0.291141,0.625454,26.578375,0.348000,0.763746,undervalued,ok,Forward PEG uses Yahoo forwardPE divided by earningsGrowth percent.,weak,none,risk_on_growth,industry_flow_leads_leaders,inferred,neutral,neutral,neutral,falling_knife,avoid_for_now,9942329,ok,資料日期與本次市場日期一致。
KLAC,KLA Corporation,Semiconductors,2026-08-19,251,-0.079709,-0.099728,-0.027585,-0.126733,-0.138253,0.077122,0.268128,1.143348,10727617.666667,9616770.600000,11855682.650000,0.773794,200.088724,199.211279,195.884322,-0.104544,6,False,False,False,True,-0.011447,infrastructure_leader,5,-0.043977,-0.378603,0.475242,28.357744,0.138000,2.054909,expensive,ok,Forward PEG uses Yahoo forwardPE divided by earningsGrowth percent.,weak,none,risk_on_growth,industry_flow_leads_leaders,inferred,reasonable_pullback,neutral,reasonable_pullback,falling_knife,avoid_for_now,9173853,ok,資料日期與本次市場日期一致。
TXN,Texas Instruments Incorporated,Semiconductors,2026-08-19,251,-0.043386,-0.033045,-0.036980,-0.086239,-0.077173,-0.110782,0.209857,0.366619,6731709.000000,6057085.400000,7416126.350000,0.845432,275.121997,277.835995,277.354366,-0.065122,5,False,False,False,False,-0.020842,specialist,5,-0.035710,-0.190985,0.648835,25.704361,0.518000,0.496223,undervalued,ok,Forward PEG uses Yahoo forwardPE divided by earningsGrowth percent.,weak,none,risk_on_growth,industry_flow_leads_leaders,inferred,reasonable_pullback,neutral,reasonable_pullback,sideways_base,not_eligible_industry,6269827,ok,資料日期與本次市場日期一致。
ADI,Analog Devices Inc.,Semiconductors,2026-08-19,251,-0.041424,-0.029056,-0.011729,-0.034831,-0.024947,-0.096613,0.083969,0.544781,4922975.666667,3949765.400000,3967596.350000,1.478736,382.146008,383.163000,376.436002,-0.043610,4,False,False,False,False,0.004409,specialist,5,-0.008437,-0.162117,0.675247,24.780960,1.105000,0.224262,undervalued,ok,Forward PEG uses Yahoo forwardPE divided by earningsGrowth percent.,weak,none,risk_on_growth,industry_flow_leads_leaders,inferred,neutral,neutral,neutral,sideways_base,not_eligible_industry,5867027,ok,資料日期與本次市場日期一致。
