ticker,company_name,industry_group,latest_date,data_points,return_3d,return_5d,return_10d,return_20d,avg_volume_3d,avg_volume_5d,avg_volume_20d,relative_volume,ma_5d,ma_10d,ma_20d,max_drawdown_10d,up_days_10d,early_momentum_signal,confirmed_momentum_signal,strong_momentum_signal,risk_warning,relative_strength_vs_industry,leader_type,industry_quality_score,distance_from_20d_ma,distance_from_52w_high,position_in_52w_range,industry_regime,short_term_price_zone,long_term_price_zone,price_zone,current_state,watch_status,latest_volume,data_status,data_quality_note
ANET,Arista Networks Inc.,AI Infrastructure,2026-05-12,251,0.005573,-0.162613,-0.137637,-0.076634,17183860.000000,21086896.000000,11123664.000000,1.138031,141.909998,156.647998,162.535499,-0.210063,4,False,False,False,True,-0.218496,infrastructure_leader,5,-0.123022,-0.197997,0.615326,exhaustion,deep_pullback,neutral,deep_pullback,falling_knife,avoid_for_now,12659080,ok,資料日期與本次市場日期一致。
VRT,Vertiv Holdings Co.,AI Infrastructure,2026-05-12,251,0.079762,0.076564,0.203587,0.182345,5964072.333333,5786703.400000,5916230.850000,1.104084,354.790009,340.892001,325.810501,-0.052797,6,False,True,False,False,0.122727,infrastructure_leader,5,0.126821,-0.002147,0.997012,exhaustion,extended,very_extended,very_extended,overextended,not_eligible_industry,6532017,ok,資料日期與本次市場日期一致。
DELL,Dell Technologies Inc.,AI Infrastructure,2026-05-12,251,0.037651,0.104567,0.160297,0.299005,10061947.333333,8844268.400000,6565177.100000,0.990185,243.101999,226.825000,215.708562,-0.082623,6,True,True,False,True,0.079438,challenger,5,0.107698,-0.082623,0.860464,exhaustion,extended,extended,extended,overextended,not_eligible_industry,6500742,ok,資料日期與本次市場日期一致。
HPE,Hewlett Packard Enterprise Co.,AI Infrastructure,2026-05-12,251,0.017172,0.005659,0.080859,0.234573,13682755.333333,13925753.200000,13823988.300000,0.674839,30.500000,29.689000,28.579000,-0.036364,6,False,True,False,False,-0.000001,non_leader,5,0.057070,-0.036364,0.921360,exhaustion,neutral,very_extended,very_extended,overextended,not_eligible_industry,9328966,ok,資料日期與本次市場日期一致。
SMCI,Super Micro Computer Inc.,AI Infrastructure,2026-05-12,251,-0.024688,0.178225,0.203303,0.205515,41353595.000000,62570357.000000,38149039.250000,0.882997,33.992000,30.652000,29.406000,-0.072943,4,False,False,False,False,0.122443,challenger,5,0.115079,-0.459891,0.305127,exhaustion,extended,reasonable_pullback,extended,strong_uptrend,not_eligible_industry,33685485,ok,資料日期與本次市場日期一致。
ETN,Eaton Corporation plc,AI Infrastructure,2026-05-12,251,0.008743,-0.020008,-0.025251,0.001840,2997062.666667,3174177.600000,2894339.400000,0.994903,408.063745,413.715411,411.462285,-0.078197,4,False,False,False,False,-0.106110,infrastructure_leader,5,-0.024139,-0.070138,0.742998,exhaustion,neutral,neutral,neutral,sideways_base,not_eligible_industry,2879588,ok,資料日期與本次市場日期一致。
NVDA,NVIDIA Corporation,Semiconductors,2026-05-12,251,0.043877,0.123562,0.035699,0.123505,151675443.333333,162339406.000000,151885856.500000,1.039722,214.950000,207.700000,205.901500,-0.060932,6,True,True,False,False,-0.166962,core_leader,5,0.072260,0.000000,1.000000,exhaustion,neutral,very_extended,very_extended,overextended,not_eligible_industry,157919130,ok,資料日期與本次市場日期一致。
AMD,Advanced Micro Devices Inc.,Semiconductors,2026-05-12,251,0.097513,0.261865,0.386993,0.757518,47464792.333333,55002415.400000,48553768.850000,0.786223,438.424005,394.106003,346.485501,-0.052699,7,True,True,False,True,0.184332,challenger,5,0.293820,-0.022886,0.969869,exhaustion,very_extended,very_extended,very_extended,overextended,not_eligible_industry,38174077,ok,資料日期與本次市場日期一致。
AVGO,Broadcom Inc.,Semiconductors,2026-05-12,251,0.016337,-0.018860,0.048696,0.101161,19012886.000000,20107471.600000,19869852.900000,0.888369,423.145996,420.374997,414.533000,-0.034631,5,False,False,False,False,-0.153965,core_leader,5,0.011500,-0.024884,0.947350,exhaustion,neutral,very_extended,very_extended,overextended,not_eligible_industry,17651758,ok,資料日期與本次市場日期一致。
TSM,Taiwan Semiconductor Manufacturing Co. Ltd.,Semiconductors,2026-05-12,251,-0.040734,0.007277,0.012591,0.045776,17058463.333333,16462998.000000,15127494.500000,1.187519,409.429999,403.072998,392.193999,-0.052968,5,False,False,False,False,-0.190070,core_leader,5,0.012968,-0.052968,0.903427,exhaustion,neutral,extended,extended,strong_uptrend,not_eligible_industry,17964190,ok,資料日期與本次市場日期一致。
