industry_group,ticker_count,tickers_with_data,return_3d,return_5d,return_10d,return_20d,avg_volume_3d,avg_volume_5d,avg_volume_20d,relative_volume,ma_5d,ma_10d,ma_20d,max_drawdown_10d,up_days_10d,positive_5d_pct,positive_10d_pct,confirmed_signal_pct,strong_signal_pct,high_relative_volume_pct,breadth_score,rotation_score,momentum_persistence,momentum_acceleration,momentum_exhaustion_warning,industry_regime
AI Infrastructure,6,6,0.020702,0.030399,0.080860,0.141107,15207215.444444,19231359.266667,13078739.816667,0.964173,202.059625,199.736902,195.583641,-0.088831,5.000000,0.666667,0.666667,0.500000,0.000000,0.000000,0.425000,-4.000000,0,-0.026211,True,exhaustion
Adtech,6,6,-0.040677,-0.043129,0.020427,0.091078,6933539.722222,7496750.500000,5377035.958333,0.950962,111.049000,108.860500,107.602917,-0.081024,5.500000,0.500000,0.500000,0.333333,0.000000,0.000000,0.308333,-2.000000,0,-0.006423,False,neutral
Cloud Software,6,6,-0.020526,0.067654,0.114803,0.211991,9041311.555556,10318903.600000,10008800.900000,0.873461,170.653668,163.703835,159.579917,-0.051567,5.166667,0.500000,0.500000,0.333333,0.166667,0.166667,0.358333,7.000000,0,-0.006361,True,exhaustion
Consumer Platforms,6,6,-0.029128,-0.016314,-0.018653,-0.036847,14318454.722222,16366422.833333,15226755.708333,0.918053,151.972333,153.875500,162.608042,-0.072789,4.833333,0.333333,0.333333,0.166667,0.000000,0.000000,0.191667,-1.000000,0,0.013625,False,weak
Cybersecurity,6,6,0.023541,0.105796,0.143281,0.292086,4776132.055556,5177999.233333,4149718.975000,0.909711,179.908668,170.299167,162.526334,-0.031577,6.000000,0.833333,1.000000,0.500000,0.333333,0.333333,0.641667,6.000000,0,-0.016610,True,exhaustion
Defense,7,7,0.014486,0.004492,-0.019999,-0.127912,1763682.523810,1891689.514286,1913421.664286,0.840977,334.929144,340.071714,352.497786,-0.065354,4.428571,0.571429,0.428571,0.000000,0.000000,0.285714,0.250000,0.000000,0,0.049324,False,early_recovery
Defense Drones,5,5,0.024789,0.012175,-0.067241,-0.117351,10994680.533333,11906756.320000,13932363.080000,0.924854,50.532399,52.199800,55.746050,-0.109481,4.200000,0.600000,0.200000,0.000000,0.000000,0.200000,0.190000,0.000000,0,0.028448,False,early_recovery
Defensive Healthcare,6,6,0.014073,0.011166,0.011506,-0.004842,12094561.055556,12787666.633333,13063529.991667,0.902640,170.178973,170.084751,168.288182,-0.037286,5.000000,0.333333,0.500000,0.166667,0.000000,0.000000,0.233333,-1.000000,0,0.022484,False,neutral
Defensive Staples,6,6,-0.001508,0.001518,0.005259,0.028905,8453132.722222,8605826.300000,8802058.241667,1.015061,267.130139,267.469233,265.915054,-0.028543,5.666667,0.500000,0.666667,0.166667,0.000000,0.166667,0.325000,-7.000000,0,0.008880,False,neutral
Energy Storage,5,5,0.050858,0.097118,0.161435,0.136179,7641316.666667,7903326.000000,4610215.500000,0.880792,75.206800,73.324200,68.214950,-0.107782,6.000000,0.600000,0.600000,0.400000,0.200000,0.200000,0.430000,4.000000,2,-0.136241,True,exhaustion
Fintech,6,6,0.013103,0.004598,-0.020350,0.035507,21747464.555556,21065812.066667,23305273.016667,1.006807,80.208334,79.197750,80.495917,-0.054969,4.833333,0.500000,0.500000,0.166667,0.000000,0.166667,0.283333,0.000000,0,-0.000186,False,neutral
Market ETFs,6,6,0.008019,0.017315,0.038260,0.064586,20950743.388889,21505666.033333,21690639.841667,1.109009,543.499331,536.360666,528.714319,-0.008410,6.166667,1.000000,1.000000,1.000000,0.000000,0.166667,0.716667,-3.000000,0,-0.014116,False,momentum_leader
Nuclear,8,8,-0.018649,0.022762,0.019611,0.077156,10280805.583333,10806950.850000,10163942.712500,0.991812,115.086750,114.459625,113.914907,-0.090377,3.875000,0.625000,0.625000,0.000000,0.000000,0.125000,0.293750,-7.000000,0,-0.037511,False,neutral
Renewables,5,5,0.030353,0.025550,0.074238,0.100796,2837969.533333,2994173.720000,2801638.430000,1.283623,309.552397,307.074595,302.087998,-0.042100,5.600000,0.600000,0.800000,0.400000,0.400000,0.400000,0.540000,-4.000000,0,-0.054456,False,momentum_leader
Robotics Automation,6,6,-0.009575,0.010534,0.037771,0.030595,2372699.833333,2662513.233333,2049493.308333,1.195971,268.168000,262.534166,265.162250,-0.070029,5.333333,0.666667,0.500000,0.166667,0.000000,0.166667,0.316667,0.000000,0,-0.027386,False,neutral
Semiconductors,11,11,0.045776,0.087593,0.202661,0.353313,51486401.272727,51133951.672727,44594890.645455,1.070569,457.106001,432.716886,409.650423,-0.058646,6.000000,0.818182,1.000000,0.636364,0.181818,0.272727,0.636364,-1.000000,5,-0.094346,True,exhaustion
Space,11,11,0.186954,0.173581,0.217418,0.153832,17346885.575758,14455284.072727,11239390.109091,1.073409,39.154727,37.022364,36.910114,-0.097717,5.454545,1.000000,1.000000,0.545455,0.181818,0.363636,0.659091,13.000000,2,-0.032375,False,momentum_leader
