ticker,company_name,industry_group,latest_date,data_points,return_3d,return_5d,return_10d,return_20d,return_1m,return_3m,return_6m,return_1y,avg_volume_3d,avg_volume_5d,avg_volume_20d,relative_volume,ma_5d,ma_10d,ma_20d,max_drawdown_10d,up_days_10d,early_momentum_signal,confirmed_momentum_signal,strong_momentum_signal,risk_warning,relative_strength_vs_industry,leader_type,industry_quality_score,distance_from_20d_ma,distance_from_52w_high,position_in_52w_range,forward_pe,earnings_growth,peg_ratio,peg_rating,peg_status,peg_note,industry_regime,industry_risk_flag,rotation_type,causal_hypothesis,evidence_status,short_term_price_zone,long_term_price_zone,price_zone,current_state,watch_status,latest_volume,data_status,data_quality_note
ANET,Arista Networks Inc.,AI Infrastructure,2026-08-05,251,0.094039,0.249035,0.128324,0.089809,0.185330,0.159147,0.415525,0.421747,14208118.000000,11676270.800000,8112562.700000,2.488887,184.816000,177.312001,176.819001,-0.105543,6,True,True,True,True,0.085546,infrastructure_leader,5,0.115887,0.000000,1.000000,44.165737,0.250000,1.766629,fair,ok,Forward PEG uses Yahoo forwardPE divided by earningsGrowth percent.,neutral,none,risk_on_growth,industry_flow_leads_leaders,inferred,extended,very_extended,very_extended,overextended,not_eligible_industry,20191254,ok,資料日期與本次市場日期一致。
VRT,Vertiv Holdings Co.,AI Infrastructure,2026-08-05,251,0.150557,0.246144,-0.077102,-0.125452,-0.090451,-0.184805,0.462340,0.991028,7080483.333333,9319810.000000,6346112.500000,0.933115,255.997998,265.458998,284.619498,-0.266412,6,True,False,False,True,-0.119880,infrastructure_leader,5,-0.023468,-0.261096,0.614047,30.551722,0.530000,0.576448,undervalued,ok,Forward PEG uses Yahoo forwardPE divided by earningsGrowth percent.,neutral,none,risk_on_growth,industry_flow_leads_leaders,inferred,neutral,neutral,neutral,early_recovery,avoid_for_now,5921650,ok,資料日期與本次市場日期一致。
DELL,Dell Technologies Inc.,AI Infrastructure,2026-08-05,251,0.141426,0.251758,0.047307,0.072909,0.110680,1.142495,2.968405,2.656908,6237171.333333,5951822.800000,6454150.700000,0.974569,433.833997,423.466000,421.359993,-0.158647,4,True,False,False,True,0.004529,challenger,5,0.098111,-0.009780,0.987189,21.175630,2.825000,0.074958,undervalued,ok,Forward PEG uses Yahoo forwardPE divided by earningsGrowth percent.,neutral,none,risk_on_growth,industry_flow_leads_leaders,inferred,extended,very_extended,very_extended,overextended,not_eligible_industry,6290014,ok,資料日期與本次市場日期一致。
HPE,Hewlett Packard Enterprise Co.,AI Infrastructure,2026-08-05,251,0.111065,0.197570,0.105755,0.191404,0.224293,0.776821,1.466477,1.698885,19240258.000000,19050014.800000,17453988.700000,0.860077,50.178001,48.444000,47.832000,-0.077817,7,True,True,False,False,0.062977,non_leader,5,0.112644,-0.049409,0.923735,13.265767,,,unavailable,missing_growth,Yahoo Finance earningsGrowth is missing.,neutral,none,risk_on_growth,industry_flow_leads_leaders,inferred,extended,very_extended,very_extended,overextended,not_eligible_industry,15011774,ok,資料日期與本次市場日期一致。
SMCI,Super Micro Computer Inc.,AI Infrastructure,2026-08-05,251,0.067606,0.179766,-0.007853,0.076322,0.155048,0.089472,0.021908,-0.351998,38068374.333333,37541224.600000,43711456.150000,0.773015,29.356000,29.204000,27.977000,-0.176282,5,True,False,False,True,-0.050631,challenger,5,0.083747,-0.483299,0.256619,9.155723,3.260000,0.028085,undervalued,ok,Forward PEG uses Yahoo forwardPE divided by earningsGrowth percent.,neutral,none,risk_on_growth,industry_flow_leads_leaders,inferred,extended,reasonable_pullback,extended,overextended,avoid_for_now,33789623,ok,資料日期與本次市場日期一致。
ETN,Eaton Corporation plc,AI Infrastructure,2026-08-05,251,0.077264,0.235990,0.099211,0.119431,0.130408,0.091652,0.241041,0.263320,2946940.000000,3457764.000000,2507456.000000,0.868259,426.474005,409.835007,407.511002,-0.128273,6,True,True,False,True,0.056433,infrastructure_leader,5,0.097590,0.000000,1.000000,27.959665,-0.159000,,unavailable,invalid_growth,Yahoo Finance earningsGrowth is zero or negative.,neutral,none,risk_on_growth,industry_flow_leads_leaders,inferred,extended,very_extended,very_extended,overextended,not_eligible_industry,2177120,ok,資料日期與本次市場日期一致。
NBIS,Nebius Group N.V.,AI Infrastructure,2026-08-05,251,0.150097,0.477466,0.003805,0.011595,0.121932,0.244827,1.434575,2.975132,21710258.666667,26627315.200000,22263393.800000,0.680210,207.230002,195.068002,197.891000,-0.329230,6,True,True,False,True,-0.038973,emerging_leader,4,0.106619,-0.236144,0.707686,-101.317190,,,unavailable,missing_pe,Yahoo Finance forwardPE is missing or not positive.,neutral,none,risk_on_growth,industry_flow_leads_leaders,inferred,extended,neutral,extended,overextended,not_eligible_industry,15143776,ok,資料日期與本次市場日期一致。
NVDA,NVIDIA Corporation,Semiconductors,2026-08-05,251,0.092005,0.153729,0.033764,0.073976,0.113187,0.116924,0.217075,0.223453,139902358.333333,137735695.000000,130175673.750000,1.201286,206.717999,203.271997,205.356498,-0.089816,6,True,True,True,True,0.090119,core_leader,5,0.067509,-0.068993,0.769527,17.006414,2.145000,0.079284,undervalued,ok,Forward PEG uses Yahoo forwardPE divided by earningsGrowth percent.,early_recovery,none,risk_on_growth,industry_flow_leads_leaders,inferred,neutral,neutral,neutral,early_recovery,avoid_for_now,156378175,ok,資料日期與本次市場日期一致。
AMD,Advanced Micro Devices Inc.,Semiconductors,2026-08-05,251,0.012391,0.122195,-0.127243,-0.068340,-0.065994,0.356893,0.991037,1.955186,40107036.333333,36774681.800000,29735615.450000,1.595232,489.362006,488.758005,510.044005,-0.204062,3,True,False,False,True,-0.070888,challenger,5,-0.054885,-0.170181,0.769970,32.169285,0.912000,0.352733,undervalued,ok,Forward PEG uses Yahoo forwardPE divided by earningsGrowth percent.,early_recovery,none,risk_on_growth,industry_flow_leads_leaders,inferred,reasonable_pullback,neutral,reasonable_pullback,early_recovery,avoid_for_now,47435209,ok,資料日期與本次市場日期一致。
AVGO,Broadcom Inc.,Semiconductors,2026-08-05,251,0.074497,0.129510,0.054107,0.076127,0.128108,-0.019698,0.310589,0.396708,20863304.333333,21324142.600000,19704405.650000,0.797315,401.158002,391.463004,389.495000,-0.056437,6,True,True,False,False,0.110461,core_leader,5,0.073903,-0.130050,0.676544,21.459103,0.854000,0.251278,undervalued,ok,Forward PEG uses Yahoo forwardPE divided by earningsGrowth percent.,early_recovery,none,risk_on_growth,industry_flow_leads_leaders,inferred,neutral,neutral,neutral,early_recovery,research_candidate,15710613,ok,資料日期與本次市場日期一致。
