industry_group,ticker_count,tickers_with_data,return_3d,return_5d,return_10d,return_20d,return_1m,return_3m,return_6m,return_1y,avg_volume_3d,avg_volume_5d,avg_volume_20d,relative_volume,ma_5d,ma_10d,ma_20d,max_drawdown_10d,up_days_10d,positive_5d_pct,positive_10d_pct,confirmed_signal_pct,strong_signal_pct,high_relative_volume_pct,breadth_score,rotation_score,momentum_persistence,momentum_acceleration,momentum_exhaustion_warning,industry_regime,industry_risk_flag,rotation_type,causal_hypothesis,evidence_status
AI Infrastructure,7,7,0.113151,0.262533,0.042778,0.062288,0.119606,0.331373,1.001467,1.236432,15641657.666667,16232031.742857,15264160.078571,1.082590,226.840857,221.255430,223.429928,-0.177458,5.714286,1.000000,0.714286,0.571429,0.142857,0.142857,0.564286,-2.000000,0,0.111037,False,neutral,none,risk_on_growth,industry_flow_leads_leaders,inferred
Adtech,6,6,0.054791,0.028343,0.069503,-0.005906,-0.018297,0.115112,0.368001,-0.023848,5542222.666667,5768990.266667,4689698.400000,1.190596,102.992666,102.169000,105.761917,-0.035419,6.166667,0.833333,1.000000,0.666667,0.000000,0.500000,0.633333,6.000000,0,-0.007688,False,momentum_leader,none,unclear,unclear,needs_review
Cloud Software,8,8,0.072469,0.111380,0.208258,0.141355,0.126488,0.399016,0.315996,0.105282,16541602.291667,18822793.875000,16217700.968750,0.801471,252.394125,236.327438,230.498531,-0.030607,6.875000,1.000000,1.000000,1.000000,0.000000,0.125000,0.712500,1.000000,5,-0.039159,False,momentum_leader,none,unclear,unclear,needs_review
Consumer Hardware,1,1,0.006766,-0.080399,-0.045690,-0.007626,0.001094,0.095385,0.156219,0.464168,62461326.000000,78938175.600000,56166233.900000,0.789282,313.228003,323.600000,323.721500,-0.107798,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-8.000000,0,0.009874,False,weak,none,unclear,unclear,needs_review
Consumer Platforms,9,9,0.009278,0.021527,0.052485,0.021867,0.005069,0.024459,0.031555,-0.052086,24323414.111111,26295615.133333,21009573.227778,1.278433,246.156224,242.074111,245.413444,-0.052808,5.333333,0.555556,0.777778,0.333333,0.222222,0.444444,0.477778,3.000000,0,-0.018153,True,neutral,momentum_exhaustion,unclear,unclear,needs_review
Cybersecurity,6,6,0.068996,0.110726,0.093765,0.052543,0.024439,0.717571,0.780548,0.486012,4856696.888889,5202631.466667,4808134.533333,0.809373,173.832333,167.689500,169.967583,-0.027751,6.166667,1.000000,1.000000,0.500000,0.000000,0.000000,0.575000,10.000000,0,-0.012551,False,neutral,none,unclear,unclear,needs_review
Defense,7,7,0.022385,0.043063,0.098004,0.077068,0.065825,0.056629,-0.120602,0.144055,1827812.761905,1870436.228571,1728198.342857,0.918782,350.421424,348.278854,336.743141,-0.046269,7.285714,0.857143,1.000000,0.714286,0.142857,0.142857,0.642857,-5.000000,0,0.027120,True,momentum_leader,momentum_exhaustion,unclear,unclear,needs_review
Defense Drones,5,5,0.140026,0.234928,0.099942,0.039548,0.035103,-0.084899,-0.391518,0.203676,19431717.666667,17204750.600000,24687639.650000,1.204108,45.781200,44.824600,43.730800,-0.132535,6.000000,1.000000,1.000000,0.600000,0.400000,0.400000,0.720000,3.000000,0,0.127508,False,momentum_leader,none,unclear,unclear,needs_review
Defensive Healthcare,6,6,0.001103,-0.020080,0.008583,0.014644,0.002372,0.126568,0.117506,0.397063,13440606.722222,13358234.033333,12432591.008333,0.807406,193.143666,195.478667,194.545305,-0.039756,5.833333,0.166667,0.666667,0.166667,0.000000,0.000000,0.241667,-9.000000,0,0.012912,False,neutral,none,defensive_rotation,defensive_rotation,inferred
Defensive Staples,6,6,0.003877,-0.017493,0.022351,0.000508,-0.008553,-0.014287,-0.027445,0.083679,10914389.722222,11081943.833333,10443920.125000,0.849466,254.243333,254.242517,251.885846,-0.032744,5.666667,0.166667,0.833333,0.000000,0.000000,0.000000,0.241667,-1.000000,0,-0.003031,False,neutral,none,defensive_rotation,defensive_rotation,inferred
Electric Vehicles,1,1,0.033225,0.077869,-0.140264,-0.184008,-0.201911,-0.174179,-0.237961,0.005126,33035337.000000,34748402.200000,39662190.550000,0.693515,318.207996,313.873999,351.642999,-0.066846,4.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.200000,0.000000,0,0.013108,False,early_recovery,none,unclear,unclear,needs_review
Energy Storage,5,5,0.011795,0.092267,-0.070695,-0.152628,-0.169085,-0.133033,-0.157361,0.182224,5266044.933333,4445810.960000,3325185.740000,2.176663,61.278401,60.415400,64.065100,-0.162954,4.400000,0.800000,0.200000,0.000000,0.000000,0.600000,0.270000,0.000000,0,-0.077392,False,early_recovery,none,unclear,unclear,needs_review
Fintech,6,6,0.060367,0.050430,0.008645,0.025599,0.009977,0.118061,0.148682,-0.135725,18516124.055556,19715844.433333,23370796.108333,0.824778,79.182333,79.819500,81.547541,-0.075913,4.833333,0.666667,0.666667,0.166667,0.166667,0.166667,0.391667,1.000000,0,0.029727,False,neutral,none,unclear,unclear,needs_review
Market ETFs,8,8,0.036845,0.066023,0.024764,0.023203,0.021306,0.071212,0.174692,0.328135,18066112.041667,19323657.650000,16584726.900000,0.983905,450.387497,444.478624,446.231723,-0.030297,6.125000,1.000000,1.000000,0.625000,0.250000,0.250000,0.681250,2.000000,0,0.019583,False,momentum_leader,none,unclear,unclear,needs_review
Nuclear,8,8,0.071390,0.136509,0.013510,0.014645,0.013967,-0.201975,-0.299506,-0.272603,7471528.041667,8007049.325000,7645545.456250,0.865679,95.626500,94.917375,94.255906,-0.110707,4.375000,0.875000,0.625000,0.125000,0.000000,0.000000,0.362500,-10.000000,0,0.052624,False,neutral,none,policy_driven,policy_or_thematic_support,inferred
Quantum Computing,1,1,0.095774,0.248203,0.151384,-0.114241,-0.119709,-0.168125,0.037952,-0.031530,22926918.333333,22092831.000000,20155872.750000,0.992259,38.542000,36.141000,36.951500,-0.109410,5.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.450000,2.000000,3,0.016798,False,momentum_leader,none,unclear,unclear,needs_review
Renewables,5,5,0.069126,0.121591,0.006414,-0.062546,-0.071116,-0.128265,-0.123093,0.356483,3826057.666667,3663054.600000,3202670.650000,1.012245,285.577801,281.256200,289.827150,-0.107156,5.200000,1.000000,0.400000,0.000000,0.000000,0.400000,0.340000,2.000000,0,0.019706,False,neutral,none,unclear,unclear,needs_review
Robotics Automation,6,6,0.079775,0.156904,0.128008,0.099501,0.099015,0.096295,0.226788,0.596658,2433022.666667,2321206.933333,2166620.066667,1.227683,273.988666,263.957834,262.194833,-0.064561,6.000000,0.833333,0.833333,0.500000,0.166667,0.666667,0.600000,2.000000,1,0.019559,False,momentum_leader,none,unclear,unclear,needs_review
Semiconductors,18,18,0.053675,0.125395,-0.056355,-0.072836,-0.054940,0.067257,0.552213,1.478563,26333708.592593,27597232.933333,26153136.566667,0.859708,376.847778,376.500339,390.654496,-0.157024,3.833333,0.888889,0.166667,0.111111,0.055556,0.166667,0.275000,-2.000000,0,0.043621,False,early_recovery,none,risk_on_growth,industry_flow_leads_leaders,inferred
Space,11,11,0.141163,0.240600,0.098797,-0.056345,-0.062320,-0.068634,0.167565,0.681978,8422099.151515,7855101.309091,7895916.236364,1.017609,31.818091,30.512591,31.125091,-0.110988,5.636364,1.000000,0.818182,0.454545,0.090909,0.181818,0.554545,5.000000,0,0.063331,False,momentum_leader,none,unclear,unclear,needs_review
Telecom Infrastructure,1,1,0.048140,0.139120,-0.068093,-0.198326,-0.191561,-0.286140,0.431988,1.325243,75266562.333333,84899577.400000,100907604.350000,0.648097,9.418000,9.254000,10.200500,-0.135663,5.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.200000,0.000000,0,0.028258,False,early_recovery,none,unclear,unclear,needs_review
