industry_group,ticker_count,tickers_with_data,return_3d,return_5d,return_10d,return_20d,return_1m,return_3m,return_6m,return_1y,avg_volume_3d,avg_volume_5d,avg_volume_20d,relative_volume,ma_5d,ma_10d,ma_20d,max_drawdown_10d,up_days_10d,positive_5d_pct,positive_10d_pct,confirmed_signal_pct,strong_signal_pct,high_relative_volume_pct,breadth_score,rotation_score,momentum_persistence,momentum_acceleration,momentum_exhaustion_warning,industry_regime,industry_risk_flag,rotation_type,causal_hypothesis,evidence_status
AI Infrastructure,7,7,0.020363,0.022910,-0.070881,0.288684,0.175470,0.169559,0.895141,1.097088,11351719.238095,12155357.257143,16892900.742857,0.699393,231.150573,240.267429,236.467403,-0.133956,3.714286,0.714286,0.000000,0.000000,0.000000,0.000000,0.142857,-8.000000,0,0.062902,False,early_recovery,none,risk_on_growth,industry_flow_leads_leaders,inferred
Adtech,6,6,-0.002048,-0.014225,-0.011289,0.020859,0.023999,0.154230,0.464290,0.033230,3838795.555556,3970867.333333,8139783.500000,0.611711,88.505332,89.027000,93.128000,-0.050379,5.166667,0.333333,0.500000,0.166667,0.000000,0.000000,0.233333,0.000000,0,-0.004487,False,weak,none,unclear,unclear,needs_review
Cloud Software,8,8,-0.023001,-0.015346,-0.004801,0.136578,0.168910,0.264722,0.398959,0.083654,8531193.083333,8851513.350000,13283682.087500,0.748222,265.971498,269.154849,264.160984,-0.083354,4.375000,0.250000,0.500000,0.125000,0.000000,0.000000,0.206250,-5.000000,0,-0.012921,False,weak,none,unclear,unclear,needs_review
Consumer Hardware,1,1,0.013254,-0.010668,0.037055,-0.072355,-0.077510,0.009234,0.145058,0.364952,31371647.666667,36390188.600000,49847592.150000,0.673484,310.867999,309.797998,310.169565,-0.023609,6.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.250000,7.000000,0,-0.010249,False,momentum_leader,none,unclear,unclear,needs_review
Consumer Platforms,9,9,0.017382,0.017808,0.044945,0.090384,0.092250,0.105681,0.175923,-0.010799,13701534.185185,13770593.844444,18028717.350000,0.858979,256.339780,253.989334,251.610028,-0.034987,5.888889,0.666667,0.666667,0.444444,0.000000,0.111111,0.422222,1.000000,0,-0.027909,False,momentum_leader,none,unclear,unclear,needs_review
Cybersecurity,6,6,-0.021538,-0.043220,-0.084668,0.053590,0.056287,0.332579,0.861479,0.464146,4217384.666667,4174230.800000,4341946.033333,1.214957,171.940831,179.229749,179.445374,-0.142114,3.833333,0.166667,0.000000,0.000000,0.000000,0.333333,0.066667,2.000000,0,0.045382,False,weak,none,unclear,unclear,needs_review
Defense,7,7,-0.006071,-0.045948,-0.057264,0.022138,-0.009993,0.035064,-0.120241,0.083441,1361338.619048,1472374.600000,1557488.650000,0.783706,344.127430,353.641001,355.047387,-0.082729,3.571429,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,0,0.022725,False,weak,none,unclear,unclear,needs_review
Defense Drones,5,5,-0.063318,-0.094766,-0.150852,0.182470,0.066613,-0.203163,-0.354888,-0.013457,11634673.866667,13165344.320000,17668521.080000,0.624488,45.766800,49.754900,49.956050,-0.171180,3.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-7.000000,0,0.011675,False,weak,none,unclear,unclear,needs_review
Defensive Healthcare,6,6,0.003626,-0.000269,0.054505,0.054114,0.048785,0.175945,0.172867,0.390263,10350057.333333,11038581.066667,12208670.266667,0.860912,200.176386,197.864793,195.371803,-0.024798,5.666667,0.500000,0.833333,0.333333,0.000000,0.000000,0.391667,0.000000,2,-0.039657,True,momentum_leader,momentum_exhaustion,defensive_rotation,defensive_rotation,inferred
Defensive Staples,6,6,0.001300,-0.012366,-0.003993,-0.020571,-0.017256,-0.012593,-0.057503,0.087215,10939863.500000,13556821.433333,10683466.191667,0.922577,254.788400,255.545151,254.879980,-0.036115,5.166667,0.333333,0.666667,0.166667,0.000000,0.000000,0.275000,7.000000,0,-0.008157,False,momentum_leader,none,defensive_rotation,defensive_rotation,inferred
