ticker,company_name,industry_group,latest_date,data_points,return_3d,return_5d,return_10d,return_20d,avg_volume_3d,avg_volume_5d,avg_volume_20d,relative_volume,ma_5d,ma_10d,ma_20d,max_drawdown_10d,up_days_10d,early_momentum_signal,confirmed_momentum_signal,strong_momentum_signal,risk_warning,relative_strength_vs_industry,leader_type,industry_quality_score,distance_from_20d_ma,distance_from_52w_high,position_in_52w_range,industry_regime,short_term_price_zone,long_term_price_zone,price_zone,current_state,watch_status,latest_volume,data_status,data_quality_note
ARM,Arm Holdings plc,Semiconductors,2026-05-15,251,0.005964,-0.019271,-0.009565,0.254483,9096952.333333,9135991.400000,11657967.850000,0.869273,215.888000,215.542000,208.986001,-0.123810,4,False,False,False,True,-0.114308,specialist,5,0.000833,-0.118584,0.788023,exhaustion,neutral,neutral,neutral,falling_knife,avoid_for_now,10133957,ok,資料日期與本次市場日期一致。
AMAT,Applied Materials Inc.,Semiconductors,2026-05-15,251,0.012570,0.002710,0.122186,0.099965,11839225.666667,10632215.400000,7275803.850000,1.751295,437.721997,426.551001,411.400998,-0.041949,7,False,True,True,False,0.017443,infrastructure_leader,5,0.061300,-0.015779,0.975683,exhaustion,neutral,very_extended,very_extended,overextended,not_eligible_industry,12742077,ok,資料日期與本次市場日期一致。
TXN,Texas Instruments Incorporated,Semiconductors,2026-05-15,251,0.025612,0.051876,0.082728,0.323941,6628675.333333,7132865.200000,9015236.300000,0.728958,302.034009,293.312003,277.409138,-0.017653,6,True,True,False,False,-0.022015,specialist,5,0.091276,-0.017653,0.965263,exhaustion,extended,very_extended,very_extended,overextended,not_eligible_industry,6571726,ok,資料日期與本次市場日期一致。
AVAV,AeroVironment Inc.,Defense Drones,2026-05-15,251,-0.064314,-0.061144,-0.145807,-0.174590,1088605.666667,1173143.400000,1181290.850000,0.786019,163.914001,167.735999,182.226000,-0.123488,4,False,False,False,True,-0.060498,core_leader,3,-0.132945,-0.614474,0.000000,weak,deep_pullback,deep_pullback,deep_pullback,falling_knife,avoid_for_now,928517,ok,資料日期與本次市場日期一致。
KTOS,Kratos Defense & Security Solutions Inc.,Defense Drones,2026-05-15,251,-0.091401,-0.100190,-0.160516,-0.266235,6331691.333333,6030734.800000,4435273.700000,0.907514,54.750001,57.140001,60.732500,-0.158889,4,False,False,False,True,-0.075207,challenger,3,-0.142304,-0.601515,0.184251,weak,deep_pullback,deep_pullback,deep_pullback,falling_knife,avoid_for_now,4025074,ok,資料日期與本次市場日期一致。
RCAT,Red Cat Holdings Inc.,Defense Drones,2026-05-15,251,-0.139619,-0.084860,-0.154942,-0.253931,19962435.000000,15855661.000000,11257165.250000,0.787614,10.182000,10.369000,11.189750,-0.164444,4,False,False,False,True,-0.069633,emerging_leader,3,-0.151902,-0.453341,0.310254,weak,deep_pullback,reasonable_pullback,deep_pullback,falling_knife,avoid_for_now,8866305,ok,資料日期與本次市場日期一致。
ONDS,Ondas Holdings Inc.,Defense Drones,2026-05-15,251,0.174779,0.172185,0.029070,0.062000,144732595.333333,103190697.200000,66686544.300000,2.090104,9.830000,9.550000,10.026500,-0.089414,4,True,False,False,True,0.114379,non_leader,3,0.059193,-0.241970,0.742107,weak,neutral,neutral,neutral,early_recovery,not_eligible_industry,139381786,ok,資料日期與本次市場日期一致。
DPRO,Draganfly Inc.,Defense Drones,2026-05-15,251,-0.009276,-0.025547,0.005650,-0.101010,1188321.000000,1430072.600000,1392943.150000,0.623402,5.442000,5.355000,5.535000,-0.051510,4,False,False,False,False,0.090959,non_leader,3,-0.035230,-0.612200,0.301574,weak,reasonable_pullback,reasonable_pullback,reasonable_pullback,sideways_base,not_eligible_industry,868363,ok,資料日期與本次市場日期一致。
RTX,RTX Corporation,Defense,2026-05-15,251,-0.043099,-0.027883,-0.016150,-0.128500,6542084.666667,6351050.800000,6288207.700000,1.122825,176.493997,175.784998,177.359499,-0.043099,4,False,False,False,False,0.039479,core_leader,4,-0.034842,-0.193156,0.496211,weak,reasonable_pullback,neutral,reasonable_pullback,sideways_base,not_eligible_industry,7060554,ok,資料日期與本次市場日期一致。
LHX,L3Harris Technologies Inc.,Defense,2026-05-15,251,-0.019646,0.012515,-0.031847,-0.134037,1031833.666667,1152240.200000,1600895.050000,0.795056,305.552002,304.205002,315.548500,-0.029097,3,False,False,False,False,0.023783,specialist,4,-0.038531,-0.195607,0.510908,weak,reasonable_pullback,neutral,reasonable_pullback,sideways_base,not_eligible_industry,1272801,ok,資料日期與本次市場日期一致。
NOC,Northrop Grumman Corporation,Defense,2026-05-15,251,-0.031542,-0.016069,-0.048316,-0.187250,580119.000000,618531.400000,836607.850000,0.774146,549.530005,553.464001,571.413498,-0.046402,2,False,False,False,False,0.007314,core_leader,4,-0.053768,-0.295995,0.253066,weak,reasonable_pullback,reasonable_pullback,reasonable_pullback,sideways_base,not_eligible_industry,647657,ok,資料日期與本次市場日期一致。
LMT,Lockheed Martin Corporation,Defense,2026-05-15,251,-0.009578,0.018756,0.006319,-0.128641,992925.000000,1101075.000000,1663828.750000,0.779873,517.921997,514.987000,523.397998,-0.022465,5,False,False,False,False,0.061949,core_leader,4,-0.014115,-0.237461,0.413816,weak,neutral,reasonable_pullback,reasonable_pullback,strong_uptrend,not_eligible_industry,1297575,ok,資料日期與本次市場日期一致。
GD,General Dynamics Corporation,Defense,2026-05-15,251,-0.034521,-0.034716,-0.032790,-0.005323,1031686.000000,1216051.600000,1561222.900000,0.791916,341.393994,344.676996,335.608496,-0.041986,4,False,False,False,False,0.022840,core_leader,4,-0.003303,-0.085269,0.678476,weak,neutral,neutral,neutral,sideways_base,not_eligible_industry,1236358,ok,資料日期與本次市場日期一致。
HII,Huntington Ingalls Industries Inc.,Defense,2026-05-15,251,-0.022155,0.031270,-0.095480,-0.173856,434430.000000,588338.000000,615129.500000,0.710078,329.730005,328.869003,348.113004,-0.133886,6,False,False,False,True,-0.039850,specialist,4,-0.063034,-0.281136,0.455901,weak,reasonable_pullback,neutral,reasonable_pullback,sideways_base,avoid_for_now,436790,ok,資料日期與本次市場日期一致。
LDOS,Leidos Holdings Inc.,Defense,2026-05-15,251,-0.036607,-0.049343,-0.171145,-0.202874,1255792.666667,1593055.600000,1290783.900000,0.920509,125.896001,131.174999,139.944500,-0.168806,2,False,False,False,True,-0.115515,non_leader,4,-0.116150,-0.377207,0.000000,weak,reasonable_pullback,deep_pullback,deep_pullback,falling_knife,avoid_for_now,1188178,ok,資料日期與本次市場日期一致。
RKLB,Rocket Lab USA Inc.,Space,2026-05-15,251,0.061330,0.182990,0.583175,0.471344,24740667.000000,32639380.200000,26363035.050000,0.846280,123.275999,104.415000,93.689500,-0.071707,7,False,True,False,True,0.359213,emerging_leader,3,0.331739,-0.058695,0.927547,momentum_leader,very_extended,very_extended,very_extended,overextended,too_extended,22310501,ok,資料日期與本次市場日期一致。
LUNR,Intuitive Machines Inc.,Space,2026-05-15,251,0.056092,0.169831,0.322795,0.228789,16442991.333333,15207394.800000,12367498.700000,1.098919,34.120000,30.016000,28.253500,-0.084314,5,True,False,False,True,0.098833,emerging_leader,3,0.199497,-0.072015,0.907622,momentum_leader,very_extended,extended,very_extended,overextended,too_extended,13590874,ok,資料日期與本次市場日期一致。
ASTS,AST SpaceMobile Inc.,Space,2026-05-15,251,0.146793,0.114857,0.180279,-0.021747,21261288.666667,27264973.200000,20512973.300000,1.051972,79.400000,74.038000,75.246000,-0.116172,6,True,True,False,True,-0.043682,emerging_leader,3,0.111953,-0.314686,0.611998,momentum_leader,extended,neutral,extended,overextended,too_extended,21579066,ok,資料日期與本次市場日期一致。
IRDM,Iridium Communications Inc.,Space,2026-05-15,251,-0.000960,0.003859,0.055274,-0.005496,2030903.666667,2109562.200000,2386875.550000,0.839009,42.590000,41.431000,40.446000,-0.041676,6,False,True,False,False,-0.168687,specialist,3,0.029026,-0.041676,0.934919,momentum_leader,neutral,very_extended,very_extended,overextended,too_extended,2002611,ok,資料日期與本次市場日期一致。
