industry_group,ticker_count,tickers_with_data,return_3d,return_5d,return_10d,return_20d,avg_volume_3d,avg_volume_5d,avg_volume_20d,relative_volume,ma_5d,ma_10d,ma_20d,max_drawdown_10d,up_days_10d,positive_5d_pct,positive_10d_pct,confirmed_signal_pct,strong_signal_pct,high_relative_volume_pct,breadth_score,rotation_score,momentum_persistence,momentum_acceleration,momentum_exhaustion_warning,industry_regime
AI Infrastructure,6,6,0.009372,-0.008360,0.058153,0.105195,13374358.111111,13714201.533333,13528128.716667,0.894537,204.638334,202.355204,198.849885,-0.093165,5.000000,0.500000,0.666667,0.333333,0.000000,0.000000,0.350000,0.000000,0,-0.072136,True,exhaustion
Adtech,6,6,-0.030033,-0.070903,-0.058196,-0.029058,5425836.888889,5516958.800000,5478405.533333,0.987413,110.182334,110.418666,108.068416,-0.131852,4.666667,0.166667,0.333333,0.166667,0.000000,0.166667,0.175000,-6.000000,0,0.021546,False,weak
Cloud Software,6,6,0.037065,0.014878,0.125512,0.144547,9508619.111111,8970448.133333,10052694.533333,1.054003,173.774333,169.622167,162.679834,-0.060450,5.666667,0.666667,0.666667,0.333333,0.000000,0.166667,0.400000,1.000000,0,0.037863,True,exhaustion
Consumer Platforms,6,6,-0.010140,-0.023159,-0.043235,-0.090973,12396126.055556,13260728.966667,14083726.408333,0.861958,150.331000,151.814500,158.793334,-0.084585,4.333333,0.166667,0.000000,0.000000,0.000000,0.000000,0.033333,3.000000,0,0.026468,False,weak
Cybersecurity,6,6,0.077303,0.066619,0.220688,0.300041,4833285.611111,4553761.366667,4184366.175000,1.185416,194.153335,182.510167,170.146500,-0.035100,7.000000,0.666667,1.000000,0.500000,0.333333,0.500000,0.625000,1.000000,2,-0.007541,False,momentum_leader
Defense,7,7,-0.028164,-0.009353,-0.055630,-0.137212,1695553.000000,1802906.085714,1979525.092857,0.842058,335.216857,336.166000,344.483642,-0.069392,3.714286,0.428571,0.142857,0.000000,0.000000,0.000000,0.121429,1.000000,0,-0.013756,False,weak
Defense Drones,5,5,-0.025966,-0.019911,-0.085309,-0.146753,34660729.666667,25536061.800000,16990643.450000,1.038931,48.823600,50.030000,53.941950,-0.117549,4.000000,0.200000,0.400000,0.000000,0.000000,0.200000,0.160000,0.000000,0,-0.064840,False,weak
Defensive Healthcare,6,6,-0.003619,0.015181,0.001172,-0.009307,12005570.666667,12237135.733333,13169091.433333,1.064670,174.005001,171.575877,169.755108,-0.027773,5.000000,0.500000,0.333333,0.166667,0.000000,0.166667,0.241667,3.000000,0,-0.008497,False,neutral
Defensive Staples,6,6,0.003075,0.002694,-0.002540,0.016762,8561141.444444,8878034.866667,8656100.383333,1.105343,269.976664,268.811111,267.382017,-0.026804,6.000000,0.666667,0.666667,0.666667,0.333333,0.333333,0.566667,0.000000,0,-0.000497,False,momentum_leader
Energy Storage,5,5,0.175495,0.148017,0.307112,0.365616,8494741.733333,7711353.040000,5324121.260000,1.896987,78.353599,75.947000,71.059200,-0.114654,5.800000,0.400000,0.800000,0.400000,0.400000,0.600000,0.520000,2.000000,5,-0.024981,False,momentum_leader
Fintech,6,6,-0.022098,-0.014802,-0.024336,-0.086255,19678487.666667,20788099.266667,21999957.316667,0.916021,80.572333,80.012500,80.223583,-0.075272,3.500000,0.333333,0.333333,0.166667,0.000000,0.166667,0.208333,2.000000,0,-0.040689,False,weak
Market ETFs,6,6,-0.002987,-0.004013,0.019748,0.036346,21491555.777778,21490190.133333,21022262.533333,1.223302,546.701996,542.268997,533.338582,-0.015796,6.000000,0.333333,0.833333,0.333333,0.166667,0.666667,0.458333,0.000000,0,-0.023785,False,neutral
Nuclear,8,8,-0.091897,-0.101410,-0.083730,-0.095042,8227413.416667,9367620.550000,9364741.387500,1.015994,107.779751,111.877251,112.706282,-0.168406,3.125000,0.000000,0.125000,0.000000,0.000000,0.125000,0.043750,-6.000000,0,-0.046634,False,weak
Renewables,5,5,0.058610,0.068670,0.119084,0.175242,3065349.400000,3114097.640000,2686425.410000,1.129316,315.072795,311.539196,307.257997,-0.045466,6.000000,1.000000,0.800000,0.600000,0.400000,0.400000,0.670000,1.000000,0,-0.023385,False,momentum_leader
Robotics Automation,6,6,-0.020524,-0.017575,0.015642,-0.020265,1991889.277778,2213990.233333,2122384.225000,1.033373,266.280333,266.113500,265.473833,-0.091610,4.833333,0.166667,0.500000,0.166667,0.166667,0.333333,0.266667,3.000000,0,-0.015719,False,neutral
Semiconductors,11,11,-0.014980,-0.028263,0.104742,0.286085,41469594.636364,45069964.054545,45189523.740909,0.974394,464.788730,450.759638,423.081691,-0.078464,5.363636,0.272727,0.909091,0.272727,0.090909,0.090909,0.377273,-4.000000,0,-0.101435,True,exhaustion
Space,11,11,0.080706,0.101868,0.223961,0.150408,13847162.090909,14674019.072727,11510553.859091,1.252149,43.286909,39.750546,37.885568,-0.096265,5.545455,0.727273,1.000000,0.545455,0.181818,0.363636,0.604545,-1.000000,5,-0.199874,False,momentum_leader
