industry_group,ticker_count,tickers_with_data,return_3d,return_5d,return_10d,return_20d,return_1m,return_3m,return_6m,return_1y,avg_volume_3d,avg_volume_5d,avg_volume_20d,relative_volume,ma_5d,ma_10d,ma_20d,max_drawdown_10d,up_days_10d,positive_5d_pct,positive_10d_pct,confirmed_signal_pct,strong_signal_pct,high_relative_volume_pct,breadth_score,rotation_score,momentum_persistence,momentum_acceleration,momentum_exhaustion_warning,industry_regime,industry_risk_flag,rotation_type,causal_hypothesis,evidence_status
AI Infrastructure,7,7,0.034092,-0.030770,0.036825,0.012979,-0.033175,0.252618,0.745410,1.028496,17700769.952381,16375053.400000,14942457.635714,1.211154,208.707431,217.182430,221.938211,-0.178285,5.571429,0.571429,0.857143,0.000000,0.000000,0.285714,0.357143,3.000000,0,0.069086,False,neutral,none,risk_on_growth,industry_flow_leads_leaders,inferred
Adtech,6,6,-0.024173,0.031534,-0.017057,-0.070991,-0.076555,0.118410,0.117814,-0.031381,5697633.000000,5361079.800000,4494959.950000,1.238245,102.070666,102.223500,108.536417,-0.071430,5.166667,1.000000,0.333333,0.000000,0.000000,0.333333,0.316667,4.000000,0,-0.019605,False,early_recovery,none,unclear,unclear,needs_review
Cloud Software,8,8,0.065861,0.136664,0.084615,0.070615,0.076063,0.385735,0.131168,0.054374,20837382.916667,19109289.750000,15778095.562500,0.995988,232.120001,224.844625,225.762773,-0.084939,5.625000,1.000000,1.000000,0.625000,0.125000,0.375000,0.668750,8.000000,2,-0.006173,False,momentum_leader,none,unclear,unclear,needs_review
Consumer Hardware,1,1,-0.091655,-0.072398,-0.074399,0.000907,0.049358,0.139468,0.198250,0.532441,86102207.000000,71953984.200000,53412656.050000,2.385165,331.503998,329.241998,324.367000,-0.091655,4.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.100000,-16.000000,0,-0.108989,False,weak,none,unclear,unclear,needs_review
Consumer Platforms,9,9,0.013640,0.070935,0.020226,0.009797,0.019437,0.017091,-0.020290,-0.029706,25629891.148148,22948912.466667,19828398.672222,1.210137,241.351110,240.968999,244.902777,-0.079068,4.222222,0.888889,0.777778,0.333333,0.222222,0.444444,0.544444,4.000000,0,0.012029,False,momentum_leader,none,unclear,unclear,needs_review
Cybersecurity,6,6,0.041585,0.038052,-0.059292,-0.025127,-0.024441,0.688445,0.584941,0.398535,5692673.111111,5119437.200000,4931645.966667,0.936377,163.426666,164.887834,168.873500,-0.096618,4.166667,1.000000,0.333333,0.000000,0.000000,0.000000,0.283333,-2.000000,0,0.012851,False,early_recovery,none,unclear,unclear,needs_review
Defense,7,7,-0.011003,0.013194,0.088430,0.037340,0.083352,-0.005156,-0.128887,0.140986,2019141.523810,2067487.771429,1679649.800000,1.096467,347.230285,339.045571,334.184428,-0.046269,7.142857,0.714286,0.857143,0.714286,0.142857,0.428571,0.607143,1.000000,7,0.001940,True,momentum_leader,momentum_exhaustion,unclear,unclear,needs_review
Defense Drones,5,5,-0.022633,-0.017975,0.036873,-0.166988,-0.162035,-0.267392,-0.475302,0.308067,14049982.400000,14410421.440000,24206561.360000,0.693344,43.146400,43.346600,43.729200,-0.148854,5.800000,0.000000,0.600000,0.000000,0.000000,0.000000,0.150000,-2.000000,0,0.045637,False,momentum_leader,none,unclear,unclear,needs_review
Defensive Healthcare,6,6,-0.026333,-0.005931,0.005844,-0.000902,0.028305,0.112769,0.133977,0.418055,11218046.277778,12348421.100000,12391795.275000,0.763458,197.089002,196.295817,195.068125,-0.031929,5.333333,0.333333,0.666667,0.166667,0.166667,0.166667,0.325000,-6.000000,0,-0.012084,False,neutral,none,defensive_rotation,defensive_rotation,inferred
Defensive Staples,6,6,-0.017951,0.017730,0.006098,-0.011425,0.016065,-0.023319,0.030385,0.100217,11298273.833333,11795247.633333,10382535.241667,0.890096,256.539336,252.868852,252.036366,-0.026209,5.000000,0.833333,0.500000,0.166667,0.000000,0.000000,0.333333,-4.000000,0,-0.013885,False,neutral,none,defensive_rotation,defensive_rotation,inferred
Electric Vehicles,1,1,0.012263,-0.005814,-0.182833,-0.209023,-0.268258,-0.184524,-0.252905,0.028351,37699997.666667,39564358.600000,40992324.650000,0.868860,307.008002,329.027002,363.930499,-0.212731,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.028094,False,weak,none,unclear,unclear,needs_review
Energy Storage,5,5,0.037290,-0.002833,-0.111315,-0.210877,-0.258572,-0.098211,-0.176533,0.211385,3592004.533333,3655906.720000,3118949.680000,1.086275,58.352400,60.888800,65.538400,-0.178028,3.600000,0.400000,0.000000,0.000000,0.000000,0.400000,0.120000,-1.000000,0,0.068303,False,weak,none,unclear,unclear,needs_review
Fintech,6,6,-0.045853,-0.013829,-0.048583,-0.053312,-0.032676,0.064823,-0.035423,-0.144409,28187320.388889,25331745.566667,23813132.225000,1.125190,79.888333,80.773916,82.152125,-0.105090,3.666667,0.500000,0.333333,0.000000,0.000000,0.166667,0.200000,-7.000000,0,-0.012928,False,weak,none,unclear,unclear,needs_review
Market ETFs,8,8,0.006995,0.003872,-0.001670,-0.018294,-0.020926,0.046118,0.123663,0.298922,21881419.666667,19586689.575000,16119188.618750,1.142658,439.229751,441.231251,445.172731,-0.041257,5.375000,0.750000,0.500000,0.125000,0.000000,0.625000,0.368750,-3.000000,0,0.009514,False,early_recovery,none,unclear,unclear,needs_review
Nuclear,8,8,0.007185,-0.004629,0.024912,-0.080587,-0.090533,-0.267719,-0.378534,-0.270608,7696524.458333,7559384.675000,7374384.293750,0.941910,93.037000,94.341250,93.812938,-0.114368,5.125000,0.500000,0.625000,0.125000,0.000000,0.250000,0.312500,-1.000000,0,0.026934,False,neutral,none,policy_driven,policy_or_thematic_support,inferred
Quantum Computing,1,1,0.075561,0.109622,0.047729,-0.258143,-0.291051,-0.192376,-0.157262,-0.044071,21241326.000000,22418775.600000,19041983.900000,0.951024,34.800000,34.534000,37.892000,-0.109410,4.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.450000,12.000000,0,0.059725,False,momentum_leader,none,unclear,unclear,needs_review
Renewables,5,5,0.009681,-0.024460,-0.082075,-0.151671,-0.167270,-0.152282,-0.144846,0.242768,3297470.400000,3438538.240000,3071183.560000,1.266862,273.226000,282.167002,292.972000,-0.133626,4.200000,0.200000,0.000000,0.000000,0.000000,0.400000,0.080000,-5.000000,0,0.032635,False,weak,none,unclear,unclear,needs_review
Robotics Automation,6,6,0.045490,0.065088,0.060615,-0.014572,-0.049634,0.037432,0.160668,0.504987,2386921.555556,2423752.933333,2111004.066667,1.001287,258.851333,256.868001,260.999000,-0.068667,5.166667,1.000000,1.000000,0.333333,0.166667,0.333333,0.600000,8.000000,1,0.026415,False,momentum_leader,none,unclear,unclear,needs_review
Semiconductors,18,18,0.005524,-0.057917,-0.053814,-0.121321,-0.162818,0.047643,0.395550,1.340288,30540078.740741,30432772.800000,26106129.033333,0.997348,364.293355,382.118183,395.097908,-0.169402,4.111111,0.111111,0.111111,0.000000,0.000000,0.055556,0.055556,0.000000,0,0.028644,False,weak,none,risk_on_growth,industry_flow_leads_leaders,inferred
Space,11,11,0.021980,0.022999,-0.015309,-0.250609,-0.265615,-0.194115,-0.030692,0.684249,7063845.878788,6902874.800000,7863352.336364,0.757195,29.280000,29.726409,31.638023,-0.136655,4.636364,0.727273,0.454545,0.000000,0.000000,0.000000,0.259091,6.000000,0,0.064231,False,early_recovery,none,unclear,unclear,needs_review
Telecom Infrastructure,1,1,0.023516,0.004396,-0.096838,-0.242751,-0.292022,-0.292022,0.453100,1.256790,96151323.333333,98766714.000000,98278983.500000,0.882543,8.970000,9.467000,10.573000,-0.208843,4.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.200000,1.000000,0,0.070172,False,early_recovery,none,unclear,unclear,needs_review
