industry_group,ticker_count,tickers_with_data,return_3d,return_5d,return_10d,return_20d,avg_volume_3d,avg_volume_5d,avg_volume_20d,relative_volume,ma_5d,ma_10d,ma_20d,max_drawdown_10d,up_days_10d,positive_5d_pct,positive_10d_pct,confirmed_signal_pct,strong_signal_pct,high_relative_volume_pct,breadth_score,rotation_score,momentum_persistence,momentum_acceleration,momentum_exhaustion_warning,industry_regime,industry_risk_flag,rotation_type,causal_hypothesis,evidence_status
AI Infrastructure,6,6,0.117200,0.126957,0.095890,0.160879,14100442.888889,12810595.733333,13839311.433333,1.051396,198.692667,200.505667,199.539965,-0.078202,5.166667,0.833333,0.666667,0.333333,0.166667,0.166667,0.466667,6.000000,0,0.052135,False,momentum_leader,none,risk_on_growth,industry_flow_leads_leaders,inferred
Adtech,6,6,0.044273,0.028093,0.015143,0.030308,4190104.611111,4809036.100000,5579043.191667,0.867839,111.234667,110.869833,109.407917,-0.076489,5.666667,0.666667,0.500000,0.333333,0.166667,0.166667,0.391667,3.000000,0,-0.007308,False,neutral,none,unclear,unclear,needs_review
Cloud Software,6,6,-0.001270,0.001658,0.073886,0.205124,9579767.722222,11107247.300000,9969042.658333,1.122457,186.329001,181.317833,171.558584,-0.040790,5.833333,0.333333,1.000000,0.333333,0.166667,0.333333,0.466667,-3.000000,0,-0.055734,True,neutral,momentum_exhaustion,unclear,unclear,needs_review
Consumer Platforms,6,6,0.020390,0.001138,0.014616,-0.046085,11480901.111111,11876904.000000,13911322.666667,0.778571,159.055333,155.199834,154.733250,-0.050044,4.666667,0.166667,0.333333,0.166667,0.000000,0.166667,0.175000,-2.000000,0,-0.025190,False,neutral,none,unclear,unclear,needs_review
Cybersecurity,6,6,0.038108,0.072103,0.200091,0.385760,4422056.333333,4904487.133333,4555646.783333,1.192744,220.911999,210.107667,188.807750,-0.017254,7.333333,1.000000,1.000000,1.000000,0.166667,0.333333,0.766667,-1.000000,8,-0.046524,True,momentum_leader,momentum_exhaustion,unclear,unclear,needs_review
Defense,7,7,0.015897,0.007872,0.016320,-0.013260,1288250.809524,1436559.057143,1773073.335714,0.653802,336.517742,336.270019,338.374868,-0.034126,5.428571,0.857143,1.000000,0.428571,0.000000,0.000000,0.528571,-1.000000,0,-0.013579,False,momentum_leader,none,unclear,unclear,needs_review
Defense Drones,5,5,0.091241,0.102892,0.034829,-0.058736,16262052.600000,14860627.560000,16534507.890000,1.228470,49.709799,49.066500,50.927650,-0.127258,5.000000,1.000000,0.600000,0.200000,0.200000,0.600000,0.500000,6.000000,0,0.057259,False,neutral,none,unclear,unclear,needs_review
Defensive Healthcare,6,6,0.007595,0.012416,0.031539,0.027750,9125946.555556,10711434.600000,12571282.816667,0.752165,175.025999,174.922000,172.225542,-0.024876,5.333333,0.833333,0.833333,0.500000,0.000000,0.000000,0.500000,-3.000000,0,-0.020741,False,neutral,none,defensive_rotation,defensive_rotation,inferred
Defensive Staples,6,6,-0.033243,-0.034608,-0.006042,-0.003301,11367548.222222,11189655.600000,9338909.733333,1.061460,273.077663,272.979663,270.007171,-0.047493,6.000000,0.166667,0.500000,0.000000,0.000000,0.500000,0.208333,-9.000000,0,-0.028193,False,weak,none,defensive_rotation,defensive_rotation,inferred
Energy Storage,5,5,0.183848,0.194900,0.290773,0.429247,5892260.200000,5431500.120000,6097667.030000,1.114557,81.112801,79.755200,75.949900,-0.123239,5.800000,1.000000,0.800000,0.600000,0.200000,0.400000,0.630000,3.000000,4,0.124098,False,momentum_leader,none,unclear,unclear,needs_review
Fintech,6,6,-0.009934,-0.003757,-0.050231,-0.071525,18523125.333333,18023095.200000,21989021.300000,0.910548,76.532833,77.942500,78.504042,-0.070992,3.833333,0.333333,0.166667,0.000000,0.000000,0.000000,0.108333,-3.000000,0,0.020197,False,weak,none,unclear,unclear,needs_review
Market ETFs,6,6,0.018585,0.025990,0.017608,0.053755,19116756.944444,20631397.500000,21178436.875000,0.866422,548.359336,547.193594,540.688765,-0.022847,6.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.700000,-2.000000,0,0.011016,False,momentum_leader,none,unclear,unclear,needs_review
Nuclear,8,8,0.108401,0.126225,-0.063137,-0.059142,9034293.083333,8855448.350000,8751648.337500,1.226125,103.532375,103.913327,109.280459,-0.162750,4.250000,1.000000,0.375000,0.000000,0.000000,0.500000,0.343750,0.000000,0,0.091744,False,early_recovery,none,policy_driven,policy_or_thematic_support,inferred
Renewables,5,5,0.060138,0.052437,0.056902,0.133958,2682353.000000,2535307.800000,2749174.950000,0.859568,310.841998,312.007154,309.155482,-0.087142,5.400000,0.600000,0.600000,0.400000,0.200000,0.200000,0.430000,1.000000,0,0.060360,False,neutral,none,unclear,unclear,needs_review
Robotics Automation,6,6,0.053959,0.075060,0.051129,0.048798,1913354.277778,1938749.233333,2224293.975000,0.913089,266.565742,266.096204,263.970676,-0.076464,5.166667,0.666667,1.000000,0.166667,0.000000,0.166667,0.441667,6.000000,0,0.030127,False,neutral,none,unclear,unclear,needs_review
Semiconductors,11,11,0.095608,0.151798,0.080049,0.300548,40742142.000000,42424536.109091,45294072.209091,1.000452,472.057542,465.322952,445.619509,-0.082036,5.272727,0.909091,0.727273,0.272727,0.000000,0.090909,0.440909,0.000000,0,0.068370,False,momentum_leader,none,risk_on_growth,industry_flow_leads_leaders,inferred
Space,11,11,0.184624,0.218140,0.261573,0.553399,19729864.939394,17156868.054545,13236759.740909,1.963529,48.156727,45.923545,41.084045,-0.057823,6.181818,1.000000,1.000000,0.545455,0.181818,0.818182,0.704545,-1.000000,11,0.076125,False,momentum_leader,none,unclear,unclear,needs_review
