industry_group,ticker_count,tickers_with_data,return_3d,return_5d,return_10d,return_20d,return_1m,return_3m,return_6m,return_1y,avg_volume_3d,avg_volume_5d,avg_volume_20d,relative_volume,ma_5d,ma_10d,ma_20d,max_drawdown_10d,up_days_10d,positive_5d_pct,positive_10d_pct,confirmed_signal_pct,strong_signal_pct,high_relative_volume_pct,breadth_score,rotation_score,momentum_persistence,momentum_acceleration,momentum_exhaustion_warning,industry_regime,industry_risk_flag,rotation_type,causal_hypothesis,evidence_status
AI Infrastructure,7,7,0.045544,0.113060,0.062249,0.083540,0.100414,0.127174,0.969481,1.091407,15638979.714286,17895213.542857,16551440.528571,1.024309,244.263145,237.733572,240.022286,-0.079375,5.714286,1.000000,1.000000,0.428571,0.000000,0.285714,0.585714,8.000000,3,0.016479,False,momentum_leader,none,risk_on_growth,industry_flow_leads_leaders,inferred
Adtech,6,6,-0.038608,-0.001452,-0.007937,-0.018805,-0.027201,0.120356,0.272533,0.067032,5376458.833333,5664438.633333,5338242.991667,1.055032,89.768332,89.562916,89.221458,-0.048500,3.666667,0.333333,0.333333,0.166667,0.000000,0.166667,0.208333,-9.000000,0,-0.000842,False,weak,none,unclear,unclear,needs_review
Cloud Software,8,8,-0.044110,-0.025677,0.029207,0.012556,0.004100,0.173092,0.380085,0.023993,10974435.458333,11833973.775000,11931934.693750,0.840338,269.887250,274.349249,271.956891,-0.104348,4.750000,0.375000,0.625000,0.125000,0.000000,0.125000,0.275000,-2.000000,0,0.028624,False,neutral,none,unclear,unclear,needs_review
Consumer Hardware,1,1,-0.039213,-0.030111,0.017554,0.034207,0.022968,0.086257,0.211144,0.395586,46662330.333333,42197838.200000,40560384.550000,1.600157,320.939996,319.441000,314.059499,-0.039213,5.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0.350000,-5.000000,0,-0.028123,False,neutral,none,unclear,unclear,needs_review
Consumer Platforms,9,9,-0.057612,-0.042460,-0.074371,-0.048546,-0.058932,0.050161,0.043917,-0.097843,17854038.518519,16226725.333333,15255471.333333,1.363994,257.586630,257.480767,255.209491,-0.093457,3.111111,0.111111,0.111111,0.111111,0.111111,0.444444,0.144444,-12.000000,0,-0.008059,False,weak,none,unclear,unclear,needs_review
Cybersecurity,6,6,-0.015717,-0.036429,0.077602,-0.041689,-0.041016,0.288765,0.775629,0.544646,4466810.666667,5286329.733333,5230809.933333,0.838489,178.672502,183.550834,182.280542,-0.113656,5.000000,0.166667,0.666667,0.166667,0.000000,0.000000,0.241667,7.000000,1,0.059606,True,momentum_leader,momentum_exhaustion,unclear,unclear,needs_review
Defense,7,7,-0.029241,-0.045140,-0.048556,-0.111773,-0.115894,-0.019762,-0.198556,0.022746,1345907.619048,1404996.000000,1416371.142857,0.957788,326.406975,333.221655,343.877088,-0.066720,3.714286,0.000000,0.000000,0.000000,0.000000,0.142857,0.014286,2.000000,0,-0.004303,False,weak,none,unclear,unclear,needs_review
Defense Drones,5,5,-0.053406,0.003477,-0.009262,-0.146938,-0.137666,-0.188581,-0.331582,-0.054578,12452563.533333,14879934.120000,16303128.530000,1.379586,43.013000,43.619500,47.297000,-0.125366,4.600000,0.400000,0.200000,0.200000,0.000000,0.400000,0.220000,7.000000,0,-0.009867,False,early_recovery,none,unclear,unclear,needs_review
Defensive Healthcare,6,6,-0.029413,-0.017067,-0.027251,0.033630,0.030042,0.113979,0.167724,0.331953,10292038.888889,10433526.666667,11293075.833333,1.006510,199.688999,199.083166,198.112227,-0.037787,4.166667,0.000000,0.166667,0.000000,0.000000,0.166667,0.058333,-9.000000,0,-0.019108,False,weak,none,defensive_rotation,defensive_rotation,inferred
Defensive Staples,6,6,-0.021346,-0.016618,-0.030706,-0.026852,-0.030175,-0.024742,-0.057051,0.059059,9642584.166667,10041087.166667,10707605.958333,0.963091,247.397821,249.675046,252.463363,-0.035667,3.166667,0.000000,0.166667,0.000000,0.000000,0.000000,0.041667,-4.000000,0,-0.009382,False,weak,none,defensive_rotation,defensive_rotation,inferred
Electric Vehicles,1,1,-0.022744,0.032913,0.050136,0.105165,0.111611,-0.072779,-0.078725,0.057563,49479021.000000,49197992.600000,39710323.150000,0.814399,364.685999,359.685001,352.053499,-0.059224,5.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.450000,0.000000,1,0.032342,True,momentum_leader,momentum_exhaustion,unclear,unclear,needs_review
Energy Storage,5,5,0.007732,0.018832,-0.011347,-0.105467,-0.071846,-0.372264,-0.250938,0.019690,2912909.133333,2883977.480000,2720308.370000,0.958520,54.600400,55.034400,57.509200,-0.091731,5.400000,0.600000,0.200000,0.200000,0.000000,0.200000,0.240000,4.000000,0,-0.027345,False,early_recovery,none,unclear,unclear,needs_review
Fintech,6,6,-0.073784,0.018375,-0.075305,0.023382,0.024006,0.170462,0.174955,-0.183693,13230335.500000,15316357.966667,15997444.491667,0.830372,87.429843,87.161591,85.187033,-0.106609,3.333333,0.500000,0.166667,0.000000,0.000000,0.000000,0.141667,-15.000000,0,0.012533,False,early_recovery,none,unclear,unclear,needs_review
