industry_group,ticker_count,tickers_with_data,return_3d,return_5d,return_10d,return_20d,return_1m,return_3m,return_6m,return_1y,avg_volume_3d,avg_volume_5d,avg_volume_20d,relative_volume,ma_5d,ma_10d,ma_20d,max_drawdown_10d,up_days_10d,positive_5d_pct,positive_10d_pct,confirmed_signal_pct,strong_signal_pct,high_relative_volume_pct,breadth_score,rotation_score,momentum_persistence,momentum_acceleration,momentum_exhaustion_warning,industry_regime,industry_risk_flag,rotation_type,causal_hypothesis,evidence_status
AI Infrastructure,7,7,0.000401,0.061999,0.054626,-0.013776,-0.010863,0.181349,0.966748,1.149768,14140795.333333,15177882.914286,14575668.585714,1.130934,248.667715,239.501572,239.009286,-0.072618,5.285714,0.857143,0.714286,0.285714,0.142857,0.285714,0.478571,-1.000000,1,0.026052,True,momentum_leader,momentum_exhaustion,risk_on_growth,industry_flow_leads_leaders,inferred
Adtech,6,6,0.013035,-0.016014,0.021285,-0.007314,0.015941,0.161990,0.359613,0.090869,4096477.222222,4706203.000000,4920053.250000,0.815671,89.561665,89.806415,89.407374,-0.048406,4.833333,0.333333,0.833333,0.000000,0.000000,0.000000,0.275000,-1.000000,0,0.016483,False,momentum_leader,none,unclear,unclear,needs_review
Cloud Software,8,8,-0.005362,-0.051646,-0.049713,-0.031058,0.015753,0.202854,0.372655,0.034923,12769761.791667,12363017.075000,11959797.393750,0.890137,267.134250,272.899125,271.055259,-0.103478,4.125000,0.125000,0.000000,0.000000,0.000000,0.125000,0.037500,-9.000000,0,-0.051752,False,weak,none,unclear,unclear,needs_review
Consumer Hardware,1,1,0.050756,0.012370,0.056234,0.088482,0.099322,0.124908,0.301466,0.424776,62025285.000000,52231971.000000,42518672.750000,1.185925,322.073999,322.522000,316.625998,-0.039213,5.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.450000,2.000000,2,0.007415,False,momentum_leader,none,unclear,unclear,needs_review
Consumer Platforms,9,9,-0.003638,-0.044169,-0.038281,-0.033929,-0.015408,0.078730,0.092022,-0.081739,17381285.259259,17074584.488889,15369455.011111,0.905344,255.437222,257.130306,255.590259,-0.095075,4.222222,0.111111,0.222222,0.111111,0.000000,0.222222,0.127778,1.000000,0,0.005715,False,weak,none,unclear,unclear,needs_review
Cybersecurity,6,6,-0.023383,-0.044766,-0.114060,-0.100646,-0.061841,0.216159,0.727836,0.495092,4876405.555556,4813140.000000,5387935.000000,1.165723,178.168835,182.244000,180.830958,-0.127326,3.833333,0.000000,0.000000,0.000000,0.000000,0.166667,0.016667,-18.000000,0,-0.047399,False,weak,none,unclear,unclear,needs_review
Defense,7,7,-0.014244,-0.029501,-0.062116,-0.112034,-0.115447,-0.034155,-0.195000,0.013096,1344261.476190,1359639.742857,1422951.364286,1.058468,323.432860,329.226976,339.804160,-0.066462,3.285714,0.000000,0.000000,0.000000,0.000000,0.142857,0.014286,4.000000,0,-0.007614,False,weak,none,unclear,unclear,needs_review
Defense Drones,5,5,-0.049812,-0.056116,-0.039832,-0.135618,-0.154505,-0.229393,-0.348896,-0.168516,13904420.866667,12748720.520000,15226930.130000,1.121282,42.867000,43.206900,46.004800,-0.099689,3.800000,0.000000,0.200000,0.000000,0.000000,0.400000,0.090000,5.000000,0,-0.032108,False,weak,none,unclear,unclear,needs_review
Defensive Healthcare,6,6,-0.013734,-0.038092,-0.013720,0.015629,0.021669,0.105456,0.171657,0.313534,9665113.444444,9921218.066667,11186929.516667,0.918601,196.847333,198.152833,198.199615,-0.047765,4.333333,0.000000,0.166667,0.000000,0.000000,0.166667,0.058333,-2.000000,0,-0.007204,False,weak,none,defensive_rotation,defensive_rotation,inferred
Defensive Staples,6,6,-0.005348,-0.017274,-0.006891,-0.033403,-0.026887,-0.030231,-0.037888,0.057140,8798761.388889,9366023.500000,10797075.875000,0.993266,245.207334,248.093044,251.341412,-0.032443,4.000000,0.000000,0.333333,0.000000,0.000000,0.333333,0.116667,4.000000,0,0.000951,False,weak,none,defensive_rotation,defensive_rotation,inferred
Electric Vehicles,1,1,-0.007388,-0.029041,0.029960,0.074950,0.115813,-0.084454,-0.074859,-0.077032,30718083.333333,41650250.000000,39530672.500000,0.756950,363.809998,362.522000,355.129999,-0.059224,5.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.250000,11.000000,0,-0.047388,False,momentum_leader,none,unclear,unclear,needs_review
