ticker,company_name,industry_group,latest_date,data_points,return_3d,return_5d,return_10d,return_20d,avg_volume_3d,avg_volume_5d,avg_volume_20d,relative_volume,ma_5d,ma_10d,ma_20d,max_drawdown_10d,up_days_10d,early_momentum_signal,confirmed_momentum_signal,strong_momentum_signal,risk_warning,relative_strength_vs_industry,leader_type,industry_quality_score,distance_from_20d_ma,distance_from_52w_high,position_in_52w_range,industry_regime,industry_risk_flag,rotation_type,causal_hypothesis,evidence_status,short_term_price_zone,long_term_price_zone,price_zone,current_state,watch_status,latest_volume,data_status,data_quality_note
ANET,Arista Networks Inc.,AI Infrastructure,2026-05-20,251,-0.010425,-0.001422,-0.044676,-0.209531,9006350.000000,10716050.000000,12268312.500000,0.781179,142.712003,141.674001,155.397500,-0.049523,3,False,False,False,False,-0.017004,infrastructure_leader,5,-0.095931,-0.209531,0.592917,weak,none,risk_on_growth,industry_flow_leads_leaders,inferred,reasonable_pullback,neutral,reasonable_pullback,sideways_base,not_eligible_industry,9583750,ok,資料日期與本次市場日期一致。
VRT,Vertiv Holdings Co.,AI Infrastructure,2026-05-20,251,-0.149000,-0.146815,-0.120500,0.034509,7449114.000000,6165968.400000,5792717.100000,0.901329,345.040009,351.022006,338.839001,-0.160965,3,False,False,False,True,-0.092829,infrastructure_leader,5,-0.068378,-0.160965,0.777963,weak,none,risk_on_growth,industry_flow_leads_leaders,inferred,reasonable_pullback,neutral,reasonable_pullback,falling_knife,avoid_for_now,5221142,ok,資料日期與本次市場日期一致。
DELL,Dell Technologies Inc.,AI Infrastructure,2026-05-20,251,0.003884,-0.003855,0.017295,0.131749,4296161.666667,4792697.000000,5681514.250000,0.646515,241.219998,242.667998,228.417499,-0.096752,4,False,False,False,True,0.044967,challenger,5,0.063535,-0.067304,0.886168,weak,none,risk_on_growth,industry_flow_leads_leaders,inferred,neutral,extended,extended,overextended,not_eligible_industry,3673185,ok,資料日期與本次市場日期一致。
HPE,Hewlett Packard Enterprise Co.,AI Infrastructure,2026-05-20,251,0.021148,0.053944,0.112940,0.185549,12785368.666667,17875121.200000,14809255.300000,0.773976,33.330000,32.085000,30.413500,-0.044243,4,False,False,False,False,0.140612,non_leader,5,0.111349,-0.009669,0.980899,weak,none,risk_on_growth,industry_flow_leads_leaders,inferred,extended,very_extended,very_extended,overextended,not_eligible_industry,11462006,ok,資料日期與本次市場日期一致。
SMCI,Super Micro Computer Inc.,AI Infrastructure,2026-05-20,251,0.077964,0.045625,-0.034622,0.146676,28963721.666667,29329533.000000,39035423.250000,0.949201,31.788000,32.624000,30.419500,-0.135991,3,True,False,False,True,-0.006950,challenger,5,0.099952,-0.448855,0.321802,weak,none,risk_on_growth,industry_flow_leads_leaders,inferred,extended,reasonable_pullback,extended,overextended,avoid_for_now,37052465,ok,資料日期與本次市場日期一致。
ETN,Eaton Corporation plc,AI Infrastructure,2026-05-20,251,-0.049444,-0.066963,-0.096468,-0.080051,2580340.333333,2601244.200000,2972726.050000,0.647965,388.196002,396.801001,407.935454,-0.112458,5,False,False,False,True,-0.068796,infrastructure_leader,5,-0.069240,-0.120715,0.557671,weak,none,risk_on_growth,industry_flow_leads_leaders,inferred,reasonable_pullback,neutral,reasonable_pullback,falling_knife,avoid_for_now,1926221,ok,資料日期與本次市場日期一致。
NVDA,NVIDIA Corporation,Semiconductors,2026-05-20,251,-0.008211,-0.010450,0.075254,0.103556,152791501.000000,164027000.600000,159750580.150000,1.071329,225.492004,222.021002,213.399001,-0.064181,7,False,False,False,False,0.037645,core_leader,5,0.047193,-0.052049,0.882562,momentum_leader,none,risk_on_growth,industry_flow_leads_leaders,inferred,neutral,extended,extended,sideways_base,too_extended,171145403,ok,資料日期與本次市場日期一致。
AMD,Advanced Micro Devices Inc.,Semiconductors,2026-05-20,251,0.055364,0.004669,0.062151,0.474923,34204924.000000,31571994.400000,45620993.600000,0.776523,431.283997,437.264999,392.698000,-0.097517,4,False,False,False,True,0.024543,challenger,5,0.139756,-0.024434,0.967832,momentum_leader,none,risk_on_growth,industry_flow_leads_leaders,inferred,extended,very_extended,very_extended,overextended,too_extended,35425772,ok,資料日期與本次市場日期一致。
AVGO,Broadcom Inc.,Semiconductors,2026-05-20,251,-0.017475,0.002327,-0.018052,-0.011570,18251869.666667,18689301.800000,19163170.450000,0.847470,422.904004,422.160001,419.789500,-0.065304,3,False,False,False,False,-0.055660,core_leader,5,-0.004835,-0.050092,0.896528,momentum_leader,none,risk_on_growth,industry_flow_leads_leaders,inferred,neutral,extended,extended,sideways_base,too_extended,16240209,ok,資料日期與本次市場日期一致。
TSM,Taiwan Semiconductor Manufacturing Co. Ltd.,Semiconductors,2026-05-20,251,-0.006752,0.004552,-0.042622,0.036599,12081708.000000,13338164.800000,14249086.200000,0.704952,402.450000,403.969998,401.260999,-0.060112,3,False,False,False,False,-0.080231,core_leader,5,0.000895,-0.042622,0.922290,momentum_leader,none,risk_on_growth,industry_flow_leads_leaders,inferred,neutral,very_extended,very_extended,overextended,too_extended,10044924,ok,資料日期與本次市場日期一致。
