industry_group,ticker_count,tickers_with_data,return_3d,return_5d,return_10d,return_20d,avg_volume_3d,avg_volume_5d,avg_volume_20d,relative_volume,ma_5d,ma_10d,ma_20d,max_drawdown_10d,up_days_10d,positive_5d_pct,positive_10d_pct,confirmed_signal_pct,strong_signal_pct,high_relative_volume_pct,breadth_score,rotation_score,momentum_persistence,momentum_acceleration,momentum_exhaustion_warning,industry_regime,industry_risk_flag,rotation_type,causal_hypothesis,evidence_status
AI Infrastructure,6,6,-0.017645,-0.019914,-0.027672,0.034817,10846842.722222,11913435.633333,13426658.075000,0.783361,197.047668,199.479001,198.570409,-0.099989,3.666667,0.333333,0.333333,0.000000,0.000000,0.000000,0.150000,-5.000000,0,0.014323,False,weak,none,risk_on_growth,industry_flow_leads_leaders,inferred
Adtech,6,6,0.004621,0.031149,-0.055849,-0.028965,5665347.000000,5480814.866667,5625136.216667,1.015897,110.747834,110.489583,108.162958,-0.125160,4.500000,0.833333,0.166667,0.166667,0.000000,0.166667,0.266667,-2.000000,0,0.054453,False,early_recovery,none,unclear,unclear,needs_review
Cloud Software,6,6,0.045426,0.095881,0.183168,0.141963,13797955.722222,12258310.100000,10713253.358333,0.941410,182.263000,177.933167,166.598667,-0.056846,6.000000,1.000000,0.833333,0.666667,0.000000,0.166667,0.591667,1.000000,0,0.002941,True,momentum_leader,momentum_exhaustion,unclear,unclear,needs_review
Consumer Platforms,6,6,-0.001080,0.013341,-0.037650,-0.084216,12099226.722222,12198249.366667,13795590.675000,0.948858,151.951334,151.509333,155.522667,-0.070431,4.333333,0.666667,0.166667,0.166667,0.000000,0.333333,0.250000,2.000000,0,0.031553,False,early_recovery,none,unclear,unclear,needs_review
Cybersecurity,6,6,0.085741,0.144198,0.298085,0.306819,5578445.833333,5312027.500000,4466410.208333,1.177520,209.485335,197.699168,178.687001,-0.036868,7.500000,1.000000,1.000000,1.000000,0.166667,0.333333,0.766667,2.000000,5,0.002716,True,momentum_leader,momentum_exhaustion,unclear,unclear,needs_review
Defense,7,7,0.011819,-0.005492,-0.010984,-0.065990,1509805.476190,1618843.285714,1906751.535714,0.683573,335.284574,335.107144,339.759714,-0.035173,4.285714,0.571429,0.428571,0.000000,0.000000,0.000000,0.221429,6.000000,0,0.006736,False,weak,none,unclear,unclear,needs_review
Defense Drones,5,5,-0.008325,0.024168,-0.059570,-0.211201,14791844.533333,25897446.720000,16153430.680000,0.817381,48.079800,48.821700,51.997850,-0.130888,4.400000,0.800000,0.400000,0.000000,0.000000,0.200000,0.280000,1.000000,0,0.095413,False,early_recovery,none,unclear,unclear,needs_review
Defensive Healthcare,6,6,0.008796,-0.002688,0.015052,0.012597,11978334.111111,11779793.800000,12940116.783333,0.695044,174.620334,173.091500,171.002154,-0.026471,5.000000,0.333333,0.666667,0.000000,0.000000,0.000000,0.233333,4.000000,0,-0.013917,False,neutral,none,defensive_rotation,defensive_rotation,inferred
Defensive Staples,6,6,0.010139,0.013457,0.010145,0.040911,9651263.555556,9444584.800000,8874957.866667,1.079603,276.913995,272.478030,269.703655,-0.023502,6.166667,0.833333,0.666667,0.500000,0.000000,0.333333,0.491667,4.000000,0,-0.007487,False,momentum_leader,none,defensive_rotation,defensive_rotation,inferred
Energy Storage,5,5,-0.045175,0.068881,0.199684,0.225488,5430859.200000,6695879.520000,5643771.880000,0.831706,78.134799,76.967000,73.029600,-0.143346,5.200000,0.400000,0.600000,0.400000,0.200000,0.200000,0.390000,-1.000000,1,0.006073,True,momentum_leader,momentum_exhaustion,unclear,unclear,needs_review
Fintech,6,6,-0.001242,0.002225,-0.021560,-0.090052,17836971.833333,18780366.433333,21616822.441667,0.832750,78.321000,79.204833,79.229458,-0.075857,4.000000,0.500000,0.333333,0.000000,0.000000,0.000000,0.183333,-1.000000,0,0.042443,False,early_recovery,none,unclear,unclear,needs_review
Market ETFs,6,6,0.005651,-0.001564,0.005091,0.038995,22982139.111111,22857640.133333,21336627.533333,1.050958,544.908466,544.714082,536.593481,-0.023340,5.166667,0.166667,0.833333,0.166667,0.000000,0.166667,0.300000,0.000000,0,0.009905,False,neutral,none,unclear,unclear,needs_review
Nuclear,8,8,-0.022701,-0.086036,-0.180737,-0.141654,8603806.625000,8411201.475000,9135593.493750,0.987699,100.302951,106.104968,110.781744,-0.206283,2.750000,0.250000,0.000000,0.000000,0.000000,0.125000,0.062500,-3.000000,0,0.074512,False,weak,none,policy_driven,policy_or_thematic_support,inferred
Renewables,5,5,-0.042453,-0.034915,0.032953,0.100475,2388445.533333,2507103.320000,2723799.830000,0.783951,308.864800,309.002398,309.133297,-0.081043,5.400000,0.200000,0.600000,0.200000,0.000000,0.000000,0.240000,0.000000,0,-0.025317,False,neutral,none,unclear,unclear,needs_review
Robotics Automation,6,6,0.006871,-0.010808,-0.043121,-0.014305,1999183.277778,1971609.966667,2189121.658333,0.832131,262.797532,264.766959,264.131211,-0.101094,4.333333,0.333333,0.333333,0.000000,0.000000,0.000000,0.150000,-6.000000,0,0.038513,False,weak,none,unclear,unclear,needs_review
