ticker,company_name,industry_group,latest_date,data_points,return_3d,return_5d,return_10d,return_20d,return_1m,return_3m,return_6m,return_1y,avg_volume_3d,avg_volume_5d,avg_volume_20d,relative_volume,ma_5d,ma_10d,ma_20d,max_drawdown_10d,up_days_10d,early_momentum_signal,confirmed_momentum_signal,strong_momentum_signal,risk_warning,relative_strength_vs_industry,leader_type,industry_quality_score,distance_from_20d_ma,distance_from_52w_high,position_in_52w_range,forward_pe,earnings_growth,peg_ratio,peg_rating,peg_status,peg_note,industry_regime,industry_risk_flag,rotation_type,causal_hypothesis,evidence_status,short_term_price_zone,long_term_price_zone,price_zone,current_state,watch_status,latest_volume,data_status,data_quality_note
ANET,Arista Networks Inc.,AI Infrastructure,2026-06-16,251,0.074233,0.104167,-0.041750,0.185590,0.183419,0.262568,0.346666,0.873439,6595319.666667,6396011.800000,8693107.950000,0.746874,161.699997,161.170998,158.473499,-0.129667,4,True,False,False,True,0.091134,infrastructure_leader,5,0.060177,-0.054690,0.893747,37.758026,0.250000,1.510321,fair,ok,Forward PEG uses Yahoo forwardPE divided by earningsGrowth percent.,weak,none,risk_on_growth,industry_flow_leads_leaders,inferred,neutral,extended,extended,overextended,avoid_for_now,6492659,ok,資料日期與本次市場日期一致。
VRT,Vertiv Holdings Co.,AI Infrastructure,2026-06-16,251,0.005983,0.035032,-0.104122,-0.117940,-0.192154,0.116435,0.858583,1.572078,4767826.333333,5323295.800000,6029668.950000,0.663217,298.615326,303.871509,312.933257,-0.152245,4,True,False,False,True,0.028762,infrastructure_leader,5,-0.042607,-0.203513,0.705276,33.848747,1.357000,0.249438,undervalued,ok,Forward PEG uses Yahoo forwardPE divided by earningsGrowth percent.,weak,none,risk_on_growth,industry_flow_leads_leaders,inferred,reasonable_pullback,neutral,reasonable_pullback,early_recovery,avoid_for_now,3998979,ok,資料日期與本次市場日期一致。
DELL,Dell Technologies Inc.,AI Infrastructure,2026-06-16,251,0.032265,0.058411,-0.071742,0.697601,0.669821,1.649044,2.132048,2.538550,6457275.666667,7304565.400000,12287266.350000,0.510783,394.000000,399.006998,363.293997,-0.123729,5,True,False,False,True,0.061142,challenger,5,0.112267,-0.132801,0.825804,19.105545,2.825000,0.067630,undervalued,ok,Forward PEG uses Yahoo forwardPE divided by earningsGrowth percent.,weak,none,risk_on_growth,industry_flow_leads_leaders,inferred,extended,extended,extended,overextended,avoid_for_now,6276127,ok,資料日期與本次市場日期一致。
HPE,Hewlett Packard Enterprise Co.,AI Infrastructure,2026-06-16,251,0.033761,0.002279,-0.138379,0.466061,0.461632,1.246976,1.052149,1.771169,25729435.000000,26980101.000000,40029435.250000,0.578717,47.572000,49.404000,44.583500,-0.175159,4,True,False,False,True,-0.005496,non_leader,5,0.085155,-0.138379,0.799182,12.101444,,,unavailable,missing_growth,Yahoo Finance earningsGrowth is missing.,weak,none,risk_on_growth,industry_flow_leads_leaders,inferred,extended,neutral,extended,overextended,avoid_for_now,23165705,ok,資料日期與本次市場日期一致。
SMCI,Super Micro Computer Inc.,AI Infrastructure,2026-06-16,251,-0.086018,-0.281004,-0.417580,-0.052836,-0.058634,-0.072675,-0.096196,-0.322199,66681885.666667,128528051.400000,66999952.850000,0.805246,30.354000,37.236000,38.257500,-0.383804,3,False,False,False,True,-0.284696,challenger,5,-0.236228,-0.518695,0.216277,9.212986,3.260000,0.028261,undervalued,ok,Forward PEG uses Yahoo forwardPE divided by earningsGrowth percent.,weak,none,risk_on_growth,industry_flow_leads_leaders,inferred,deep_pullback,deep_pullback,deep_pullback,falling_knife,avoid_for_now,53951457,ok,資料日期與本次市場日期一致。
ETN,Eaton Corporation plc,AI Infrastructure,2026-06-16,251,0.035743,0.014911,-0.023730,0.067667,0.020704,0.123332,0.235350,0.247894,2059822.000000,2474953.200000,2453453.300000,0.679722,395.052002,401.588000,398.502501,-0.108616,5,True,False,False,True,0.109154,infrastructure_leader,5,0.023105,-0.055826,0.795439,25.932980,-0.094000,,unavailable,invalid_growth,Yahoo Finance earningsGrowth is zero or negative.,weak,none,risk_on_growth,industry_flow_leads_leaders,inferred,neutral,neutral,neutral,early_recovery,avoid_for_now,1667666,ok,資料日期與本次市場日期一致。
NVDA,NVIDIA Corporation,Semiconductors,2026-06-16,251,0.012398,-0.003747,-0.068074,-0.065978,-0.078414,0.141383,0.186510,0.441065,129008511.333333,141483066.800000,173428331.700000,0.721261,206.067999,208.543001,213.092171,-0.083417,5,False,False,False,True,-0.058052,core_leader,5,-0.026665,-0.119149,0.694407,16.296658,2.145000,0.075975,undervalued,ok,Forward PEG uses Yahoo forwardPE divided by earningsGrowth percent.,early_recovery,none,risk_on_growth,industry_flow_leads_leaders,inferred,neutral,neutral,neutral,falling_knife,avoid_for_now,125087034,ok,資料日期與本次市場日期一致。
AMD,Advanced Micro Devices Inc.,Semiconductors,2026-06-16,251,0.038571,0.066834,-0.027323,0.204993,0.196157,1.584127,1.406727,2.991267,30631002.666667,30026701.600000,32066300.400000,0.837562,501.394006,500.491006,492.446503,-0.166114,5,True,False,False,True,-0.017301,challenger,5,0.030142,-0.073037,0.904940,38.714085,0.912000,0.424497,undervalued,ok,Forward PEG uses Yahoo forwardPE divided by earningsGrowth percent.,early_recovery,none,risk_on_growth,industry_flow_leads_leaders,inferred,neutral,extended,extended,overextended,avoid_for_now,26857508,ok,資料日期與本次市場日期一致。
AVGO,Broadcom Inc.,Semiconductors,2026-06-16,251,-0.022979,-0.039397,-0.217746,-0.104585,-0.114020,0.174879,0.050823,0.522887,29783384.666667,32546250.800000,32786802.700000,0.895331,382.078003,398.302005,414.966003,-0.223546,3,False,False,False,True,-0.207724,core_leader,5,-0.092191,-0.217746,0.552271,19.467754,0.854000,0.227960,undervalued,ok,Forward PEG uses Yahoo forwardPE divided by earningsGrowth percent.,early_recovery,none,risk_on_growth,industry_flow_leads_leaders,inferred,reasonable_pullback,neutral,reasonable_pullback,falling_knife,avoid_for_now,29355054,ok,資料日期與本次市場日期一致。
TSM,Taiwan Semiconductor Manufacturing Co. Ltd.,Semiconductors,2026-06-16,251,0.011304,-0.002554,-0.044467,0.077983,0.055588,0.233676,0.465655,1.012807,9935731.333333,11354678.800000,12181144.700000,0.678080,424.004999,426.649832,421.167178,-0.081296,6,False,False,False,True,-0.034444,core_leader,5,0.011071,-0.044467,0.916887,21.663956,0.584000,0.370958,undervalued,ok,Forward PEG uses Yahoo forwardPE divided by earningsGrowth percent.,early_recovery,none,risk_on_growth,industry_flow_leads_leaders,inferred,neutral,extended,extended,falling_knife,avoid_for_now,8259794,ok,資料日期與本次市場日期一致。
