ticker,company_name,industry_group,latest_date,data_points,return_3d,return_5d,return_10d,return_20d,avg_volume_3d,avg_volume_5d,avg_volume_20d,relative_volume,ma_5d,ma_10d,ma_20d,max_drawdown_10d,up_days_10d,early_momentum_signal,confirmed_momentum_signal,strong_momentum_signal,risk_warning,relative_strength_vs_industry,leader_type,industry_quality_score,distance_from_20d_ma,distance_from_52w_high,position_in_52w_range,industry_regime,short_term_price_zone,long_term_price_zone,price_zone,current_state,watch_status,latest_volume,data_status,data_quality_note
ANET,Arista Networks Inc.,AI Infrastructure,2026-05-14,251,0.083413,0.042751,-0.144172,-0.081982,13242399.666667,15723939.800000,11825024.950000,1.079617,141.847998,151.358998,161.193499,-0.210017,3,True,False,False,True,-0.231568,infrastructure_leader,5,-0.083028,-0.168345,0.672934,exhaustion,reasonable_pullback,neutral,reasonable_pullback,early_recovery,avoid_for_now,12766499,ok,資料日期與本次市場日期一致。
VRT,Vertiv Holdings Co.,AI Infrastructure,2026-05-14,251,0.022586,0.106526,0.145332,0.279128,4868516.000000,5193149.600000,5810597.400000,0.617552,364.248004,352.047003,333.357001,-0.052797,6,True,True,False,False,0.057936,infrastructure_leader,5,0.128610,0.000000,1.000000,exhaustion,extended,very_extended,very_extended,overextended,not_eligible_industry,3588348,ok,資料日期與本次市場日期一致。
DELL,Dell Technologies Inc.,AI Infrastructure,2026-05-14,251,0.003441,0.076519,0.186360,0.287778,5919519.000000,8288731.400000,6164667.850000,0.908282,247.639996,234.539999,221.835185,-0.082623,7,False,True,False,True,0.098964,challenger,5,0.117451,-0.048261,0.918376,exhaustion,extended,extended,extended,overextended,not_eligible_industry,5599257,ok,資料日期與本次市場日期一致。
HPE,Hewlett Packard Enterprise Co.,AI Infrastructure,2026-05-14,251,0.105604,0.149158,0.186305,0.318270,23633284.333333,20523830.600000,15654812.650000,2.055359,31.726000,30.602000,29.363500,-0.036364,6,True,True,True,True,0.098909,non_leader,5,0.162327,0.000000,1.000000,exhaustion,very_extended,very_extended,very_extended,overextended,not_eligible_industry,32176253,ok,資料日期與本次市場日期一致。
SMCI,Super Micro Computer Inc.,AI Infrastructure,2026-05-14,251,-0.014618,-0.017549,0.205474,0.163028,30957188.666667,36649373.200000,38269193.300000,0.842450,33.342000,31.783000,29.873000,-0.095278,4,False,False,False,True,0.118078,challenger,5,0.105681,-0.455938,0.311100,exhaustion,extended,reasonable_pullback,extended,overextended,not_eligible_industry,32239866,ok,資料日期與本次市場日期一致。
ETN,Eaton Corporation plc,AI Infrastructure,2026-05-14,251,-0.026014,0.025248,-0.054923,0.042008,2308673.000000,2607523.800000,2892530.950000,0.572550,407.416003,411.073947,412.933337,-0.062037,5,False,False,False,False,-0.142319,infrastructure_leader,5,-0.011705,-0.054923,0.798749,exhaustion,neutral,neutral,neutral,sideways_base,not_eligible_industry,1656119,ok,資料日期與本次市場日期一致。
NVDA,NVIDIA Corporation,Semiconductors,2026-05-14,251,0.074280,0.114610,0.181240,0.188505,161701235.000000,156442181.000000,152277520.250000,1.152644,223.398001,212.975000,209.119000,-0.009976,8,True,True,False,False,0.017050,core_leader,5,0.127301,0.000000,1.000000,exhaustion,extended,very_extended,very_extended,overextended,not_eligible_industry,175521705,ok,資料日期與本次市場日期一致。
AMD,Advanced Micro Devices Inc.,Semiconductors,2026-05-14,251,-0.019813,0.100965,0.268583,0.616114,31863559.000000,39962195.400000,46947298.850000,0.554391,451.494006,414.466006,364.426501,-0.052699,6,False,True,False,True,0.104393,challenger,5,0.233994,-0.019813,0.973915,exhaustion,very_extended,very_extended,very_extended,overextended,not_eligible_industry,26027177,ok,資料日期與本次市場日期一致。
AVGO,Broadcom Inc.,Semiconductors,2026-05-14,251,0.026515,0.066003,0.053566,0.103697,18471216.333333,18960109.800000,19336337.450000,1.004748,426.862000,423.744998,417.602501,-0.034631,4,True,False,False,False,-0.110624,core_leader,5,0.053131,0.000000,1.000000,exhaustion,neutral,very_extended,very_extended,overextended,not_eligible_industry,19428149,ok,資料日期與本次市場日期一致。
TSM,Taiwan Semiconductor Manufacturing Co. Ltd.,Semiconductors,2026-05-14,251,0.032580,0.008620,0.054689,0.149635,16589097.333333,16595698.400000,14649584.600000,1.264042,406.203998,405.835999,396.147498,-0.052968,5,False,False,False,False,-0.109501,core_leader,5,0.054456,-0.004243,0.992264,exhaustion,neutral,very_extended,very_extended,overextended,not_eligible_industry,18517692,ok,資料日期與本次市場日期一致。
