industry_group,ticker_count,tickers_with_data,return_3d,return_5d,return_10d,return_20d,avg_volume_3d,avg_volume_5d,avg_volume_20d,relative_volume,ma_5d,ma_10d,ma_20d,max_drawdown_10d,up_days_10d,positive_5d_pct,positive_10d_pct,confirmed_signal_pct,strong_signal_pct,high_relative_volume_pct,breadth_score,rotation_score,momentum_persistence,momentum_acceleration,momentum_exhaustion_warning,industry_regime
AI Infrastructure,6,6,0.029069,0.063776,0.087396,0.168038,13488263.444444,14831091.400000,13436137.850000,1.012635,204.370000,201.900825,198.092587,-0.089853,5.166667,0.833333,0.666667,0.500000,0.166667,0.166667,0.508333,0.000000,0,0.071048,True,exhaustion
Adtech,6,6,-0.056136,-0.092449,-0.040772,-0.041870,5248615.000000,6403905.666667,5466001.416667,1.061971,109.493000,109.840500,107.838250,-0.129717,4.833333,0.000000,0.333333,0.000000,0.000000,0.500000,0.133333,-7.000000,0,-0.008826,False,weak
Cloud Software,6,6,-0.010386,-0.022985,0.131966,0.119007,8252199.888889,8799666.600000,9909149.983333,0.772377,173.164666,167.551001,161.558167,-0.060450,5.666667,0.333333,0.666667,0.333333,0.000000,0.000000,0.316667,-2.000000,0,-0.107007,True,exhaustion
Consumer Platforms,6,6,-0.016953,-0.049627,-0.044985,-0.105015,13111846.500000,13682227.900000,14861445.308333,0.790969,150.227333,152.411834,160.010250,-0.090246,4.166667,0.166667,0.166667,0.000000,0.000000,0.000000,0.075000,0.000000,0,0.000152,False,weak
Cybersecurity,6,6,0.037379,0.074160,0.221737,0.272780,4422689.333333,4744250.266667,4148141.733333,1.091589,190.239335,178.090667,167.437500,-0.035100,7.000000,0.833333,0.833333,0.666667,0.166667,0.333333,0.608333,-1.000000,1,-0.064306,True,exhaustion
Defense,7,7,0.007370,0.004403,-0.047915,-0.127209,1526042.380952,1702568.285714,1942214.928571,0.535839,335.475429,337.713286,347.161213,-0.063654,4.000000,0.428571,0.142857,0.000000,0.000000,0.000000,0.121429,-2.000000,0,0.009650,False,early_recovery
Defense Drones,5,5,0.005481,0.044929,-0.057709,-0.146593,27879478.133333,21305054.880000,16259273.720000,1.691945,49.445600,50.796800,54.497250,-0.126229,4.200000,0.400000,0.400000,0.000000,0.000000,0.400000,0.220000,0.000000,0,0.126945,False,early_recovery
Defensive Healthcare,6,6,0.028207,0.023678,0.008073,0.016072,10744913.666667,11502211.533333,13088147.883333,0.542775,173.080001,171.189584,169.386379,-0.030090,5.166667,0.666667,0.500000,0.166667,0.000000,0.000000,0.300000,2.000000,0,0.005215,False,neutral
Defensive Staples,6,6,0.019575,0.003191,0.000708,0.033673,8151541.444444,8108548.200000,8652807.050000,0.789960,268.849665,268.369768,266.966853,-0.029105,5.833333,0.666667,0.666667,0.666667,0.000000,0.000000,0.466667,-1.000000,0,0.006749,False,neutral
Energy Storage,5,5,0.069817,0.172998,0.257499,0.279439,6941371.333333,7644806.800000,5015471.700000,1.252643,77.258799,74.971000,70.052950,-0.111785,6.400000,1.000000,0.800000,0.800000,0.200000,0.400000,0.680000,2.000000,4,0.037089,True,exhaustion
Fintech,6,6,-0.007194,0.025887,0.032534,-0.016869,20481478.111111,21166080.200000,22513192.550000,0.950964,80.885666,80.051834,80.509500,-0.070092,4.500000,0.833333,0.666667,0.333333,0.166667,0.166667,0.466667,6.000000,0,0.049053,False,neutral
Market ETFs,6,6,0.007983,0.019772,0.038184,0.067293,20277414.888889,20117805.600000,21247445.566667,0.839281,546.928996,540.996665,532.247332,-0.007869,6.833333,1.000000,1.000000,1.000000,0.000000,0.000000,0.700000,0.000000,0,0.013120,False,momentum_leader
Nuclear,8,8,-0.083935,-0.054776,-0.041002,-0.016591,8774731.833333,9429681.600000,9661522.900000,0.847256,110.131251,113.154500,113.301282,-0.122411,3.375000,0.125000,0.125000,0.000000,0.000000,0.000000,0.056250,-4.000000,0,0.047603,False,weak
Renewables,5,5,0.044560,0.092055,0.128920,0.198902,3148277.466667,2966762.480000,2817025.620000,0.975168,313.027597,310.510195,305.838698,-0.041051,6.000000,1.000000,1.000000,0.600000,0.400000,0.400000,0.720000,2.000000,0,0.022080,False,momentum_leader
Robotics Automation,6,6,0.022220,-0.001856,0.044978,0.030030,2118906.611111,2281173.966667,2111698.491667,0.875038,267.248000,265.678000,265.805083,-0.079417,5.333333,0.666667,0.666667,0.500000,0.166667,0.166667,0.475000,4.000000,0,0.030351,False,neutral
Semiconductors,11,11,-0.005293,0.073172,0.164190,0.362447,43311115.242424,47111734.600000,44879838.195455,0.970439,467.829092,446.572904,419.452721,-0.061216,5.818182,0.909091,1.000000,0.454545,0.000000,0.181818,0.563636,-3.000000,0,0.028937,True,exhaustion
Space,11,11,0.040984,0.301742,0.260686,0.129870,13167240.181818,15774909.563636,11339562.845455,1.209448,42.541091,38.924546,37.603114,-0.096155,5.818182,1.000000,1.000000,0.636364,0.181818,0.363636,0.681818,4.000000,4,0.170603,True,exhaustion
