industry_group,ticker_count,tickers_with_data,return_3d,return_5d,return_10d,return_20d,avg_volume_3d,avg_volume_5d,avg_volume_20d,relative_volume,ma_5d,ma_10d,ma_20d,max_drawdown_10d,up_days_10d,positive_5d_pct,positive_10d_pct,confirmed_signal_pct,strong_signal_pct,high_relative_volume_pct,breadth_score,rotation_score,momentum_persistence,momentum_acceleration,momentum_exhaustion_warning,industry_regime,industry_risk_flag,rotation_type,causal_hypothesis,evidence_status
AI Infrastructure,6,6,0.121747,0.234823,0.209013,0.334111,25330851.777778,21687034.400000,16237887.766667,2.223142,214.047333,204.323167,203.111996,-0.051883,5.333333,0.833333,0.666667,0.500000,0.500000,0.500000,0.608333,0.000000,0,0.096661,False,momentum_leader,none,risk_on_growth,industry_flow_leads_leaders,observed
Adtech,6,6,0.062149,0.094172,0.143618,0.099439,7321467.333333,6252753.733333,6055055.100000,1.281500,123.495001,117.174834,113.507667,-0.032137,6.833333,1.000000,1.000000,1.000000,0.333333,0.500000,0.816667,9.000000,0,-0.005579,False,momentum_leader,none,unclear,unclear,needs_review
Cloud Software,6,6,0.187868,0.211036,0.294548,0.461122,19198496.944444,15439924.833333,11716249.541667,2.199671,194.780333,189.611833,178.581417,-0.045525,6.666667,1.000000,1.000000,0.666667,0.333333,1.000000,0.783333,2.000000,1,0.120881,False,momentum_leader,none,unclear,unclear,needs_review
Consumer Platforms,6,6,0.000157,-0.001289,0.028309,-0.018150,13726051.000000,12839473.933333,14208145.983333,1.097782,163.963334,159.034667,155.723250,-0.050349,5.000000,0.500000,0.500000,0.333333,0.166667,0.333333,0.375000,2.000000,0,-0.032702,False,neutral,none,unclear,unclear,needs_review
Cybersecurity,6,6,0.063318,0.104012,0.230941,0.490269,8566236.722222,7064958.700000,5311119.675000,1.838730,224.590332,219.054666,198.572667,-0.090785,7.500000,0.833333,0.833333,0.833333,0.500000,0.833333,0.766667,-1.000000,0,0.120390,True,momentum_leader,momentum_exhaustion,unclear,unclear,needs_review
Defense,7,7,-0.002703,0.017677,0.006984,-0.040795,1940630.809524,1735298.485714,1780038.907143,1.405161,339.018003,336.821015,337.214982,-0.022449,5.285714,0.857143,0.857143,0.571429,0.571429,0.714286,0.714286,-3.000000,0,-0.006419,False,momentum_leader,none,unclear,unclear,needs_review
Defense Drones,5,5,0.249814,0.337342,0.283594,0.204440,44128912.733333,33593859.640000,21470810.910000,2.059543,56.338800,52.119500,51.458150,-0.068195,5.600000,1.000000,1.000000,0.600000,0.400000,1.000000,0.780000,7.000000,2,-0.041870,False,momentum_leader,none,unclear,unclear,needs_review
Defensive Healthcare,6,6,-0.005793,-0.005808,-0.001617,0.006409,11442258.555556,11005668.466667,12095002.950000,1.090650,175.205666,174.668718,172.821826,-0.030493,4.166667,0.500000,0.500000,0.000000,0.000000,0.333333,0.258333,-7.000000,0,-0.019405,False,weak,none,defensive_rotation,defensive_rotation,inferred
Defensive Staples,6,6,-0.015199,-0.032651,-0.039212,-0.038691,12105644.388889,11407243.300000,9698929.991667,1.588516,263.125334,270.040831,269.205299,-0.064137,4.666667,0.166667,0.333333,0.000000,0.000000,0.666667,0.183333,-3.000000,0,-0.005998,False,weak,none,defensive_rotation,defensive_rotation,inferred
Energy Storage,5,5,-0.011423,0.085488,0.178204,0.477193,4428790.800000,4902618.480000,6099946.620000,0.803372,89.263602,83.648201,79.309600,-0.099978,5.200000,0.800000,0.800000,0.400000,0.000000,0.000000,0.460000,-4.000000,0,-0.119344,True,neutral,momentum_exhaustion,unclear,unclear,needs_review
Fintech,6,6,0.105724,0.098727,0.056597,0.090713,29413258.000000,25682481.466667,21428102.866667,1.507169,77.593333,77.497000,78.774417,-0.045047,5.500000,0.833333,0.666667,0.666667,0.333333,0.333333,0.600000,5.000000,0,0.049977,False,neutral,none,unclear,unclear,needs_review
Market ETFs,6,6,0.007632,0.022353,0.017271,0.056140,20162204.222222,19592229.200000,21113627.300000,1.009093,556.607332,550.469500,545.710297,-0.009165,6.000000,1.000000,1.000000,0.833333,0.000000,0.000000,0.658333,-1.000000,0,-0.001842,False,neutral,none,unclear,unclear,needs_review
