ticker,company_name,industry_group,latest_date,data_points,return_3d,return_5d,return_10d,return_20d,avg_volume_3d,avg_volume_5d,avg_volume_20d,relative_volume,ma_5d,ma_10d,ma_20d,max_drawdown_10d,up_days_10d,early_momentum_signal,confirmed_momentum_signal,strong_momentum_signal,risk_warning,relative_strength_vs_industry,leader_type,industry_quality_score,distance_from_20d_ma,distance_from_52w_high,position_in_52w_range,industry_regime,industry_risk_flag,rotation_type,causal_hypothesis,evidence_status,short_term_price_zone,long_term_price_zone,price_zone,current_state,watch_status,latest_volume,data_status,data_quality_note
ANET,Arista Networks Inc.,AI Infrastructure,2026-05-29,251,0.009240,0.073222,0.078885,-0.076660,9850138.333333,10388063.000000,13370780.750000,1.149814,156.217999,149.543001,150.450999,-0.023416,5,True,False,False,False,-0.130128,infrastructure_leader,5,0.059946,-0.102740,0.800394,momentum_leader,none,risk_on_growth,industry_flow_leads_leaders,observed,neutral,neutral,neutral,strong_uptrend,avoid_for_now,15373915,ok,資料日期與本次市場日期一致。
VRT,Vertiv Holdings Co.,AI Infrastructure,2026-05-29,251,-0.025316,-0.023779,-0.160859,-0.038905,5133226.000000,5345035.600000,5589003.900000,0.844977,320.207996,327.341000,339.694002,-0.153017,3,False,False,False,True,-0.369872,infrastructure_leader,5,-0.070605,-0.160859,0.774544,momentum_leader,none,risk_on_growth,industry_flow_leads_leaders,observed,reasonable_pullback,neutral,reasonable_pullback,falling_knife,avoid_for_now,4722578,ok,資料日期與本次市場日期一致。
DELL,Dell Technologies Inc.,AI Infrastructure,2026-05-29,251,0.379671,0.664992,0.697971,1.014405,24349671.333333,19729242.800000,9471905.700000,4.030373,328.709998,285.455998,259.997999,-0.027811,7,True,True,True,True,0.488958,challenger,5,0.618897,0.000000,1.000000,momentum_leader,none,risk_on_growth,industry_flow_leads_leaders,observed,very_extended,very_extended,very_extended,overextended,too_extended,38175314,ok,資料日期與本次市場日期一致。
HPE,Hewlett Packard Enterprise Co.,AI Infrastructure,2026-05-29,251,0.130846,0.267000,0.261061,0.496003,42058092.333333,34739735.400000,20422188.850000,4.172901,38.818001,36.058000,33.330000,-0.022596,6,True,True,True,True,0.052048,non_leader,5,0.291329,0.000000,1.000000,momentum_leader,none,risk_on_growth,industry_flow_leads_leaders,observed,very_extended,very_extended,very_extended,overextended,avoid_for_now,85219777,ok,資料日期與本次市場日期一致。
SMCI,Super Micro Computer Inc.,AI Infrastructure,2026-05-29,251,0.242318,0.377466,0.395398,0.682117,67766820.000000,57182092.000000,45558293.000000,2.040646,39.652000,35.763000,33.773000,-0.015464,6,True,True,True,True,0.186385,challenger,5,0.364700,-0.240817,0.636137,momentum_leader,none,risk_on_growth,industry_flow_leads_leaders,observed,very_extended,neutral,very_extended,overextended,too_extended,92968360,ok,資料日期與本次市場日期一致。
ETN,Eaton Corporation plc,AI Infrastructure,2026-05-29,251,-0.006276,0.050038,-0.018378,-0.072291,2827162.666667,2738037.600000,3015154.400000,1.100139,400.678003,391.778003,401.425975,-0.068997,5,False,False,False,False,-0.227391,infrastructure_leader,5,-0.002058,-0.072291,0.735106,momentum_leader,none,risk_on_growth,industry_flow_leads_leaders,observed,neutral,neutral,neutral,sideways_base,research_candidate,3317088,ok,資料日期與本次市場日期一致。
NVDA,NVIDIA Corporation,Semiconductors,2026-05-29,251,-0.017314,-0.038130,-0.104352,0.057975,180687636.666667,179708242.000000,163294790.500000,1.411348,213.636002,217.941002,215.458001,-0.062933,2,False,False,False,False,-0.207508,core_leader,5,-0.020041,-0.104352,0.755569,neutral,momentum_exhaustion,risk_on_growth,industry_flow_leads_leaders,inferred,neutral,neutral,neutral,sideways_base,not_eligible_industry,230465710,ok,資料日期與本次市場日期一致。
AMD,Advanced Micro Devices Inc.,Semiconductors,2026-05-29,251,0.024231,0.147935,0.147654,0.455894,26933289.000000,30806453.400000,39338598.350000,0.553453,500.226007,465.744000,440.105003,-0.023697,5,True,False,False,True,0.044498,challenger,5,0.172675,-0.003841,0.995115,neutral,momentum_exhaustion,risk_on_growth,industry_flow_leads_leaders,inferred,very_extended,very_extended,very_extended,overextended,not_eligible_industry,21772067,ok,資料日期與本次市場日期一致。
AVGO,Broadcom Inc.,Semiconductors,2026-05-29,251,0.058672,0.077671,0.015871,0.070287,25687640.000000,22742444.000000,19558286.000000,2.127299,426.271997,422.066000,422.905499,-0.033209,4,True,False,False,False,-0.087285,core_leader,5,0.056430,0.000000,1.000000,neutral,momentum_exhaustion,risk_on_growth,industry_flow_leads_leaders,inferred,neutral,very_extended,very_extended,overextended,not_eligible_industry,41606320,ok,資料日期與本次市場日期一致。
TSM,Taiwan Semiconductor Manufacturing Co. Ltd.,Semiconductors,2026-05-29,251,0.014867,0.027754,0.001748,0.056532,11084085.666667,10099231.400000,12820927.850000,0.752742,416.576001,408.456000,407.145999,-0.029034,5,True,False,False,False,-0.101409,core_leader,5,0.027764,-0.015087,0.972596,neutral,momentum_exhaustion,risk_on_growth,industry_flow_leads_leaders,inferred,neutral,very_extended,very_extended,overextended,not_eligible_industry,9650857,ok,資料日期與本次市場日期一致。
ASML,ASML Holding N.V.,Semiconductors,2026-05-29,251,-0.011807,0.013040,0.017829,0.120758,1131951.000000,1342710.600000,1611857.650000,0.659272,1616.266016,1565.710010,1540.972504,-0.028213,5,False,False,False,False,-0.085327,infrastructure_leader,5,0.046586,-0.012334,0.978731,neutral,momentum_exhaustion,risk_on_growth,industry_flow_leads_leaders,inferred,neutral,very_extended,very_extended,overextended,not_eligible_industry,1062653,ok,資料日期與本次市場日期一致。
MU,Micron Technology Inc.,Semiconductors,2026-05-29,251,0.083851,0.274111,0.251273,0.877562,60708080.000000,58937588.000000,55848792.000000,1.076733,893.962000,806.883990,751.464001,-0.059504,6,True,True,False,True,0.148116,specialist,5,0.292144,0.000000,1.000000,neutral,momentum_exhaustion,risk_on_growth,industry_flow_leads_leaders,inferred,very_extended,very_extended,very_extended,overextended,not_eligible_industry,60134240,ok,資料日期與本次市場日期一致。
QCOM,Qualcomm Incorporated,Semiconductors,2026-05-29,251,0.008842,0.176234,0.254598,0.397817,25185704.666667,27315842.800000,29155510.700000,0.985886,242.938000,223.135001,211.929501,-0.061973,8,True,True,False,True,0.151442,specialist,5,0.184451,0.000000,1.000000,neutral,momentum_exhaustion,risk_on_growth,industry_flow_leads_leaders,inferred,very_extended,very_extended,very_extended,overextended,not_eligible_industry,28744014,ok,資料日期與本次市場日期一致。
INTC,Intel Corporation,Semiconductors,2026-05-29,251,-0.071567,-0.032236,-0.010782,0.213802,114832532.000000,107065579.200000,140184974.800000,1.097502,120.139998,116.589999,115.163500,-0.071567,4,False,False,False,False,-0.113939,challenger,5,-0.004198,-0.114030,0.865977,neutral,momentum_exhaustion,risk_on_growth,industry_flow_leads_leaders,inferred,neutral,extended,extended,sideways_base,not_eligible_industry,153853296,ok,資料日期與本次市場日期一致。
ARM,Arm Holdings plc,Semiconductors,2026-05-29,251,0.099838,0.184623,0.546127,0.679774,11377134.333333,11798600.600000,12229785.150000,0.849484,323.800000,282.139001,248.941500,-0.057624,8,False,True,False,True,0.442971,specialist,5,0.419169,0.000000,1.000000,neutral,momentum_exhaustion,risk_on_growth,industry_flow_leads_leaders,inferred,very_extended,very_extended,very_extended,overextended,not_eligible_industry,10389003,ok,資料日期與本次市場日期一致。
AMAT,Applied Materials Inc.,Semiconductors,2026-05-29,251,-0.010618,0.053117,0.022833,0.142284,5638546.666667,5969868.000000,7570507.000000,0.817969,447.008002,434.425919,427.849602,-0.068045,6,False,True,False,False,-0.080323,infrastructure_leader,5,0.051912,-0.010618,0.983864,neutral,momentum_exhaustion,risk_on_growth,industry_flow_leads_leaders,inferred,neutral,very_extended,very_extended,overextended,not_eligible_industry,6192440,ok,資料日期與本次市場日期一致。
TXN,Texas Instruments Incorporated,Semiconductors,2026-05-29,251,-0.059128,0.024431,-0.008080,0.093045,9799791.000000,9001694.600000,7564743.650000,2.217441,314.636005,308.209006,299.603970,-0.059128,4,False,False,False,False,-0.111236,specialist,5,0.020280,-0.059128,0.889167,neutral,momentum_exhaustion,risk_on_growth,industry_flow_leads_leaders,inferred,neutral,extended,extended,sideways_base,not_eligible_industry,16774373,ok,資料日期與本次市場日期一致。
AVAV,AeroVironment Inc.,Defense Drones,2026-05-29,251,0.137057,0.270709,0.253948,0.062660,2667626.000000,2161515.600000,1362723.900000,2.001270,191.879999,176.610999,173.521999,-0.033350,5,True,False,False,True,-0.029645,core_leader,3,0.194315,-0.494327,0.195529,momentum_leader,none,unclear,unclear,needs_review,very_extended,deep_pullback,very_extended,overextended,too_extended,2727178,ok,資料日期與本次市場日期一致。
KTOS,Kratos Defense & Security Solutions Inc.,Defense Drones,2026-05-29,251,0.129049,0.173038,0.169189,0.017129,8227755.000000,6488293.000000,5022348.250000,1.988266,59.920000,56.987000,57.561500,-0.020602,6,True,True,False,False,-0.114405,challenger,3,0.114113,-0.509409,0.290312,momentum_leader,none,unclear,unclear,needs_review,extended,reasonable_pullback,extended,early_recovery,too_extended,9985765,ok,資料日期與本次市場日期一致。
RCAT,Red Cat Holdings Inc.,Defense Drones,2026-05-29,251,0.484135,0.605759,0.488706,0.237201,43870311.666667,30457667.000000,15902116.750000,2.297325,11.700000,10.344000,10.443500,-0.099052,7,True,True,True,True,0.205113,emerging_leader,3,0.388423,-0.164747,0.749343,momentum_leader,none,unclear,unclear,needs_review,very_extended,neutral,very_extended,overextended,too_extended,36532335,ok,資料日期與本次市場日期一致。
